Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: bubbles4
directory: 2D
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 185
Initial Upper Bound: 825.32600000
Average radius size: 10.00000000
Using variable selection rule #1!
Size of the tree: 1.12028136e+338
Raiz: 0 156 157 
Initial root: 0 156 157 
Value of objective function: 3.70365690e+02
SolverStatus: Solved
Solution: 
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )
( 1.63176818e+02, 1.67689447e+02, 0.00000000e+00 )
( 3.68231824e+01, 3.23105526e+01, 0.00000000e+00 )
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )

Not covered in root: 141 171 140 142 172 170 139 143 90 89 173 169 138 144 114 115 91 88 174 168 137 145 113 116 48 58 92 87 167 175 136 146 112 117 47 11 76 57 86 93 176 166 135 147 111 118 46 12 10 36 56 75 94 85 177 165 134 148 110 119 45 13 9 59 21 35 74 55 95 84 178 164 133 149 109 120 44 14 8 60 22 34 73 54 83 96 179 163 132 150 108 121 43 15 7 61 23 33 72 53 97 82 180 162 131 151 107 122 42 16 6 62 24 32 71 52 98 81 181 161 130 152 106 123 41 17 5 63 25 31 70 51 99 80 182 160 129 153 105 124 40 18 4 64 30 26 69 50 100 79 183 159 128 154 125 104 39 19 3 65 1 155 158 49 184 126 38 37 127 2 78 20 27 28 29 66 103 102 101 67 68 77 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
493.80153		- 	370.36569		- 	002	130	0000004	 000000000002	0.0000000%
729.38178		- 	613.68488		- 	006	083	0000098	 000000000077	0.0000000%
624.89839		- 	621.84250		- 	007	070	0000188	 000000000157	0.0000000%
639.66609		- 	624.68490		- 	007	068	0000288	 000000000237	0.0000000%
698.62456		- 	627.33981		- 	007	066	0000376	 000000000319	0.0000000%
641.83729		- 	629.27442		- 	007	068	0000480	 000000000400	0.0000000%
796.10074		- 	630.55470		- 	008	072	0000582	 000000000481	0.0000000%
716.36145		- 	631.61492		- 	008	067	0000686	 000000000563	0.0000000%
816.03479		- 	632.91700		- 	011	065	0000786	 000000000645	0.0000000%
761.10062		- 	634.40189		- 	012	063	0000877	 000000000728	0.0000000%
753.97338		- 	635.21723		- 	008	064	0000979	 000000000810	0.0000000%
661.17869		- 	635.91833		- 	011	067	0001096	 000000000891	0.0000000%
695.72296		- 	636.53303		- 	011	068	0001182	 000000000973	0.0000000%
822.11352		- 	638.01503		- 	010	069	0001288	 000000001054	0.0000000%
742.36920		- 	638.24237		- 	010	055	0001396	 000000001136	0.0000000%
771.39513		- 	638.54822		- 	008	061	0001500	 000000001218	0.0000000%
758.94302		- 	638.87062		- 	011	073	0001598	 000000001301	0.0000000%
806.41738		- 	639.22387		- 	006	081	0001699	 000000001383	0.0000000%
647.45852		- 	639.47929		- 	009	068	0001804	 000000001465	0.0000000%
650.74580		- 	639.71878		- 	007	074	0001900	 000000001547	0.0000000%
654.86259		- 	640.18013		- 	011	065	0001998	 000000001631	0.0000000%
761.79165		- 	640.50984		- 	010	060	0002102	 000000001714	0.0000000%
725.38397		- 	641.51657		- 	009	065	0002202	 000000001795	0.0000000%
659.06223		- 	641.83729		- 	008	067	0002304	 000000001877	0.0000000%
646.34153		- 	642.46221		- 	012	061	0002420	 000000001959	0.0000000%
745.32149		- 	642.64311		- 	011	060	0002528	 000000002042	0.0000000%
705.62318		- 	642.73293		- 	009	062	0002620	 000000002125	0.0000000%
794.30367		- 	642.91121		- 	010	072	0002736	 000000002207	0.0000000%
650.99317		- 	643.08006		- 	010	065	0002832	 000000002291	0.0000000%
644.97039		- 	643.31229		- 	012	065	0002939	 000000002374	0.0000000%
730.10665		- 	644.20639		- 	012	060	0003042	 000000002457	0.0000000%
731.54366		- 	644.43868		- 	012	056	0003158	 000000002539	0.0000000%
769.81717		- 	644.80565		- 	009	064	0003248	 000000002623	0.0000000%
687.16329		- 	644.90795		- 	015	065	0003348	 000000002707	0.0000000%
825.14609		- 	645.29913		- 	007	076	0003458	 000000002790	0.0000000%
770.75561		- 	645.85725		- 	011	057	0003570	 000000002871	0.0000000%
775.29103		- 	645.96586		- 	010	064	0003685	 000000002953	0.0000000%
738.77965		- 	646.21421		- 	011	079	0003784	 000000003035	0.0000000%
655.03201		- 	646.34804		- 	014	064	0003887	 000000003119	0.0000000%
689.39212		- 	646.52798		- 	011	064	0004000	 000000003199	0.0000000%
791.84137		- 	646.58828		- 	014	057	0004096	 000000003284	0.0000000%
718.81764		- 	646.80603		- 	009	066	0004198	 000000003367	0.0000000%
719.01535		- 	647.28094		- 	010	073	0004315	 000000003449	0.0000000%
758.06584		- 	647.37750		- 	014	055	0004413	 000000003533	0.0000000%
761.77350		- 	647.48733		- 	012	078	0004535	 000000003615	0.0000000%
669.69265		- 	647.57210		- 	012	065	0004632	 000000003698	0.0000000%
800.88428		- 	647.67327		- 	012	058	0004736	 000000003782	0.0000000%
777.32360		- 	647.81367		- 	015	061	0004862	 000000003864	0.0000000%
710.04976		- 	647.91488		- 	013	062	0004966	 000000003948	0.0000000%
744.97991		- 	648.13033		- 	014	063	0005074	 000000004032	0.0000000%
649.93557		- 	648.26587		- 	012	065	0005184	 000000004116	0.0000000%
715.51036		- 	648.30716		- 	012	067	0005284	 000000004200	0.0000000%
724.50764		- 	648.55340		- 	014	072	0005410	 000000004282	0.0000000%
665.64655		- 	648.65855		- 	015	064	0005522	 000000004365	0.0000000%
653.04532		- 	648.92024		- 	013	062	0005616	 000000004449	0.0000000%
653.38110		- 	649.10314		- 	007	068	0005720	 000000004531	0.0000000%
770.50447		- 	649.15818		- 	015	067	0005838	 000000004614	0.0000000%
659.00984		- 	649.47622		- 	014	061	0005953	 000000004697	0.0000000%
737.98000		- 	649.61173		- 	015	056	0006070	 000000004780	0.0000000%
682.78938		- 	649.79756		- 	011	061	0006180	 000000004863	0.0000000%
754.08338		- 	649.97398		- 	011	065	0006306	 000000004945	0.0000000%
742.07462		- 	650.02308		- 	010	082	0006414	 000000005028	0.0000000%
673.95487		- 	650.14333		- 	012	061	0006521	 000000005111	0.0000000%
737.03808		- 	650.42463		- 	011	064	0006632	 000000005193	0.0000000%
782.84154		- 	650.55635		- 	009	070	0006744	 000000005275	0.0000000%
662.40795		- 	650.60826		- 	012	062	0006862	 000000005358	0.0000000%
706.57869		- 	650.69137		- 	012	058	0006967	 000000005441	0.0000000%
805.78747		- 	650.73637		- 	011	069	0007074	 000000005524	0.0000000%
706.63075		- 	650.74271		- 	012	058	0007172	 000000005608	0.0000000%
753.00150		- 	650.85078		- 	013	060	0007272	 000000005691	0.0000000%
654.11268		- 	650.91276		- 	008	068	0007383	 000000005773	0.0000000%
764.01645		- 	650.93044		- 	012	054	0007500	 000000005856	0.0000000%
