Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: bubbles5
directory: 2D
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 251
Initial Upper Bound: 1062.33508611
Average radius size: 10.00000000
Using variable selection rule #1!
Size of the tree: 1.62291991e+492
Raiz: 0 185 220 
Initial root: 0 185 220 
Value of objective function: 4.26904701e+02
SolverStatus: Solved
Solution: 
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )
( 2.68536469e+01, 2.22819998e+01, 0.00000000e+00 )
( 1.73146353e+02, 1.77718000e+02, 0.00000000e+00 )
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )

Not covered in root: 203 202 201 204 235 236 205 200 141 171 237 234 199 206 142 140 172 170 238 233 198 207 143 139 90 89 173 169 232 239 197 208 138 144 114 115 88 91 174 168 240 231 209 196 145 137 116 113 58 48 92 87 175 167 241 230 195 210 136 146 112 117 47 11 76 57 86 93 166 176 229 242 194 211 135 147 111 118 46 12 10 36 75 56 85 94 177 165 243 228 193 212 134 148 110 119 13 45 59 9 21 35 55 74 84 95 178 164 244 227 192 213 133 149 120 109 44 14 60 8 22 34 73 54 83 96 179 163 245 226 191 214 132 150 108 121 43 15 7 61 23 33 72 53 97 82 162 180 246 225 190 215 131 151 107 122 42 16 62 6 24 32 71 52 98 81 181 161 247 224 189 216 130 152 106 123 41 17 5 63 25 31 70 51 99 80 182 160 248 223 188 217 129 153 105 124 18 40 4 64 30 26 69 50 100 79 183 159 222 249 218 187 128 154 125 104 39 19 3 65 186 155 156 157 158 184 38 219 221 250 126 127 49 78 37 2 1 103 102 101 20 27 28 29 66 67 68 77 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
570.29097		- 	426.90470		- 	002	184	0000004	 000000000002	0.0000000%
726.99465		- 	719.77616		- 	007	114	0000130	 000000000105	0.0000000%
805.70772		- 	729.95480		- 	007	114	0000254	 000000000214	0.0000000%
864.39561		- 	736.81009		- 	006	117	0000381	 000000000323	0.0000000%
813.83431		- 	738.47507		- 	007	115	0000508	 000000000433	0.0000000%
811.83968		- 	740.54665		- 	009	101	0000632	 000000000543	0.0000000%
817.66654		- 	744.27953		- 	009	112	0000752	 000000000655	0.0000000%
892.50400		- 	745.56662		- 	008	108	0000883	 000000000765	0.0000000%
942.76279		- 	747.11733		- 	007	113	0001008	 000000000874	0.0000000%
757.20436		- 	748.94651		- 	010	108	0001132	 000000000985	0.0000000%
916.99867		- 	749.79891		- 	008	114	0001254	 000000001096	0.0000000%
866.63934		- 	751.49657		- 	008	110	0001378	 000000001207	0.0000000%
762.64924		- 	752.35036		- 	010	110	0001504	 000000001318	0.0000000%
901.08615		- 	754.47768		- 	008	104	0001633	 000000001430	0.0000000%
877.98490		- 	755.14662		- 	007	119	0001756	 000000001541	0.0000000%
890.01216		- 	756.32842		- 	010	107	0001881	 000000001652	0.0000000%
776.59474		- 	756.68193		- 	010	111	0002007	 000000001765	0.0000000%
926.37204		- 	757.20436		- 	011	115	0002128	 000000001878	0.0000000%
785.48979		- 	758.76644		- 	010	108	0002262	 000000001989	0.0000000%
826.18374		- 	759.57872		- 	010	107	0002378	 000000002102	0.0000000%
804.00907		- 	760.55199		- 	009	112	0002502	 000000002213	0.0000000%
952.46171		- 	761.27316		- 	006	114	0002631	 000000002323	0.0000000%
987.21139		- 	761.88172		- 	011	104	0002762	 000000002435	0.0000000%
770.27281		- 	762.33425		- 	009	112	0002882	 000000002547	0.0000000%
