Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: bubbles6
directory: 2D
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 325
Initial Upper Bound: 1263.68000000
Average radius size: 10.00000000
Using variable selection rule #1!
Size of the tree: 1.14804210e+674
Raiz: 0 324 251 
Initial root: 0 324 251 
Value of objective function: 4.83450093e+02
SolverStatus: Solved
Solution: 
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )
( 1.83122554e+02, 1.87740473e+02, 0.00000000e+00 )
( 1.68774464e+01, 1.22595267e+01, 0.00000000e+00 )
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )

Not covered in root: 306 270 269 271 305 307 268 272 203 202 308 304 267 273 201 204 236 235 309 303 266 274 205 200 171 141 234 237 310 302 265 275 206 199 142 140 172 170 233 238 301 311 264 276 207 198 139 143 90 89 169 173 239 232 312 300 263 277 197 208 138 144 114 115 91 88 174 168 240 231 313 299 262 278 196 209 137 145 116 113 48 58 92 87 175 167 241 230 314 298 279 261 195 210 136 146 112 117 47 11 76 57 93 86 176 166 242 229 297 315 260 280 194 211 135 147 111 118 46 12 10 36 75 56 94 85 177 165 228 243 316 296 259 281 193 212 134 148 110 119 45 13 9 59 21 35 74 55 95 84 178 164 244 227 317 295 258 282 192 213 133 149 109 120 44 14 8 60 22 34 73 54 96 83 179 163 245 226 318 294 257 283 191 214 150 132 108 121 43 15 7 61 23 33 53 72 97 82 162 180 246 225 319 293 256 284 190 215 131 151 107 122 42 16 62 6 32 24 71 52 98 81 181 161 247 224 320 292 255 285 189 216 130 152 106 123 41 17 5 63 25 31 51 70 99 80 182 160 248 223 321 291 254 286 188 217 129 153 105 124 40 18 4 64 26 30 69 50 100 79 183 159 249 222 322 290 253 287 187 218 128 154 104 125 39 19 3 65 186 127 288 289 250 252 323 66 49 38 37 2 1 20 155 156 157 158 27 28 29 126 67 68 184 185 77 78 101 102 103 219 220 221 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
656.37298		- 	483.45009		- 	002	248	0000004	 000000000002	0.0000000%
884.69256		- 	814.19362		- 	006	179	0000166	 000000000137	0.0000000%
983.18701		- 	831.88922		- 	006	153	0000326	 000000000277	0.0000000%
863.68809		- 	844.06231		- 	009	162	0000490	 000000000418	0.0000000%
879.41838		- 	850.94430		- 	006	168	0000655	 000000000559	0.0000000%
1119.9732		- 	855.86786		- 	008	151	0000816	 000000000702	0.0000000%
928.60940		- 	861.03103		- 	008	164	0000982	 000000000843	0.0000000%
876.78733		- 	863.66592		- 	006	172	0001137	 000000000986	0.0000000%
1013.2360		- 	867.98309		- 	007	175	0001302	 000000001129	0.0000000%
925.95105		- 	870.13971		- 	007	173	0001460	 000000001273	0.0000000%
1089.9494		- 	872.29460		- 	010	141	0001628	 000000001417	0.0000000%
886.46084		- 	873.52179		- 	008	164	0001788	 000000001561	0.0000000%
1170.9813		- 	874.55074		- 	008	143	0001950	 000000001705	0.0000000%
926.04916		- 	876.24221		- 	008	166	0002116	 000000001849	0.0000000%
1162.4971		- 	878.46194		- 	011	151	0002274	 000000001993	0.0000000%
940.47477		- 	880.32712		- 	009	158	0002440	 000000002136	0.0000000%
954.55124		- 	881.96259		- 	009	157	0002598	 000000002281	0.0000000%
917.88662		- 	883.54493		- 	009	161	0002765	 000000002425	0.0000000%
925.66613		- 	885.17097		- 	008	163	0002919	 000000002570	0.0000000%
954.21626		- 	886.12646		- 	007	164	0003087	 000000002713	0.0000000%
1212.6106		- 	886.39726		- 	010	141	0003251	 000000002858	0.0000000%
956.83353		- 	887.52673		- 	008	161	0003404	 000000003005	0.0000000%
1108.4487		- 	888.08323		- 	010	160	0003568	 000000003151	0.0000000%
960.28722		- 	888.96303		- 	009	162	0003732	 000000003296	0.0000000%
902.59444		- 	889.34626		- 	009	158	0003892	 000000003442	0.0000000%
911.52525		- 	889.77395		- 	008	170	0004056	 000000003587	0.0000000%
923.91983		- 	890.79225		- 	010	157	0004217	 000000003732	0.0000000%
953.81685		- 	891.93181		- 	010	154	0004382	 000000003877	0.0000000%
976.43830		- 	892.79582		- 	010	151	0004544	 000000004023	0.0000000%
946.38285		- 	893.81643		- 	008	172	0004702	 000000004169	0.0000000%
990.18504		- 	894.58898		- 	009	161	0004866	 000000004313	0.0000000%
958.00249		- 	895.13961		- 	009	167	0005024	 000000004459	0.0000000%
1096.8149		- 	896.04747		- 	008	172	0005190	 000000004603	0.0000000%
918.23751		- 	896.61405		- 	008	158	0005354	 000000004749	0.0000000%
1026.9696		- 	897.20363		- 	012	154	0005521	 000000004896	0.0000000%
937.41920		- 	897.57066		- 	008	169	0005675	 000000005042	0.0000000%
1020.1548		- 	898.04339		- 	009	171	0005842	 000000005187	0.0000000%
1099.3825		- 	898.26472		- 	008	158	0005998	 000000005331	0.0000000%
1050.0191		- 	898.62502		- 	009	154	0006166	 000000005477	0.0000000%
1020.7306		- 	899.19961		- 	008	163	0006327	 000000005622	0.0000000%
939.99413		- 	899.55957		- 	008	165	0006489	 000000005768	0.0000000%
989.99866		- 	900.39769		- 	009	168	0006651	 000000005913	0.0000000%
1115.1723		- 	900.85929		- 	010	157	0006810	 000000006059	0.0000000%
1048.5724		- 	901.57778		- 	011	143	0006975	 000000006206	0.0000000%
1062.0262		- 	902.14325		- 	010	158	0007133	 000000006352	0.0000000%
1050.0065		- 	902.98919		- 	005	170	0007292	 000000006497	0.0000000%
941.86550		- 	903.46409		- 	008	178	0007462	 000000006643	0.0000000%
1138.7912		- 	903.59302		- 	010	153	0007619	 000000006790	0.0000000%
929.87566		- 	903.76773		- 	008	174	0007785	 000000006936	0.0000000%
