Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: bubbles7
directory: 2D
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 407
Initial Upper Bound: 1639.33000000
Average radius size: 10.00000000
Using variable selection rule #1!
Size of the tree: 1.38513816e+884
Raiz: 0 346 347 
Initial root: 0 346 347 
Value of objective function: 5.39999999e+02
SolverStatus: Solved
Solution: 
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )
( 6.89655159e+00, 1.97758621e+02, 0.00000000e+00 )
( 1.93103448e+02, 2.24137917e+00, 0.00000000e+00 )
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )

Not covered in root: 368 325 367 326 406 369 366 327 324 251 405 370 328 365 252 288 323 289 404 371 364 329 287 253 220 185 322 290 403 372 363 330 254 286 219 186 250 221 321 291 402 373 362 331 285 255 187 218 156 157 249 222 292 320 401 374 361 332 284 256 217 188 155 127 184 158 223 248 319 293 375 400 360 333 283 257 216 189 154 128 102 77 183 159 224 247 318 294 399 376 359 334 282 258 215 190 153 129 126 103 101 78 160 182 246 225 317 295 398 377 358 335 259 281 214 191 152 130 125 104 37 67 100 79 181 161 245 226 316 296 397 378 357 336 280 260 213 192 151 131 124 105 20 38 68 49 80 99 180 162 244 227 315 297 396 379 356 337 279 261 212 193 150 132 123 106 19 39 28 1 50 69 98 81 179 163 243 228 298 314 395 380 355 338 278 262 211 194 149 133 122 107 18 40 66 2 27 29 70 51 97 82 178 164 242 229 313 299 394 381 354 339 277 263 210 195 148 134 121 108 17 41 3 65 26 30 71 52 96 83 177 165 241 230 312 300 393 382 353 340 276 264 209 196 147 135 109 120 16 42 64 4 25 31 72 53 95 84 166 176 240 231 311 301 392 383 352 341 275 265 208 197 146 136 119 110 15 43 63 5 24 32 54 73 94 85 167 175 239 232 310 302 391 384 351 342 274 266 207 198 145 137 118 111 14 44 62 6 23 33 74 55 93 86 174 168 238 233 309 303 390 385 350 343 273 267 206 199 144 138 117 112 13 45 7 61 22 34 75 56 92 87 169 173 237 234 308 304 389 386 349 344 272 268 205 200 143 139 116 113 12 46 60 8 170 141 171 172 235 236 89 114 115 142 305 269 270 271 306 307 348 48 202 203 204 9 10 11 21 35 36 345 47 140 387 388 57 76 58 59 88 201 90 91 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
723.31716		- 	540.00000		- 	002	315	0000004	 000000000002	0.0000000%
1060.0749		- 	922.10211		- 	007	239	0000210	 000000000172	0.0000000%
1177.4731		- 	943.41035		- 	008	217	0000414	 000000000347	0.0000000%
1079.3798		- 	953.64370		- 	007	247	0000612	 000000000524	0.0000000%
1004.3259		- 	961.13325		- 	008	221	0000822	 000000000702	0.0000000%
992.82116		- 	968.91387		- 	007	230	0001024	 000000000880	0.0000000%
991.34841		- 	973.04218		- 	008	221	0001226	 000000001059	0.0000000%
1131.2416		- 	976.79302		- 	008	202	0001423	 000000001239	0.0000000%
1268.9783		- 	979.01140		- 	010	212	0001628	 000000001419	0.0000000%
1228.4728		- 	984.05101		- 	009	203	0001836	 000000001599	0.0000000%
1178.4431		- 	986.27570		- 	008	206	0002036	 000000001781	0.0000000%
1254.2554		- 	989.09020		- 	009	204	0002241	 000000001963	0.0000000%
1158.2140		- 	991.95996		- 	007	216	0002438	 000000002143	0.0000000%
1199.7749		- 	994.20090		- 	010	200	0002643	 000000002323	0.0000000%
1335.3140		- 	996.37490		- 	007	214	0002850	 000000002504	0.0000000%
1154.4142		- 	997.29202		- 	009	224	0003052	 000000002685	0.0000000%
1143.7815		- 	998.18338		- 	006	229	0003255	 000000002866	0.0000000%
1158.1756		- 	1000.0457		- 	010	222	0003460	 000000003046	0.0000000%
1375.5726		- 	1001.9243		- 	008	197	0003659	 000000003230	0.0000000%
1274.5200		- 	1003.0599		- 	008	216	0003861	 000000003409	0.0000000%
1164.0101		- 	1004.3835		- 	009	210	0004064	 000000003591	0.0000000%
1028.0721		- 	1006.3261		- 	010	211	0004273	 000000003773	0.0000000%
1311.7726		- 	1007.1438		- 	008	214	0004469	 000000003956	0.0000000%
1146.4012		- 	1007.8935		- 	008	233	0004673	 000000004137	0.0000000%
1243.2934		- 	1008.9357		- 	011	201	0004884	 000000004319	0.0000000%
1056.8897		- 	1009.7866		- 	010	206	0005087	 000000004501	0.0000000%
1085.4975		- 	1010.9539		- 	009	211	0005288	 000000004683	0.0000000%
1254.0589		- 	1011.9166		- 	007	216	0005486	 000000004864	0.0000000%
1076.1672		- 	1012.7283		- 	010	209	0005686	 000000005047	0.0000000%
1036.7719		- 	1014.1240		- 	008	219	0005897	 000000005228	0.0000000%
1038.6227		- 	1014.7492		- 	007	229	0006092	 000000005411	0.0000000%
1131.6104		- 	1015.8591		- 	009	212	0006304	 000000005594	0.0000000%
