Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: bubbles8
directory: 2D
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 497
Initial Upper Bound: 1972.99000000
Average radius size: 10.00000000
Using variable selection rule #1!
Size of the tree: 9.89916901e+1122
Raiz: 0 454 407 
Initial root: 0 454 407 
Value of objective function: 5.96553218e+02
SolverStatus: Solved
Solution: 
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )
( 2.03087774e+02, 2.07773582e+02, 0.00000000e+00 )
( -3.08777369e+00, -7.77358158e+00, 0.00000000e+00 )
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )

Not covered in root: 431 430 432 429 475 476 433 428 347 346 474 477 434 427 348 345 387 388 473 478 435 426 349 344 306 270 386 389 472 479 436 425 350 343 271 269 305 307 385 390 471 480 437 424 351 342 272 268 203 202 304 308 384 391 470 481 438 423 352 341 273 267 204 201 235 236 303 309 383 392 469 482 439 422 353 340 274 266 205 200 171 141 234 237 302 310 382 393 468 483 440 421 354 339 275 265 206 199 142 140 170 172 233 238 301 311 381 394 467 484 441 420 355 338 276 264 207 198 143 139 89 90 169 173 232 239 300 312 380 395 466 485 442 419 356 337 277 263 208 197 144 138 115 114 88 91 168 174 231 240 299 313 379 396 465 486 443 418 357 336 278 262 209 196 145 137 116 113 58 48 87 92 167 175 230 241 298 314 378 397 464 487 444 417 358 335 279 261 210 195 146 136 117 112 11 47 57 76 86 93 166 176 229 242 297 315 377 398 463 488 445 416 359 334 280 260 211 194 147 135 118 111 12 46 36 10 56 75 85 94 165 177 228 243 296 316 376 399 462 489 446 415 360 333 281 259 212 193 148 134 119 110 13 45 59 9 35 21 55 74 84 95 164 178 227 244 295 317 375 400 461 490 447 414 361 332 282 258 213 192 149 133 120 109 14 44 60 8 34 22 54 73 83 96 163 179 226 245 294 318 374 401 460 491 448 413 362 331 283 257 214 191 150 132 121 108 15 43 61 7 33 23 53 72 82 97 162 180 225 246 293 319 373 402 459 492 449 412 363 330 284 256 215 190 151 131 122 107 16 42 62 6 32 24 52 71 81 98 161 181 224 247 292 320 372 403 458 493 450 411 364 329 285 255 216 189 152 130 123 106 17 41 63 5 31 25 51 70 80 99 160 182 223 248 291 321 371 404 457 494 451 410 365 328 286 254 217 188 153 129 124 105 18 40 64 4 30 26 50 69 79 100 159 183 222 249 290 322 370 405 456 495 452 409 366 327 287 253 218 187 154 128 125 104 19 39 65 3 496 408 406 38 2 1 453 455 27 20 250 251 252 126 184 68 323 49 289 288 77 127 185 78 158 157 156 155 103 102 28 186 324 325 326 101 37 67 66 367 368 369 29 219 220 221 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
809.49764		- 	596.55322		- 	002	396	0000004	 000000000002	0.0000000%
1106.1588		- 	1030.0867		- 	007	297	0000256	 000000000210	0.0000000%
1068.4699		- 	1048.6581		- 	005	313	0000500	 000000000426	0.0000000%
1126.0289		- 	1062.1527		- 	005	316	0000748	 000000000642	0.0000000%
1147.7583		- 	1071.6258		- 	006	304	0000997	 000000000860	0.0000000%
1365.5699		- 	1077.2850		- 	009	259	0001246	 000000001079	0.0000000%
1479.5888		- 	1081.9324		- 	009	262	0001494	 000000001298	0.0000000%
1295.2245		- 	1087.5523		- 	008	280	0001739	 000000001518	0.0000000%
1295.1567		- 	1093.2862		- 	007	288	0001986	 000000001738	0.0000000%
1131.2641		- 	1096.4451		- 	007	297	0002237	 000000001959	0.0000000%
1236.2061		- 	1101.3293		- 	009	289	0002484	 000000002178	0.0000000%
1128.8026		- 	1103.3716		- 	010	276	0002738	 000000002399	0.0000000%
1354.2237		- 	1106.3545		- 	008	272	0002980	 000000002621	0.0000000%
1132.6966		- 	1108.0495		- 	010	287	0003226	 000000002841	0.0000000%
1173.2849		- 	1109.1526		- 	007	297	0003481	 000000003062	0.0000000%
1459.4627		- 	1112.2852		- 	007	262	0003728	 000000003283	0.0000000%
1203.6253		- 	1113.6954		- 	009	284	0003970	 000000003505	0.0000000%
1285.7860		- 	1115.4898		- 	008	275	0004226	 000000003725	0.0000000%
1166.9025		- 	1116.9439		- 	008	286	0004466	 000000003949	0.0000000%
1178.4773		- 	1119.4667		- 	011	268	0004718	 000000004169	0.0000000%
1415.5261		- 	1120.3547		- 	008	273	0004965	 000000004393	0.0000000%
1272.8995		- 	1121.4906		- 	008	295	0005211	 000000004615	0.0000000%
1393.8098		- 	1123.5599		- 	009	279	0005464	 000000004836	0.0000000%
1189.8285		- 	1124.8248		- 	010	280	0005711	 000000005059	0.0000000%
1513.3362		- 	1126.0385		- 	009	267	0005962	 000000005281	0.0000000%
1329.9591		- 	1127.2172		- 	010	277	0006205	 000000005504	0.0000000%
1155.3733		- 	1127.8139		- 	011	279	0006456	 000000005727	0.0000000%
1281.0805		- 	1128.8026		- 	011	284	0006700	 000000005950	0.0000000%
1313.2794		- 	1130.2807		- 	010	262	0006946	 000000006173	0.0000000%
1325.9583		- 	1131.1566		- 	010	271	0007201	 000000006396	0.0000000%
1199.9837		- 	1132.2376		- 	010	284	0007443	 000000006618	0.0000000%
1197.8537		- 	1133.3272		- 	008	284	0007695	 000000006842	0.0000000%
1410.7086		- 	1134.3747		- 	008	276	0007942	 000000007065	0.0000000%
1160.3417		- 	1134.8053		- 	009	285	0008188	 000000007287	0.0000000%
1204.9848		- 	1135.2707		- 	009	289	0008436	 000000007509	0.0000000%
1175.1773		- 	1136.7490		- 	009	282	0008682	 000000007732	0.0000000%
