Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: bubbles9
directory: 2D
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 595
Initial Upper Bound: 2330.31000000
Average radius size: 10.00000000
Using variable selection rule #1!
Size of the tree: 1.39306670e+1391
Raiz: 0 522 523 
Initial root: 0 522 523 
Value of objective function: 6.53108937e+02
SolverStatus: Solved
Solution: 
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )
( -1.30746819e+01, 2.17786127e+02, 0.00000000e+00 )
( 2.13074682e+02, -1.77861270e+01, 0.00000000e+00 )
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )

Not covered in root: 548 497 547 498 594 549 546 499 407 454 593 550 545 500 453 408 496 455 551 592 544 501 452 409 368 325 495 456 591 552 543 502 451 410 367 326 406 369 494 457 590 553 542 503 450 411 366 327 324 251 405 370 493 458 589 554 541 504 449 412 365 328 288 252 323 289 404 371 492 459 588 555 540 505 448 413 364 329 287 253 220 185 322 290 403 372 491 460 587 556 539 506 447 414 330 363 286 254 219 186 250 221 321 291 402 373 490 461 586 557 538 507 446 415 362 331 285 255 218 187 156 157 249 222 320 292 401 374 489 462 585 558 537 508 445 416 361 332 284 256 217 188 155 127 184 158 248 223 319 293 400 375 488 463 584 559 536 509 444 417 360 333 283 257 216 189 154 128 102 77 183 159 247 224 318 294 399 376 487 464 583 560 535 510 443 418 359 334 282 258 215 190 153 129 126 103 101 78 182 160 246 225 317 295 398 377 486 465 582 561 534 511 442 419 358 335 281 259 214 191 152 130 125 104 67 37 100 79 181 161 245 226 316 296 397 378 485 466 581 562 533 512 441 420 357 336 280 260 213 192 151 131 124 105 20 38 68 49 99 80 180 162 244 227 315 297 396 379 484 467 580 563 532 513 440 421 356 337 279 261 212 193 150 132 123 106 19 39 28 1 69 50 98 81 179 163 243 228 314 298 395 380 483 468 579 564 531 514 439 422 355 338 278 262 211 194 149 133 122 107 18 40 66 2 27 29 70 51 97 82 178 164 242 229 313 299 394 381 482 469 578 565 530 515 438 423 354 339 277 263 210 195 148 134 121 108 17 41 65 3 26 30 71 52 96 83 177 165 241 230 312 300 393 382 481 470 577 566 529 516 437 424 353 340 276 264 209 196 147 135 120 109 16 42 64 4 25 31 72 53 95 84 176 166 240 231 311 301 392 383 480 471 576 567 528 517 436 425 352 341 275 265 208 197 146 136 119 110 15 43 63 5 24 32 73 54 94 85 175 167 239 232 310 302 391 384 479 472 575 568 527 518 435 426 351 342 274 266 207 198 145 137 118 111 14 44 62 6 23 33 74 55 93 86 174 168 238 233 309 303 390 385 478 473 574 569 526 519 434 427 350 343 273 267 206 199 144 138 117 112 13 45 61 7 22 34 75 56 92 87 173 169 237 234 308 304 389 386 477 474 573 570 525 520 433 428 349 344 272 268 205 200 143 139 116 113 12 46 60 8 571 21 306 305 348 347 346 11 429 521 524 572 345 236 430 115 114 431 432 57 58 59 201 202 203 204 475 10 270 387 388 172 142 141 140 271 476 35 36 307 88 171 170 76 89 90 269 91 9 47 48 235 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
876.38025		- 	653.10894		- 	002	477	0000004	 000000000002	0.0000000%
1312.8747		- 	1134.5906		- 	007	389	0000300	 000000000253	0.0000000%
1189.1332		- 	1153.6115		- 	008	370	0000600	 000000000511	0.0000000%
1400.5388		- 	1171.1501		- 	009	352	0000902	 000000000769	0.0000000%
1351.0043		- 	1180.2936		- 	007	370	0001192	 000000001033	0.0000000%
1342.8551		- 	1189.1332		- 	009	352	0001492	 000000001296	0.0000000%
1210.8281		- 	1195.0582		- 	008	379	0001786	 000000001559	0.0000000%
1434.8597		- 	1200.9604		- 	008	363	0002088	 000000001822	0.0000000%
1233.7799		- 	1205.8163		- 	006	375	0002378	 000000002087	0.0000000%
1395.5985		- 	1209.4181		- 	009	340	0002684	 000000002351	0.0000000%
1566.1809		- 	1213.1298		- 	009	340	0002973	 000000002616	0.0000000%
1239.1206		- 	1215.4479		- 	010	356	0003279	 000000002881	0.0000000%
1293.6022		- 	1217.9009		- 	007	363	0003572	 000000003146	0.0000000%
1459.9275		- 	1221.5015		- 	008	365	0003864	 000000003412	0.0000000%
1311.1509		- 	1224.4712		- 	007	372	0004164	 000000003678	0.0000000%
1308.5201		- 	1227.1381		- 	007	364	0004458	 000000003942	0.0000000%
1257.5844		- 	1229.5765		- 	010	363	0004763	 000000004207	0.0000000%
1320.5809		- 	1231.2315		- 	008	359	0005057	 000000004473	0.0000000%
1538.7126		- 	1232.9133		- 	008	339	0005353	 000000004740	0.0000000%
1286.2146		- 	1234.0542		- 	009	358	0005652	 000000005007	0.0000000%
1333.9650		- 	1235.2112		- 	009	353	0005948	 000000005272	0.0000000%
1377.9945		- 	1236.4666		- 	008	355	0006241	 000000005539	0.0000000%
1543.9565		- 	1237.9330		- 	010	323	0006539	 000000005805	0.0000000%
1549.2517		- 	1239.6038		- 	011	330	0006842	 000000006073	0.0000000%
1445.1408		- 	1241.3609		- 	007	369	0007132	 000000006340	0.0000000%
1548.6235		- 	1243.3734		- 	009	333	0007430	 000000006606	0.0000000%
1287.9785		- 	1244.4038		- 	010	356	0007726	 000000006872	0.0000000%
1502.9198		- 	1245.2731		- 	011	352	0008026	 000000007140	0.0000000%
1482.2362		- 	1246.0527		- 	009	347	0008318	 000000007409	0.0000000%
1350.9201		- 	1247.1615		- 	007	370	0008616	 000000007674	0.0000000%
1502.2558		- 	1248.6803		- 	010	353	0008913	 000000007939	0.0000000%
1470.0933		- 	1250.3725		- 	011	330	0009212	 000000008206	0.0000000%
1286.7570		- 	1251.0499		- 	010	351	0009514	 000000008476	0.0000000%
1306.3937		- 	1251.6349		- 	011	344	0009806	 000000008745	0.0000000%
1368.4437		- 	1252.7215		- 	006	368	0010100	 000000009012	0.0000000%
1483.5608		- 	1253.7083		- 	010	326	0010398	 000000009277	0.0000000%
1373.6694		- 	1255.3846		- 	009	341	0010702	 000000009545	0.0000000%
1488.3648		- 	1256.2416		- 	011	345	0010994	 000000009814	0.0000000%
1631.0321		- 	1257.4665		- 	005	366	0011291	 000000010081	0.0000000%
1442.7822		- 	1258.3651		- 	009	350	0011593	 000000010348	0.0000000%
1535.5449		- 	1258.9572		- 	010	349	0011891	 000000010619	0.0000000%
1639.0847		- 	1259.9739		- 	008	325	0012181	 000000010886	0.0000000%
1419.6815		- 	1260.5629		- 	010	339	0012486	 000000011155	0.0000000%
1583.4035		- 	1261.2088		- 	011	319	0012779	 000000011424	0.0000000%
1602.7596		- 	1261.8077		- 	009	324	0013078	 000000011691	0.0000000%
1621.2921		- 	1262.3664		- 	010	342	0013375	 000000011960	0.0000000%
1291.6238		- 	1263.1950		- 	009	359	0013665	 000000012228	0.0000000%
1293.0495		- 	1264.0642		- 	009	361	0013965	 000000012496	0.0000000%
1379.0716		- 	1264.5943		- 	006	373	0014258	 000000012765	0.0000000%
1291.3648		- 	1265.2909		- 	012	345	0014564	 000000013031	0.0000000%
1516.5857		- 	1266.0018		- 	007	349	0014858	 000000013301	0.0000000%
1560.6093		- 	1266.5518		- 	007	347	0015150	 000000013570	0.0000000%
1342.7879		- 	1267.1681		- 	010	354	0015449	 000000013839	0.0000000%
1504.4411		- 	1267.7416		- 	008	340	0015750	 000000014106	0.0000000%
1548.5793		- 	1268.1183		- 	010	333	0016049	 000000014376	0.0000000%
1410.9664		- 	1268.7421		- 	011	328	0016337	 000000014648	0.0000000%
1305.4102		- 	1269.5521		- 	009	358	0016641	 000000014918	0.0000000%
1426.2934		- 	1269.9570		- 	011	328	0016937	 000000015187	0.0000000%
1323.0783		- 	1270.2803		- 	009	345	0017228	 000000015456	0.0000000%
1458.0794		- 	1270.7501		- 	010	338	0017525	 000000015724	0.0000000%
1594.9135		- 	1271.3350		- 	011	336	0017828	 000000015994	0.0000000%
1306.1314		- 	1271.9364		- 	011	359	0018119	 000000016265	0.0000000%
1477.2445		- 	1272.2638		- 	009	343	0018423	 000000016533	0.0000000%
1309.2188		- 	1272.5946		- 	008	355	0018715	 000000016803	0.0000000%
1468.0336		- 	1273.0997		- 	011	349	0019012	 000000017072	0.0000000%
1429.6605		- 	1273.6590		- 	010	332	0019312	 000000017342	0.0000000%
1343.5116		- 	1273.9864		- 	010	357	0019608	 000000017613	0.0000000%
1360.0314		- 	1274.2242		- 	010	341	0019911	 000000017883	0.0000000%
1356.0548		- 	1274.7397		- 	012	343	0020209	 000000018151	0.0000000%
1465.4601		- 	1275.1141		- 	011	334	0020495	 000000018421	0.0000000%
1489.2122		- 	1275.5106		- 	012	325	0020804	 000000018690	0.0000000%
1390.1678		- 	1275.7920		- 	012	346	0021094	 000000018961	0.0000000%
1329.1702		- 	1276.2639		- 	010	350	0021389	 000000019229	0.0000000%
1315.5136		- 	1276.7560		- 	009	348	0021688	 000000019498	0.0000000%
1305.2615		- 	1277.1815		- 	012	341	0021990	 000000019768	0.0000000%
1534.3809		- 	1277.8028		- 	010	328	0022281	 000000020038	0.0000000%
1549.4231		- 	1278.3295		- 	008	348	0022575	 000000020309	0.0000000%
1605.6279		- 	1278.7059		- 	009	333	0022875	 000000020578	0.0000000%
1359.9087		- 	1279.1501		- 	007	357	0023169	 000000020847	0.0000000%
1585.9592		- 	1279.5805		- 	012	335	0023472	 000000021116	0.0000000%
1418.8102		- 	1279.9529		- 	009	357	0023767	 000000021385	0.0000000%
1371.3641		- 	1280.4198		- 	009	351	0024063	 000000021655	0.0000000%
1542.8954		- 	1280.7410		- 	012	332	0024366	 000000021924	0.0000000%
1362.1432		- 	1281.2834		- 	010	351	0024653	 000000022196	0.0000000%
1501.0838		- 	1281.8571		- 	009	342	0024950	 000000022466	0.0000000%
1384.8564		- 	1282.3740		- 	012	353	0025259	 000000022736	0.0000000%
1483.3129		- 	1282.8684		- 	009	345	0025544	 000000023008	0.0000000%
1689.3065		- 	1283.1513		- 	012	322	0025842	 000000023279	0.0000000%
1474.2488		- 	1283.6813		- 	010	337	0026147	 000000023550	0.0000000%
1484.7650		- 	1283.9558		- 	011	321	0026446	 000000023820	0.0000000%
1306.6732		- 	1284.2923		- 	010	345	0026742	 000000024091	0.0000000%
1338.1515		- 	1284.6410		- 	011	337	0027034	 000000024361	0.0000000%
1658.4151		- 	1285.2954		- 	009	332	0027332	 000000024630	0.0000000%
1613.6443		- 	1285.5381		- 	010	325	0027629	 000000024902	0.0000000%
1601.4377		- 	1285.8778		- 	010	330	0027923	 000000025173	0.0000000%
1583.1020		- 	1286.0093		- 	009	343	0028221	 000000025443	0.0000000%
1594.8620		- 	1286.2289		- 	011	319	0028523	 000000025712	0.0000000%
1328.3849		- 	1286.9612		- 	009	349	0028816	 000000025982	0.0000000%
1510.1586		- 	1287.2023		- 	010	351	0029113	 000000026249	0.0000000%
1447.6056		- 	1287.4952		- 	012	333	0029416	 000000026518	0.0000000%
1361.5557		- 	1287.7550		- 	010	346	0029707	 000000026789	0.0000000%
1311.9145		- 	1287.8890		- 	010	347	0030003	 000000027060	0.0000000%
1435.1740		- 	1288.0978		- 	010	345	0030301	 000000027329	0.0000000%
1374.3855		- 	1288.3359		- 	008	354	0030596	 000000027599	0.0000000%
1374.8531		- 	1288.6675		- 	013	345	0030903	 000000027868	0.0000000%
1376.7857		- 	1289.0251		- 	008	355	0031190	 000000028136	0.0000000%
1501.9559		- 	1289.1427		- 	009	363	0031487	 000000028407	0.0000000%
1468.9660		- 	1289.4783		- 	009	336	0031789	 000000028677	0.0000000%
1387.4363		- 	1290.1172		- 	007	374	0032079	 000000028947	0.0000000%
1450.0508		- 	1290.4357		- 	008	368	0032383	 000000029216	0.0000000%
1380.7912		- 	1290.6087		- 	010	344	0032679	 000000029487	0.0000000%
1626.2200		- 	1290.7552		- 	010	342	0032976	 000000029758	0.0000000%
1343.7808		- 	1290.9140		- 	010	345	0033269	 000000030028	0.0000000%
1553.5430		- 	1291.1360		- 	010	326	0033564	 000000030298	0.0000000%
1487.7054		- 	1291.2889		- 	010	350	0033865	 000000030568	0.0000000%
1316.2647		- 	1291.5010		- 	009	344	0034157	 000000030840	0.0000000%
1581.7997		- 	1291.7537		- 	009	335	0034455	 000000031110	0.0000000%
1504.7685		- 	1292.0188		- 	012	333	0034755	 000000031380	0.0000000%
1337.2593		- 	1292.1950		- 	011	351	0035050	 000000031651	0.0000000%
1380.0733		- 	1292.3288		- 	010	354	0035348	 000000031922	0.0000000%
1475.6664		- 	1292.5171		- 	011	353	0035650	 000000032191	0.0000000%
1523.0405		- 	1292.8205		- 	010	340	0035939	 000000032461	0.0000000%
