Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: concentricCircles2
directory: 2D
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 37
Initial Upper Bound: 153.13217492
Average radius size: 3.00000000
Using variable selection rule #1!
Size of the tree: 1.91315331e+41
Raiz: 0 34 24 
Initial root: 0 34 24 
Value of objective function: 6.80000000e+01
SolverStatus: Solved
Solution: 
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )
( 8.68250000e+01, 8.92566590e+01, 0.00000000e+00 )
( 1.13175000e+02, 1.10743341e+02, 0.00000000e+00 )
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )

Not covered in root: 19 29 30 20 18 28 21 31 17 27 22 32 36 26 3 11 10 2 12 4 1 9 35 25 5 13 16 8 23 33 6 14 15 7 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
89.096600		- 	68.000000		- 	002	029	0000004	 000000000002	0.0000000%
128.57610		- 	103.04432		- 	004	021	0000021	 000000000016	0.0000000%
136.06772		- 	110.23529		- 	004	023	0000041	 000000000030	0.0000000%
123.98432		- 	114.86642		- 	004	023	0000058	 000000000045	0.0000000%
126.06501		- 	118.04578		- 	006	022	0000077	 000000000060	0.0000000%
137.85820		- 	118.47311		- 	005	018	0000102	 000000000074	0.0000000%
132.21181		- 	119.59610		- 	005	015	0000118	 000000000089	0.0000000%
132.35150		- 	121.29332		- 	005	024	0000148	 000000000102	0.0000000%
123.75926		- 	122.34277		- 	006	026	0000171	 000000000116	0.0000000%
144.44096		- 	122.51076		- 	006	021	0000199	 000000000130	0.0000000%
150.19951		- 	123.65240		- 	007	023	0000233	 000000000143	0.0000000%
147.17322		- 	123.77264		- 	006	020	0000255	 000000000158	0.0000000%
148.50554		- 	124.03193		- 	007	023	0000284	 000000000172	0.0000000%
139.39628		- 	125.14756		- 	007	021	0000309	 000000000187	0.0000000%
127.19347		- 	125.78991		- 	007	023	0000345	 000000000200	0.0000000%
128.73707		- 	126.13086		- 	007	023	0000386	 000000000213	0.0000000%
148.39671		- 	126.46652		- 	006	020	0000428	 000000000226	0.0000000%
144.74417		- 	126.67802		- 	006	018	0000462	 000000000240	0.0000000%
142.33650		- 	126.87693		- 	008	021	0000496	 000000000253	0.0000000%
128.98649		- 	127.18792		- 	009	022	0000529	 000000000267	0.0000000%
144.99638		- 	127.19347		- 	008	017	0000547	 000000000283	0.0000000%
130.02834		- 	127.52583		- 	009	023	0000572	 000000000298	0.0000000%
133.34015		- 	127.69950		- 	009	021	0000602	 000000000313	0.0000000%
129.63306		- 	128.22971		- 	008	023	0000628	 000000000328	0.0000000%
141.75058		- 	128.57610		- 	005	019	0000659	 000000000342	0.0000000%
134.65502		- 	128.85325		- 	010	020	0000708	 000000000355	0.0000000%
151.74228		- 	129.18453		- 	007	022	0000736	 000000000370	0.0000000%
138.39062		- 	129.35440		- 	010	020	0000769	 000000000384	0.0000000%
133.04816		- 	129.51503		- 	009	020	0000806	 000000000398	0.0000000%
141.49566		- 	129.53956		- 	010	019	0000827	 000000000414	0.0000000%
147.48440		- 	129.63306		- 	009	017	0000848	 000000000430	0.0000000%
134.58368		- 	129.74615		- 	010	019	0000888	 000000000444	0.0000000%
131.39716		- 	129.87324		- 	010	021	0000910	 000000000460	0.0000000%
132.13528		- 	129.92305		- 	010	022	0000938	 000000000475	0.0000000%
135.37361		- 	130.02834		- 	010	019	0000966	 000000000490	0.0000000%
133.51408		- 	130.10905		- 	006	020	0001000	 000000000504	0.0000000%
135.48702		- 	130.14133		- 	009	020	0001027	 000000000519	0.0000000%
144.50606		- 	130.32995		- 	010	017	0001059	 000000000534	0.0000000%
136.57223		- 	130.43112		- 	010	022	0001092	 000000000549	0.0000000%
136.16493		- 	130.82502		- 	008	021	0001112	 000000000565	0.0000000%
133.26082		- 	131.03575		- 	008	024	0001149	 000000000579	0.0000000%
141.29308		- 	131.15415		- 	011	019	0001185	 000000000594	0.0000000%
147.60685		- 	131.23261		- 	010	018	0001218	 000000000609	0.0000000%
141.83764		- 	131.24041		- 	011	019	0001241	 000000000625	0.0000000%
141.31594		- 	131.31483		- 	011	020	0001264	 000000000641	0.0000000%
142.07608		- 	131.43953		- 	011	018	0001306	 000000000655	0.0000000%
144.63064		- 	131.52419		- 	010	021	0001329	 000000000671	0.0000000%
134.57040		- 	131.60078		- 	011	021	0001366	 000000000685	0.0000000%
151.30432		- 	131.77288		- 	011	017	0001390	 000000000701	0.0000000%
133.77723		- 	131.80684		- 	009	019	0001421	 000000000716	0.0000000%
139.13229		- 	131.88938		- 	011	020	0001467	 000000000730	0.0000000%
134.27117		- 	131.93524		- 	011	020	0001498	 000000000745	0.0000000%
135.47739		- 	131.95614		- 	010	020	0001533	 000000000760	0.0000000%
139.23106		- 	131.96420		- 	011	021	0001568	 000000000775	0.0000000%
133.85052		- 	132.02293		- 	011	020	0001601	 000000000789	0.0000000%
145.55635		- 	132.06710		- 	010	021	0001633	 000000000804	0.0000000%
133.76318		- 	132.11225		- 	011	019	0001669	 000000000819	0.0000000%
136.35221		- 	132.13528		- 	011	021	0001693	 000000000835	0.0000000%
136.43788		- 	132.19505		- 	011	019	0001729	 000000000850	0.0000000%
151.81597		- 	132.29139		- 	010	017	0001761	 000000000864	0.0000000%
143.14204		- 	132.35318		- 	007	021	0001792	 000000000878	0.0000000%
147.44516		- 	132.35850		- 	011	018	0001828	 000000000893	0.0000000%
147.46777		- 	132.40279		- 	011	018	0001852	 000000000909	0.0000000%
135.98191		- 	132.46277		- 	010	021	0001886	 000000000924	0.0000000%
144.90006		- 	132.46421		- 	010	015	0001908	 000000000940	0.0000000%
144.94003		- 	132.50420		- 	011	014	0001945	 000000000955	0.0000000%
152.63883		- 	132.57471		- 	005	017	0001988	 000000000968	0.0000000%
136.86030		- 	132.64337		- 	011	021	0002023	 000000000983	0.0000000%
143.24236		- 	132.64873		- 	011	017	0002047	 000000000999	0.0000000%
134.09699		- 	132.72370		- 	012	020	0002087	 000000001013	0.0000000%
136.98859		- 	132.78097		- 	011	019	0002124	 000000001028	0.0000000%
145.21166		- 	132.78638		- 	011	015	0002148	 000000001044	0.0000000%
141.84657		- 	132.94555		- 	010	020	0002187	 000000001058	0.0000000%
134.77979		- 	132.99186		- 	010	020	0002226	 000000001072	0.0000000%
138.39003		- 	133.02121		- 	011	019	0002262	 000000001087	0.0000000%
139.26071		- 	133.04816		- 	010	021	0002307	 000000001101	0.0000000%
141.79602		- 	133.08245		- 	012	019	0002331	 000000001117	0.0000000%
148.91839		- 	133.11807		- 	011	018	0002367	 000000001132	0.0000000%
144.96321		- 	133.16085		- 	007	023	0002387	 000000001148	0.0000000%
141.65547		- 	133.21515		- 	006	021	0002424	 000000001162	0.0000000%
139.17691		- 	133.28450		- 	012	018	0002467	 000000001176	0.0000000%
144.46576		- 	133.28877		- 	011	021	0002491	 000000001192	0.0000000%
139.06603		- 	133.31781		- 	012	019	0002541	 000000001206	0.0000000%
134.71514		- 	133.38826		- 	008	023	0002583	 000000001220	0.0000000%
134.53536		- 	133.39346		- 	009	022	0002639	 000000001233	0.0000000%
148.52877		- 	133.42032		- 	012	018	0002674	 000000001248	0.0000000%
135.36290		- 	133.54087		- 	012	018	0002716	 000000001262	0.0000000%
134.95586		- 	133.58713		- 	011	020	0002768	 000000001275	0.0000000%
140.45184		- 	133.61896		- 	012	018	0002806	 000000001290	0.0000000%
144.10790		- 	133.65320		- 	012	018	0002858	 000000001304	0.0000000%
147.60849		- 	133.72129		- 	011	020	0002904	 000000001318	0.0000000%
142.28734		- 	133.77723		- 	010	018	0002937	 000000001333	0.0000000%
148.47381		- 	133.78838		- 	007	024	0002979	 000000001347	0.0000000%
142.34259		- 	133.80998		- 	006	019	0003012	 000000001362	0.0000000%
136.39076		- 	133.83086		- 	013	019	0003051	 000000001377	0.0000000%
135.50145		- 	133.85052		- 	012	018	0003090	 000000001392	0.0000000%
148.32234		- 	133.89789		- 	012	018	0003134	 000000001406	0.0000000%
144.96103		- 	133.94352		- 	012	019	0003180	 000000001420	0.0000000%
141.37529		- 	133.98886		- 	012	018	0003223	 000000001434	0.0000000%
135.95800		- 	134.03165		- 	013	018	0003262	 000000001448	0.0000000%
147.18731		- 	134.06305		- 	012	015	0003314	 000000001462	0.0000000%
147.99485		- 	134.09699		- 	013	019	0003349	 000000001477	0.0000000%
150.58995		- 	134.11550		- 	012	018	0003389	 000000001492	0.0000000%
144.04683		- 	134.17506		- 	012	020	0003426	 000000001507	0.0000000%
141.17905		- 	134.17896		- 	012	018	0003455	 000000001522	0.0000000%
142.34371		- 	134.19635		- 	012	018	0003487	 000000001537	0.0000000%
135.54434		- 	134.20252		- 	011	020	0003523	 000000001552	0.0000000%
136.18368		- 	134.21397		- 	012	017	0003549	 000000001568	0.0000000%
135.49972		- 	134.23839		- 	011	019	0003585	 000000001583	0.0000000%
