Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: concentricCircles5
directory: 2D
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 149
Initial Upper Bound: 645.38050445
Average radius size: 3.00000000
Using variable selection rule #1!
Size of the tree: 1.28685734e+258
Raiz: 0 105 127 
Initial root: 0 105 127 
Value of objective function: 1.88000000e+02
SolverStatus: Solved
Solution: 
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )
( 1.00000000e+02, 5.29999999e+01, 0.00000000e+00 )
( 1.00000000e+02, 1.47000000e+02, 0.00000000e+00 )
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )

Not covered in root: 116 138 117 137 115 139 118 114 140 136 113 119 141 134 112 135 120 142 72 94 121 111 133 143 71 73 93 95 70 74 96 92 69 75 97 91 68 76 98 90 67 77 99 89 122 110 132 144 43 55 42 56 44 54 78 66 100 88 109 123 131 145 57 45 41 53 46 40 108 124 130 146 58 52 79 65 101 87 22 32 80 102 64 86 23 31 21 33 24 63 81 20 85 30 103 34 39 47 59 51 48 38 50 60 5 25 19 35 13 29 6 4 14 12 125 107 129 147 7 3 26 18 36 28 15 11 126 106 128 148 82 62 2 8 16 10 104 84 61 9 1 27 37 49 17 83 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
253.64447		- 	188.00000		- 	002	128	0000004	 000000000002	0.0000000%
357.26307		- 	322.33478		- 	005	117	0000080	 000000000061	0.0000000%
368.71235		- 	341.54717		- 	006	122	0000156	 000000000123	0.0000000%
427.55134		- 	344.05136		- 	005	118	0000224	 000000000187	0.0000000%
382.97677		- 	349.66525		- 	007	111	0000300	 000000000249	0.0000000%
386.18895		- 	351.91882		- 	006	115	0000376	 000000000313	0.0000000%
499.95615		- 	353.10349		- 	007	102	0000452	 000000000377	0.0000000%
374.26155		- 	355.58559		- 	006	117	0000520	 000000000441	0.0000000%
467.07408		- 	360.41557		- 	007	105	0000596	 000000000505	0.0000000%
430.30562		- 	360.52861		- 	007	115	0000668	 000000000569	0.0000000%
378.16116		- 	363.45158		- 	007	117	0000744	 000000000633	0.0000000%
436.58239		- 	364.03671		- 	007	109	0000816	 000000000698	0.0000000%
445.79814		- 	368.08278		- 	007	103	0000892	 000000000761	0.0000000%
445.58974		- 	368.34687		- 	008	110	0000971	 000000000826	0.0000000%
476.77604		- 	370.69293		- 	007	109	0001044	 000000000891	0.0000000%
404.98116		- 	370.98809		- 	008	113	0001112	 000000000957	0.0000000%
484.57519		- 	371.59227		- 	008	104	0001193	 000000001022	0.0000000%
456.85686		- 	372.78754		- 	006	110	0001265	 000000001086	0.0000000%
420.80537		- 	374.26155		- 	007	109	0001336	 000000001151	0.0000000%
427.79605		- 	374.83652		- 	008	105	0001413	 000000001216	0.0000000%
387.29337		- 	375.49712		- 	007	114	0001488	 000000001281	0.0000000%
499.01901		- 	376.69314		- 	008	102	0001558	 000000001347	0.0000000%
451.86691		- 	376.84286		- 	007	108	0001636	 000000001412	0.0000000%
416.59078		- 	377.86982		- 	005	111	0001706	 000000001477	0.0000000%
451.54652		- 	378.80650		- 	006	110	0001779	 000000001542	0.0000000%
500.59159		- 	378.95914		- 	009	102	0001858	 000000001606	0.0000000%
524.24423		- 	380.79245		- 	007	102	0001932	 000000001672	0.0000000%
420.54865		- 	381.24244		- 	007	117	0002000	 000000001738	0.0000000%
496.80525		- 	381.46938		- 	008	114	0002080	 000000001803	0.0000000%
471.00429		- 	381.81067		- 	008	114	0002148	 000000001869	0.0000000%
419.46955		- 	382.16805		- 	008	114	0002226	 000000001933	0.0000000%
488.94225		- 	382.28374		- 	008	102	0002298	 000000001999	0.0000000%
441.02444		- 	382.50397		- 	008	102	0002370	 000000002065	0.0000000%
428.57386		- 	382.77466		- 	009	110	0002448	 000000002131	0.0000000%
435.94851		- 	383.26005		- 	009	102	0002522	 000000002197	0.0000000%
403.88586		- 	383.31444		- 	008	111	0002592	 000000002263	0.0000000%
431.81724		- 	384.66018		- 	008	110	0002669	 000000002328	0.0000000%
393.44760		- 	385.02653		- 	008	111	0002744	 000000002393	0.0000000%
403.68379		- 	385.30749		- 	008	115	0002817	 000000002458	0.0000000%
538.38737		- 	385.68043		- 	008	102	0002889	 000000002524	0.0000000%
488.82889		- 	386.22245		- 	008	096	0002968	 000000002589	0.0000000%
491.81210		- 	386.40231		- 	007	103	0003038	 000000002655	0.0000000%
394.49701		- 	386.61905		- 	007	112	0003114	 000000002720	0.0000000%
426.12049		- 	386.81296		- 	006	110	0003186	 000000002785	0.0000000%
420.36923		- 	387.22440		- 	009	113	0003258	 000000002851	0.0000000%
427.65679		- 	387.62855		- 	005	110	0003332	 000000002916	0.0000000%
