Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: rotatingDiamonds3
directory: 2D
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 181
Initial Upper Bound: 380.88233329
Average radius size: 2.00000000
Using variable selection rule #1!
Size of the tree: 1.01009211e+329
Raiz: 0 106 166 
Initial root: 0 106 166 
Value of objective function: 1.61705627e+02
SolverStatus: Solved
Solution: 
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )
( 1.28585786e+02, 1.28585786e+02, 0.00000000e+00 )
( 7.14142135e+01, 7.14142135e+01, 0.00000000e+00 )
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )

Not covered in root: 76 136 77 75 137 135 78 74 134 138 79 73 133 139 80 72 140 132 81 71 141 131 82 142 70 130 83 69 129 143 84 68 144 128 85 67 145 127 86 146 66 126 87 147 65 125 88 64 148 124 89 63 149 123 90 62 150 122 91 61 151 121 92 180 152 120 93 179 153 119 94 178 154 118 95 177 155 117 96 31 30 21 23 22 24 25 26 27 28 29 51 176 45 44 46 47 48 49 50 156 41 42 43 116 97 175 157 115 32 98 60 174 52 40 158 114 99 173 159 113 100 33 172 160 53 59 39 112 101 161 3 171 13 111 102 34 170 162 58 54 4 2 14 12 38 110 103 169 163 5 1 11 15 109 35 104 164 168 20 57 16 55 6 37 10 108 19 107 18 17 7 8 9 36 56 165 167 105 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
218.32518		- 	161.70563		- 	002	134	0000004	 000000000002	0.0000000%
298.65336		- 	272.79365		- 	006	082	0000098	 000000000075	0.0000000%
322.83299		- 	278.26241		- 	007	106	0000184	 000000000152	0.0000000%
327.01237		- 	282.26120		- 	006	093	0000273	 000000000230	0.0000000%
290.81847		- 	284.96410		- 	005	077	0000364	 000000000309	0.0000000%
306.38864		- 	287.19824		- 	006	063	0000452	 000000000385	0.0000000%
359.02601		- 	287.89613		- 	007	109	0000544	 000000000463	0.0000000%
306.23733		- 	290.59455		- 	005	072	0000648	 000000000541	0.0000000%
307.02392		- 	291.98408		- 	007	104	0000736	 000000000619	0.0000000%
296.20390		- 	292.07387		- 	008	126	0000831	 000000000698	0.0000000%
309.84381		- 	292.52496		- 	007	080	0000920	 000000000777	0.0000000%
313.97247		- 	293.23553		- 	006	058	0001010	 000000000855	0.0000000%
363.37254		- 	295.49678		- 	006	082	0001103	 000000000934	0.0000000%
346.67672		- 	295.93852		- 	010	107	0001196	 000000001013	0.0000000%
301.85945		- 	296.15198		- 	007	119	0001288	 000000001093	0.0000000%
339.61481		- 	296.20390		- 	009	124	0001374	 000000001174	0.0000000%
369.19020		- 	297.42705		- 	008	113	0001466	 000000001253	0.0000000%
352.39047		- 	297.53619		- 	009	099	0001560	 000000001333	0.0000000%
343.44411		- 	298.02380		- 	010	111	0001677	 000000001412	0.0000000%
343.19775		- 	298.65336		- 	007	078	0001768	 000000001492	0.0000000%
321.09079		- 	298.76742		- 	007	081	0001864	 000000001570	0.0000000%
326.76950		- 	299.07310		- 	008	070	0001960	 000000001649	0.0000000%
362.17489		- 	299.28196		- 	009	086	0002050	 000000001728	0.0000000%
370.51990		- 	300.18828		- 	009	122	0002142	 000000001808	0.0000000%
344.89382		- 	300.84960		- 	008	077	0002239	 000000001888	0.0000000%
374.73540		- 	300.94678		- 	007	093	0002332	 000000001967	0.0000000%
343.56637		- 	301.41088		- 	006	081	0002419	 000000002046	0.0000000%
369.34125		- 	301.85945		- 	008	115	0002513	 000000002124	0.0000000%
311.83683		- 	302.30578		- 	007	073	0002616	 000000002202	0.0000000%
311.63706		- 	302.35014		- 	008	099	0002712	 000000002281	0.0000000%
316.60599		- 	302.56638		- 	006	066	0002806	 000000002361	0.0000000%
312.19133		- 	302.67486		- 	009	112	0002912	 000000002439	0.0000000%
309.69660		- 	302.68577		- 	008	095	0003008	 000000002519	0.0000000%
357.10542		- 	302.99643		- 	009	099	0003114	 000000002598	0.0000000%
332.30583		- 	303.41082		- 	010	109	0003212	 000000002679	0.0000000%
360.92589		- 	304.70449		- 	007	103	0003308	 000000002759	0.0000000%
359.79096		- 	304.76016		- 	009	111	0003406	 000000002838	0.0000000%
360.63140		- 	304.79442		- 	009	102	0003516	 000000002917	0.0000000%
312.38239		- 	305.19737		- 	008	073	0003630	 000000002997	0.0000000%
335.67147		- 	305.22925		- 	011	100	0003732	 000000003077	0.0000000%
320.64082		- 	305.43943		- 	008	116	0003834	 000000003157	0.0000000%
373.96464		- 	305.45499		- 	011	107	0003948	 000000003237	0.0000000%
360.30788		- 	305.49361		- 	010	112	0004042	 000000003317	0.0000000%
354.13837		- 	305.66012		- 	008	094	0004162	 000000003395	0.0000000%
313.15475		- 	305.95244		- 	009	086	0004266	 000000003474	0.0000000%
355.82315		- 	305.96275		- 	007	082	0004360	 000000003553	0.0000000%
315.25424		- 	306.38864		- 	007	055	0004452	 000000003631	0.0000000%
357.15943		- 	306.48654		- 	010	082	0004540	 000000003713	0.0000000%
362.21781		- 	306.53439		- 	008	076	0004638	 000000003793	0.0000000%
328.14685		- 	306.87593		- 	008	080	0004733	 000000003872	0.0000000%
376.23625		- 	306.96030		- 	007	103	0004828	 000000003951	0.0000000%
316.45593		- 	307.02395		- 	008	093	0004923	 000000004030	0.0000000%
330.75163		- 	307.20969		- 	008	078	0005030	 000000004109	0.0000000%
356.59988		- 	307.29102		- 	011	102	0005156	 000000004187	0.0000000%
331.53810		- 	307.39520		- 	010	086	0005246	 000000004269	0.0000000%
320.21449		- 	307.49492		- 	008	090	0005357	 000000004348	0.0000000%
317.67354		- 	307.87662		- 	009	101	0005450	 000000004428	0.0000000%
317.86082		- 	308.03153		- 	007	071	0005548	 000000004507	0.0000000%
320.67138		- 	308.04776		- 	009	062	0005644	 000000004587	0.0000000%
349.45924		- 	308.17760		- 	009	105	0005754	 000000004666	0.0000000%
318.91769		- 	308.38754		- 	005	098	0005852	 000000004743	0.0000000%
340.31049		- 	308.55422		- 	011	090	0005960	 000000004822	0.0000000%
353.99198		- 	308.57188		- 	010	085	0006075	 000000004902	0.0000000%
356.97747		- 	308.90630		- 	009	099	0006178	 000000004982	0.0000000%
316.99197		- 	309.47273		- 	007	108	0006284	 000000005061	0.0000000%
354.89813		- 	309.47805		- 	010	088	0006387	 000000005140	0.0000000%
345.75990		- 	309.61743		- 	006	069	0006514	 000000005217	0.0000000%
365.17604		- 	309.69660		- 	009	091	0006616	 000000005295	0.0000000%
318.85433		- 	309.71890		- 	010	126	0006713	 000000005376	0.0000000%
358.51253		- 	309.73281		- 	008	094	0006819	 000000005454	0.0000000%
337.77347		- 	309.80033		- 	006	097	0006944	 000000005531	0.0000000%
317.95823		- 	309.84381		- 	008	079	0007044	 000000005609	0.0000000%
332.65435		- 	310.00760		- 	008	115	0007137	 000000005686	0.0000000%
346.07225		- 	310.10261		- 	007	075	0007228	 000000005765	0.0000000%
330.06812		- 	310.28052		- 	009	066	0007326	 000000005846	0.0000000%
326.13181		- 	310.32447		- 	007	065	0007420	 000000005926	0.0000000%
317.89163		- 	310.42249		- 	007	095	0007516	 000000006005	0.0000000%
316.77730		- 	310.45918		- 	008	117	0007618	 000000006083	0.0000000%
369.31668		- 	310.48006		- 	010	086	0007741	 000000006160	0.0000000%
320.13083		- 	310.59990		- 	007	086	0007844	 000000006239	0.0000000%
331.33538		- 	310.82679		- 	007	089	0007956	 000000006318	0.0000000%
318.16443		- 	310.96894		- 	009	063	0008060	 000000006397	0.0000000%
333.08077		- 	311.23849		- 	009	086	0008170	 000000006476	0.0000000%
326.32702		- 	311.28479		- 	008	091	0008283	 000000006554	0.0000000%
327.44083		- 	311.43807		- 	008	102	0008417	 000000006630	0.0000000%
334.85601		- 	311.60073		- 	009	071	0008536	 000000006707	0.0000000%
326.86238		- 	311.63706		- 	009	117	0008646	 000000006786	0.0000000%
365.17845		- 	311.68405		- 	011	102	0008752	 000000006864	0.0000000%
329.96633		- 	311.69048		- 	008	061	0008863	 000000006944	0.0000000%
324.88437		- 	311.75460		- 	009	059	0008968	 000000007023	0.0000000%
366.82322		- 	311.79490		- 	010	109	0009076	 000000007103	0.0000000%
368.30335		- 	311.82384		- 	010	124	0009185	 000000007182	0.0000000%
359.78072		- 	311.84825		- 	010	090	0009301	 000000007260	0.0000000%
324.58068		- 	311.96274		- 	010	099	0009411	 000000007340	0.0000000%
361.98980		- 	311.96336		- 	009	113	0009524	 000000007419	0.0000000%
339.25835		- 	312.14858		- 	012	112	0009628	 000000007501	0.0000000%
335.80591		- 	312.16209		- 	010	097	0009716	 000000007583	0.0000000%
360.77340		- 	312.26354		- 	010	084	0009837	 000000007662	0.0000000%
376.25730		- 	312.29475		- 	009	092	0009942	 000000007742	0.0000000%
319.03124		- 	312.48728		- 	009	082	0010072	 000000007819	0.0000000%
361.03425		- 	312.50681		- 	008	063	0010177	 000000007898	0.0000000%
338.97566		- 	312.51649		- 	012	095	0010269	 000000007980	0.0000000%
370.17389		- 	312.69907		- 	011	103	0010368	 000000008062	0.0000000%
329.37479		- 	312.82942		- 	008	078	0010467	 000000008142	0.0000000%
368.88326		- 	313.15474		- 	010	085	0010567	 000000008222	0.0000000%
338.90741		- 	313.27889		- 	006	085	0010658	 000000008303	0.0000000%
328.23101		- 	313.43543		- 	010	079	0010788	 000000008379	0.0000000%
335.91050		- 	313.67662		- 	008	078	0010895	 000000008458	0.0000000%
356.94155		- 	313.70327		- 	010	107	0010984	 000000008539	0.0000000%
317.72337		- 	313.97247		- 	007	081	0011076	 000000008619	0.0000000%
324.34093		- 	313.99146		- 	008	093	0011181	 000000008698	0.0000000%
316.98538		- 	313.99770		- 	012	081	0011322	 000000008775	0.0000000%
346.07139		- 	314.14432		- 	010	105	0011475	 000000008850	0.0000000%
338.57466		- 	314.22202		- 	009	088	0011572	 000000008931	0.0000000%
347.71260		- 	314.27665		- 	005	117	0011656	 000000009011	0.0000000%
356.31734		- 	314.34202		- 	010	106	0011746	 000000009091	0.0000000%
366.19571		- 	314.37166		- 	009	101	0011882	 000000009170	0.0000000%
335.60141		- 	314.37871		- 	012	105	0012004	 000000009249	0.0000000%
332.05577		- 	314.42863		- 	010	100	0012144	 000000009327	0.0000000%
331.38029		- 	314.52340		- 	012	088	0012271	 000000009406	0.0000000%
