Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: rotatingDiamonds4
directory: 2D
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 321
Initial Upper Bound: 770.66015388
Average radius size: 2.00000000
Using variable selection rule #1!
Size of the tree: 1.06136848e+664
Raiz: 0 286 216 
Initial root: 0 286 216 
Value of objective function: 2.71999999e+02
SolverStatus: Solved
Solution: 
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )
( 3.19999999e+01, 1.00000000e+02, 0.00000000e+00 )
( 1.68000000e+02, 1.00000000e+02, 0.00000000e+00 )
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )

Not covered in root: 251 181 250 252 320 182 183 249 253 319 254 248 318 184 247 185 255 317 246 256 186 316 257 245 315 187 188 258 244 314 259 243 313 189 260 190 242 312 311 261 241 191 310 240 262 192 239 263 309 193 238 264 194 308 265 237 195 307 266 236 306 196 235 267 197 305 234 268 304 198 269 233 199 303 302 270 232 200 271 116 71 170 136 129 128 131 135 130 231 134 70 68 63 132 133 127 107 124 123 122 108 109 110 111 112 106 113 114 115 117 118 119 120 121 126 125 178 166 167 169 171 172 173 174 175 176 177 201 74 179 61 62 75 64 65 66 67 72 69 301 180 73 168 76 230 137 105 272 202 300 165 77 229 273 138 104 203 164 299 78 228 103 274 139 298 163 204 79 275 102 140 227 297 205 162 80 276 101 226 141 41 161 296 21 206 81 40 225 100 277 142 42 295 160 22 60 82 207 99 43 39 278 224 23 143 208 159 294 59 83 223 98 279 144 38 44 58 209 24 293 158 84 280 97 222 45 37 145 25 57 292 210 157 85 96 221 281 47 146 36 211 291 56 26 156 86 220 95 48 147 282 27 35 155 55 290 87 212 219 283 148 94 28 46 34 289 154 54 213 88 2 12 13 8 9 10 11 19 3 1 20 18 218 284 93 33 49 149 53 288 29 153 214 89 14 7 4 17 6 32 5 30 31 287 285 50 15 16 152 151 52 51 150 92 91 90 215 217 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
367.61028		- 	272.00000		- 	002	264	0000004	 000000000002	0.0000000%
542.83888		- 	466.13173		- 	006	227	0000167	 000000000134	0.0000000%
491.75282		- 	477.77570		- 	007	220	0000328	 000000000273	0.0000000%
519.64965		- 	482.61893		- 	007	199	0000482	 000000000412	0.0000000%
541.84176		- 	491.73515		- 	008	210	0000645	 000000000550	0.0000000%
610.93719		- 	493.22998		- 	008	228	0000809	 000000000690	0.0000000%
520.40886		- 	494.84727		- 	008	216	0000963	 000000000832	0.0000000%
530.55282		- 	497.93167		- 	008	183	0001130	 000000000973	0.0000000%
549.97990		- 	499.26289		- 	007	226	0001284	 000000001115	0.0000000%
634.89994		- 	502.56834		- 	009	234	0001446	 000000001256	0.0000000%
523.26084		- 	504.02319		- 	007	213	0001604	 000000001395	0.0000000%
582.27278		- 	504.83529		- 	008	212	0001770	 000000001537	0.0000000%
660.20546		- 	505.34847		- 	009	224	0001924	 000000001681	0.0000000%
563.09227		- 	506.85534		- 	008	194	0002088	 000000001823	0.0000000%
526.72982		- 	507.48607		- 	009	203	0002244	 000000001967	0.0000000%
579.55296		- 	508.18486		- 	008	206	0002405	 000000002110	0.0000000%
545.42388		- 	509.33634		- 	007	234	0002563	 000000002251	0.0000000%
594.50496		- 	510.58698		- 	009	216	0002725	 000000002393	0.0000000%
544.41044		- 	511.19057		- 	006	190	0002882	 000000002537	0.0000000%
656.11703		- 	511.90879		- 	009	199	0003044	 000000002679	0.0000000%
662.89734		- 	513.49460		- 	009	217	0003206	 000000002819	0.0000000%
537.15510		- 	514.62322		- 	006	201	0003364	 000000002963	0.0000000%
690.24671		- 	515.60391		- 	007	216	0003523	 000000003105	0.0000000%
535.84623		- 	516.60863		- 	007	189	0003687	 000000003247	0.0000000%
595.43655		- 	516.76461		- 	008	186	0003842	 000000003391	0.0000000%
649.77011		- 	517.31441		- 	009	221	0004007	 000000003532	0.0000000%
588.49576		- 	518.18503		- 	010	188	0004168	 000000003675	0.0000000%
615.85685		- 	518.40991		- 	008	208	0004329	 000000003818	0.0000000%
538.34971		- 	519.10604		- 	009	218	0004484	 000000003961	0.0000000%
567.95742		- 	519.38186		- 	007	202	0004648	 000000004104	0.0000000%
542.08330		- 	519.50807		- 	010	210	0004802	 000000004249	0.0000000%
569.18810		- 	519.92964		- 	009	218	0004962	 000000004392	0.0000000%
653.03013		- 	521.64567		- 	010	185	0005129	 000000004536	0.0000000%
680.84463		- 	521.80568		- 	010	217	0005286	 000000004681	0.0000000%
546.74751		- 	522.12832		- 	007	215	0005448	 000000004821	0.0000000%
557.99483		- 	522.25395		- 	010	206	0005603	 000000004965	0.0000000%
536.79767		- 	522.40797		- 	008	186	0005767	 000000005107	0.0000000%
652.12347		- 	522.67266		- 	010	216	0005926	 000000005249	0.0000000%
630.72221		- 	523.02914		- 	010	236	0006090	 000000005390	0.0000000%
587.56658		- 	523.27069		- 	010	223	0006247	 000000005535	0.0000000%
633.78149		- 	524.08218		- 	010	244	0006403	 000000005679	0.0000000%
584.09628		- 	524.32085		- 	010	194	0006568	 000000005824	0.0000000%
624.21869		- 	524.59222		- 	010	215	0006725	 000000005969	0.0000000%
620.64271		- 	525.31877		- 	008	220	0006887	 000000006110	0.0000000%
676.10448		- 	526.06151		- 	010	201	0007048	 000000006254	0.0000000%
680.62257		- 	526.22568		- 	011	210	0007204	 000000006399	0.0000000%
591.44027		- 	526.62175		- 	009	230	0007364	 000000006541	0.0000000%
575.64973		- 	526.85430		- 	008	230	0007525	 000000006686	0.0000000%
623.45670		- 	527.27601		- 	011	213	0007692	 000000006828	0.0000000%
698.88189		- 	527.39958		- 	010	243	0007848	 000000006974	0.0000000%
648.19405		- 	527.84854		- 	007	237	0008008	 000000007117	0.0000000%
554.09518		- 	528.20250		- 	010	238	0008163	 000000007261	0.0000000%
590.70154		- 	528.65739		- 	009	193	0008330	 000000007404	0.0000000%
558.16758		- 	528.78656		- 	010	216	0008486	 000000007548	0.0000000%
546.11501		- 	529.03492		- 	008	198	0008647	 000000007691	0.0000000%
611.91761		- 	529.26117		- 	009	212	0008802	 000000007837	0.0000000%
593.04431		- 	530.19798		- 	011	232	0008968	 000000007980	0.0000000%
548.62836		- 	530.55282		- 	009	175	0009130	 000000008124	0.0000000%
552.02970		- 	530.82500		- 	009	212	0009288	 000000008268	0.0000000%
559.85233		- 	531.13471		- 	010	216	0009451	 000000008411	0.0000000%
546.89244		- 	531.15272		- 	009	176	0009602	 000000008557	0.0000000%
616.59728		- 	531.24907		- 	011	225	0009772	 000000008701	0.0000000%
593.44800		- 	531.40385		- 	009	191	0009930	 000000008847	0.0000000%
681.51789		- 	531.47492		- 	010	222	0010088	 000000008992	0.0000000%
606.13091		- 	531.87909		- 	009	204	0010250	 000000009134	0.0000000%
572.67062		- 	532.02987		- 	011	215	0010412	 000000009278	0.0000000%
546.55585		- 	532.39606		- 	009	217	0010570	 000000009420	0.0000000%
540.13483		- 	532.47299		- 	009	224	0010726	 000000009566	0.0000000%
646.62913		- 	532.52820		- 	010	216	0010884	 000000009710	0.0000000%
546.24940		- 	533.03655		- 	010	203	0011048	 000000009854	0.0000000%
622.88538		- 	533.27581		- 	010	213	0011209	 000000009999	0.0000000%
599.70311		- 	533.32531		- 	010	225	0011363	 000000010145	0.0000000%
573.50475		- 	533.48909		- 	009	212	0011529	 000000010289	0.0000000%
546.02412		- 	533.65836		- 	011	215	0011691	 000000010435	0.0000000%
705.11307		- 	533.78457		- 	010	208	0011846	 000000010581	0.0000000%
698.83987		- 	533.94299		- 	011	210	0012003	 000000010725	0.0000000%
622.28489		- 	534.08861		- 	011	211	0012167	 000000010871	0.0000000%
613.61707		- 	534.16758		- 	011	186	0012331	 000000011017	0.0000000%
596.32497		- 	534.66113		- 	011	174	0012491	 000000011160	0.0000000%
628.48787		- 	534.82233		- 	009	213	0012648	 000000011303	0.0000000%
576.61427		- 	534.96165		- 	011	197	0012802	 000000011449	0.0000000%
574.13486		- 	535.12716		- 	009	260	0012967	 000000011594	0.0000000%
639.52328		- 	535.22531		- 	009	223	0013125	 000000011737	0.0000000%
624.50087		- 	535.35831		- 	008	191	0013290	 000000011882	0.0000000%
565.98729		- 	535.47898		- 	011	193	0013449	 000000012027	0.0000000%
548.35580		- 	535.84054		- 	009	204	0013611	 000000012170	0.0000000%
626.27308		- 	535.99835		- 	009	177	0013771	 000000012314	0.0000000%
611.96662		- 	536.12512		- 	010	190	0013928	 000000012458	0.0000000%
596.80689		- 	536.35726		- 	010	214	0014089	 000000012603	0.0000000%
548.65178		- 	536.47607		- 	011	216	0014243	 000000012749	0.0000000%
673.97299		- 	536.55949		- 	010	218	0014409	 000000012894	0.0000000%
575.09383		- 	536.64849		- 	008	225	0014569	 000000013038	0.0000000%
562.67710		- 	536.86309		- 	011	192	0014731	 000000013183	0.0000000%
631.58097		- 	536.88768		- 	011	194	0014887	 000000013330	0.0000000%
543.84978		- 	537.09922		- 	011	239	0015051	 000000013476	0.0000000%
656.74186		- 	537.23710		- 	008	217	0015204	 000000013620	0.0000000%
