Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: rotatingDiamonds5
directory: 2D
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 681
Initial Upper Bound: 1510.75230191
Average radius size: 2.00000000
Using variable selection rule #1!
Size of the tree: 1.99903180e+1632
Raiz: 0 636 456 
Initial root: 0 636 456 
Value of objective function: 5.01116881e+02
SolverStatus: Solved
Solution: 
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )
( 1.14142135e+01, 1.14142135e+01, 0.00000000e+00 )
( 1.88585787e+02, 1.88585787e+02, 0.00000000e+00 )
( 1.00000000e+02, 1.00000000e+02, 0.00000000e+00 )

Not covered in root: 546 366 545 547 367 365 544 548 364 368 543 369 549 363 362 550 542 370 371 541 551 361 372 540 552 360 539 553 359 373 554 538 374 358 537 555 357 375 536 556 376 356 535 355 557 377 354 534 558 378 379 533 559 353 560 532 352 380 381 531 561 351 562 530 350 382 383 563 529 349 564 384 348 528 565 527 385 347 526 386 566 346 567 345 525 387 568 524 388 344 569 523 343 389 390 522 570 342 391 521 571 341 520 572 392 340 573 519 393 339 574 518 338 394 395 575 517 337 576 396 516 336 397 577 515 335 334 578 398 514 579 399 513 333 512 580 332 400 581 401 511 331 582 402 510 330 583 403 329 509 584 404 508 328 585 507 327 405 586 406 506 326 587 407 505 325 588 324 504 408 323 589 503 409 322 590 502 410 591 411 501 321 592 412 500 680 593 499 413 679 594 414 498 678 595 415 497 677 596 496 416 676 597 417 495 675 598 418 494 674 493 599 419 673 600 492 420 672 285 286 282 601 276 273 269 274 275 277 278 279 280 281 283 284 272 271 270 268 267 260 261 262 259 263 258 205 264 265 266 207 200 199 194 193 188 187 491 421 257 256 255 254 253 252 251 216 215 214 213 212 211 206 671 210 209 208 203 204 182 183 184 185 186 189 190 191 181 201 198 197 196 195 192 202 602 490 422 670 603 287 217 489 423 250 320 669 488 604 668 424 605 288 218 487 249 425 667 319 606 426 486 136 76 666 289 607 248 77 427 485 219 135 137 75 318 665 608 428 74 484 138 134 664 78 290 133 220 609 79 483 139 247 73 317 663 429 610 482 72 132 430 140 80 662 291 611 431 221 141 131 246 481 71 661 316 81 612 142 432 130 480 70 82 660 613 292 433 479 143 129 245 222 83 315 659 69 614 434 84 478 128 144 658 68 293 615 127 477 223 67 435 244 145 314 85 657 616 146 436 476 86 126 656 66 294 617 224 147 475 243 65 125 437 313 87 655 618 474 124 148 438 88 64 654 619 295 149 439 242 473 225 89 123 63 312 653 620 150 440 122 472 90 62 652 296 151 621 441 226 471 241 121 91 61 311 651 622 152 442 180 470 120 650 92 297 623 240 153 443 93 469 119 227 179 649 310 624 118 154 468 94 444 178 648 625 298 117 155 445 228 467 239 95 177 309 647 156 626 48 30 50 24 25 31 41 42 47 46 43 96 466 446 45 44 116 51 49 176 29 28 27 26 23 22 21 646 627 299 229 238 115 447 157 465 175 97 645 308 628 448 464 52 32 158 40 98 114 60 174 644 629 300 113 463 237 449 159 230 173 99 307 643 630 450 462 53 160 100 33 39 112 59 172 642 631 301 161 236 111 101 231 451 13 461 306 3 171 641 632 14 38 12 4 110 460 162 54 34 452 170 102 2 58 640 633 302 163 15 103 232 235 109 453 11 459 1 5 169 305 639 634 10 454 55 108 104 458 16 164 168 35 37 6 57 20 638 304 36 303 106 635 18 457 56 107 165 166 234 167 19 9 17 233 7 455 637 105 8 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
677.72933		- 	501.11688		- 	002	559	0000004	 000000000002	0.0000000%
983.47649		- 	889.60739		- 	005	467	0000346	 000000000288	0.0000000%
949.34039		- 	916.04860		- 	006	476	0000682	 000000000585	0.0000000%
1050.1224		- 	925.11212		- 	008	446	0001025	 000000000881	0.0000000%
1029.8844		- 	931.72610		- 	008	386	0001370	 000000001178	0.0000000%
1157.0424		- 	937.17151		- 	008	557	0001703	 000000001481	0.0000000%
1152.6047		- 	945.66428		- 	009	525	0002045	 000000001783	0.0000000%
1093.1639		- 	949.94725		- 	006	417	0002383	 000000002081	0.0000000%
1075.6976		- 	951.20066		- 	008	412	0002728	 000000002380	0.0000000%
1037.8342		- 	955.88306		- 	006	364	0003068	 000000002682	0.0000000%
1020.2125		- 	959.04440		- 	008	372	0003410	 000000002981	0.0000000%
1248.5406		- 	961.93344		- 	005	515	0003745	 000000003286	0.0000000%
1075.5850		- 	965.21739		- 	007	455	0004088	 000000003584	0.0000000%
1062.8166		- 	967.66365		- 	008	379	0004424	 000000003887	0.0000000%
1004.0530		- 	969.36906		- 	007	461	0004765	 000000004188	0.0000000%
1006.6626		- 	971.28757		- 	007	311	0005103	 000000004491	0.0000000%
1178.7452		- 	973.24820		- 	007	405	0005448	 000000004796	0.0000000%
1037.0688		- 	975.09166		- 	009	459	0005790	 000000005100	0.0000000%
1117.2296		- 	976.87516		- 	009	517	0006131	 000000005405	0.0000000%
1136.7686		- 	979.83048		- 	008	404	0006468	 000000005706	0.0000000%
1201.6188		- 	981.82053		- 	009	417	0006810	 000000006008	0.0000000%
1120.3542		- 	984.04463		- 	006	445	0007146	 000000006310	0.0000000%
1061.7793		- 	985.33108		- 	008	474	0007487	 000000006616	0.0000000%
1133.4661		- 	986.16226		- 	009	490	0007822	 000000006921	0.0000000%
1016.2413		- 	987.11695		- 	009	429	0008169	 000000007224	0.0000000%
1056.2082		- 	988.17471		- 	009	464	0008503	 000000007531	0.0000000%
1086.0559		- 	989.66526		- 	009	359	0008845	 000000007838	0.0000000%
1013.5966		- 	991.30484		- 	010	379	0009182	 000000008144	0.0000000%
1043.0051		- 	992.78413		- 	009	434	0009529	 000000008450	0.0000000%
1104.6295		- 	993.72869		- 	009	453	0009871	 000000008755	0.0000000%
1242.8160		- 	994.92827		- 	011	517	0010209	 000000009060	0.0000000%
1153.5880		- 	995.44577		- 	010	451	0010549	 000000009368	0.0000000%
1057.7634		- 	996.48885		- 	009	550	0010890	 000000009674	0.0000000%
1056.0760		- 	997.75070		- 	011	411	0011228	 000000009977	0.0000000%
1106.3894		- 	998.31033		- 	005	496	0011563	 000000010285	0.0000000%
1053.4464		- 	998.98278		- 	008	420	0011910	 000000010591	0.0000000%
1136.5073		- 	1000.0399		- 	009	476	0012247	 000000010894	0.0000000%
1024.2490		- 	1000.9718		- 	011	442	0012591	 000000011199	0.0000000%
1181.5444		- 	1001.7192		- 	008	365	0012922	 000000011506	0.0000000%
1099.7608		- 	1002.6251		- 	007	409	0013262	 000000011811	0.0000000%
1025.7626		- 	1003.4729		- 	011	396	0013613	 000000012118	0.0000000%
1153.0165		- 	1003.8900		- 	009	429	0013946	 000000012427	0.0000000%
1122.4315		- 	1004.2492		- 	007	445	0014287	 000000012733	0.0000000%
1154.4536		- 	1004.7742		- 	010	401	0014624	 000000013041	0.0000000%
1185.1014		- 	1004.9770		- 	009	414	0014962	 000000013347	0.0000000%
1199.3258		- 	1005.4661		- 	009	515	0015310	 000000013651	0.0000000%
