Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: dsj1000
directory: 3D
option: 3D
Instance Size: 1000
Initial Upper Bound: 10000001.00000000
Average radius size: 0.48584360
Using variable selection rule #1!
Size of the tree: 2.01395227e+2564
Raiz: 0 745 961 
Initial root: 0 745 961 
Value of objective function: 3.42226302e+02
SolverStatus: Solved
Solution: 
( 4.71287000e+01, 1.19659000e+01, 0.00000000e+00 )
( 1.03443931e+02, 9.82703971e+01, 5.34552942e+01 )
( -7.13319952e+00, 9.67168511e+01, 5.66832547e+01 )
( 4.71287000e+01, 1.19659000e+01, 0.00000000e+00 )

Not covered in root: 903 676 9 347 710 613 724 68 382 12 344 491 151 446 764 27 606 815 697 15 947 37 25 500 171 244 453 284 36 957 949 597 853 425 468 146 235 157 121 794 618 973 835 177 638 803 188 751 689 667 210 66 888 746 381 254 698 110 772 846 637 812 673 48 783 918 487 54 249 317 586 809 920 383 775 887 834 172 166 239 329 807 765 310 306 92 768 439 912 709 712 671 644 628 442 140 786 431 430 95 507 74 782 471 174 915 498 509 2 980 742 767 4 331 293 465 224 215 647 553 205 694 886 617 832 144 464 722 541 211 96 731 208 549 449 97 193 517 523 441 621 699 330 29 333 668 877 185 934 291 749 708 874 963 519 985 125 304 543 551 228 875 238 277 19 368 401 6 247 895 113 488 109 713 560 341 945 490 195 237 818 339 41 30 988 58 723 57 160 663 715 122 61 693 474 508 714 479 879 35 296 332 682 371 221 979 189 836 139 191 805 572 262 402 258 611 251 658 143 42 407 970 773 863 321 833 167 578 719 312 94 100 64 672 684 240 134 827 255 876 55 631 653 45 246 526 20 154 161 485 557 343 320 978 11 324 16 476 360 388 583 614 664 91 352 914 864 734 971 625 666 994 645 21 998 362 521 385 192 314 65 133 917 107 263 345 999 71 356 900 852 370 528 802 679 164 3 357 433 233 950 452 363 225 44 102 182 750 636 913 135 770 670 972 769 201 106 561 435 564 373 287 250 340 181 279 243 272 847 53 47 510 108 984 300 649 248 854 137 813 515 925 686 824 299 870 907 607 839 923 545 349 219 587 199 443 941 982 594 674 202 120 318 878 335 716 865 884 34 369 652 241 196 650 447 704 85 567 585 893 77 359 403 429 559 760 563 303 969 226 424 505 168 823 229 592 524 635 696 49 207 662 816 922 856 858 40 706 575 996 642 358 736 569 777 232 910 307 739 609 534 632 173 860 799 305 626 285 495 466 880 432 634 78 883 194 200 198 728 800 396 955 60 220 43 763 600 537 387 364 50 574 821 245 960 785 322 355 804 289 942 408 470 399 31 690 825 511 568 657 778 683 977 114 891 398 379 806 136 754 186 315 512 748 267 641 522 410 147 552 655 26 231 56 757 588 938 762 463 516 781 639 145 328 76 103 418 46 155 956 1 885 180 392 481 624 98 283 384 987 123 735 931 483 997 831 451 489 86 213 203 190 707 882 17 18 455 538 116 659 808 216 726 499 444 547 817 558 615 995 795 859 603 63 842 974 539 482 904 405 896 784 733 141 252 532 829 939 128 428 798 397 514 457 992 295 377 582 75 414 260 788 944 127 646 608 276 353 890 14 851 730 867 889 59 953 811 633 744 991 234 197 391 930 643 906 962 348 871 458 544 209 952 830 610 242 115 273 325 411 10 536 460 640 313 937 967 13 5 828 266 119 620 187 462 376 570 148 966 546 911 850 316 792 855 477 928 687 589 695 990 269 948 989 423 132 422 292 766 993 555 503 656 81 274 497 118 67 437 627 149 130 747 542 415 394 796 334 294 236 790 308 374 933 916 688 868 70 486 69 179 612 892 372 138 386 737 506 350 309 366 837 593 814 152 117 718 323 400 417 290 204 573 601 605 954 849 932 469 354 976 88 496 691 591 717 406 513 845 669 753 440 365 797 176 964 73 983 566 129 873 259 150 473 905 438 901 756 124 677 872 602 700 375 390 338 727 99 909 367 434 981 848 556 943 62 336 743 789 571 844 8 540 926 326 170 866 412 675 84 705 159 504 111 493 780 89 261 692 530 862 206 725 426 256 456 380 395 584 39 787 562 902 660 965 218 281 897 741 711 389 793 929 927 404 648 924 604 184 861 919 791 302 771 898 529 419 623 525 319 83 7 337 685 93 421 651 24 732 986 158 629 740 968 23 90 32 701 286 280 80 502 217 801 729 759 554 936 436 776 142 869 484 921 342 840 227 162 761 478 501 678 52 935 112 520 535 758 214 461 87 619 595 738 630 958 22 480 378 680 755 720 580 178 271 327 270 494 79 222 531 752 841 445 275 616 857 518 843 409 576 33 661 212 548 28 533 820 622 577 894 105 450 413 819 459 579 826 590 183 156 940 810 175 264 288 467 230 223 951 975 665 301 527 298 311 599 393 278 475 253 779 565 703 838 492 946 959 72 822 257 282 681 881 51 908 427 82 899 774 153 351 596 297 448 163 472 169 346 38 598 165 721 265 104 101 654 126 702 454 131 581 361 268 416 420 550 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
401.48195		- 	342.22630		- 	002	995	0000004	 000000000002	0.0000000%
652.66475		- 	581.23966		- 	006	991	0000503	 000000000422	0.0000000%
692.56774		- 	605.63614		- 	005	989	0001006	 000000000852	0.0000000%
649.77650		- 	617.74773		- 	007	991	0001504	 000000001286	0.0000000%
721.99531		- 	628.50385		- 	007	990	0002008	 000000001722	0.0000000%
691.00776		- 	634.25718		- 	007	991	0002508	 000000002159	0.0000000%
707.41773		- 	640.44563		- 	007	990	0003009	 000000002597	0.0000000%
676.01677		- 	645.52461		- 	008	988	0003502	 000000003036	0.0000000%
698.95129		- 	649.77650		- 	008	990	0004006	 000000003474	0.0000000%
719.01445		- 	652.63156		- 	008	989	0004506	 000000003913	0.0000000%
750.63670		- 	656.68489		- 	006	990	0005002	 000000004353	0.0000000%
816.36799		- 	659.79591		- 	008	987	0005505	 000000004794	0.0000000%
726.01514		- 	662.12889		- 	007	990	0006008	 000000005233	0.0000000%
803.62464		- 	664.70346		- 	007	990	0006506	 000000005675	0.0000000%
817.52008		- 	667.42679		- 	007	989	0007003	 000000006117	0.0000000%
726.97798		- 	669.04661		- 	007	990	0007502	 000000006559	0.0000000%
761.81855		- 	670.91074		- 	008	988	0008007	 000000007001	0.0000000%
801.99732		- 	672.73862		- 	008	990	0008508	 000000007445	0.0000000%
796.47386		- 	674.44126		- 	008	986	0009005	 000000007888	0.0000000%
810.35748		- 	675.95497		- 	008	990	0009503	 000000008331	0.0000000%
781.47627		- 	677.22628		- 	008	989	0010008	 000000008775	0.0000000%
734.97716		- 	678.74753		- 	009	989	0010505	 000000009220	0.0000000%
734.77989		- 	680.23118		- 	008	990	0011007	 000000009664	0.0000000%
752.75197		- 	681.69897		- 	009	988	0011508	 000000010109	0.0000000%
742.46954		- 	683.03494		- 	007	991	0012003	 000000010554	0.0000000%
722.40844		- 	683.82470		- 	009	989	0012507	 000000010997	0.0000000%
845.70093		- 	685.01785		- 	009	987	0013009	 000000011441	0.0000000%
717.41341		- 	686.34837		- 	007	990	0013506	 000000011885	0.0000000%
766.40266		- 	687.29957		- 	009	987	0014006	 000000012329	0.0000000%
761.45195		- 	688.43546		- 	009	987	0014505	 000000012774	0.0000000%
720.45385		- 	689.27926		- 	009	988	0015009	 000000013218	0.0000000%
841.55015		- 	690.06547		- 	008	988	0015510	 000000013663	0.0000000%
739.09176		- 	690.93183		- 	008	988	0016003	 000000014108	0.0000000%
725.10733		- 	691.60730		- 	009	988	0016506	 000000014553	0.0000000%
747.21927		- 	692.44250		- 	009	989	0017011	 000000014995	0.0000000%
798.07724		- 	693.15003		- 	008	987	0017506	 000000015441	0.0000000%
752.78431		- 	694.02807		- 	009	987	0018003	 000000015886	0.0000000%
845.67264		- 	694.92911		- 	010	987	0018507	 000000016330	0.0000000%
773.22989		- 	695.52082		- 	009	987	0019010	 000000016775	0.0000000%
734.32470		- 	696.22674		- 	008	989	0019502	 000000017222	0.0000000%
747.14877		- 	697.10125		- 	008	990	0020003	 000000017668	0.0000000%
842.72701		- 	697.77549		- 	009	989	0020510	 000000018113	0.0000000%
765.35917		- 	698.45628		- 	011	987	0021009	 000000018559	0.0000000%
762.95593		- 	699.02646		- 	009	989	0021508	 000000019005	0.0000000%
783.11629		- 	699.71127		- 	009	988	0022007	 000000019451	0.0000000%
739.80768		- 	700.20717		- 	008	990	0022508	 000000019898	0.0000000%
805.32291		- 	700.73026		- 	009	987	0023006	 000000020346	0.0000000%
801.56226		- 	701.33938		- 	010	988	0023512	 000000020791	0.0000000%
774.92387		- 	701.84700		- 	008	989	0024002	 000000021238	0.0000000%
743.20684		- 	702.57254		- 	008	990	0024503	 000000021684	0.0000000%
798.30196		- 	703.12726		- 	007	990	0025005	 000000022130	0.0000000%
839.74209		- 	703.76548		- 	009	987	0025507	 000000022576	0.0000000%
740.25205		- 	704.38988		- 	007	989	0026004	 000000023024	0.0000000%
833.83274		- 	705.05868		- 	009	988	0026507	 000000023469	0.0000000%
815.32797		- 	705.49581		- 	009	988	0027008	 000000023915	0.0000000%
790.77595		- 	706.00208		- 	008	988	0027502	 000000024362	0.0000000%
832.39004		- 	706.68617		- 	008	989	0028009	 000000024808	0.0000000%
746.11292		- 	707.08923		- 	008	988	0028502	 000000025256	0.0000000%
853.95233		- 	707.62434		- 	009	989	0029010	 000000025702	0.0000000%
884.38103		- 	708.05133		- 	008	987	0029509	 000000026149	0.0000000%
761.01355		- 	708.42769		- 	009	989	0030002	 000000026597	0.0000000%
746.57909		- 	708.94644		- 	010	986	0030507	 000000027045	0.0000000%
799.99253		- 	709.45447		- 	010	988	0031010	 000000027493	0.0000000%
745.89837		- 	709.96532		- 	008	988	0031505	 000000027940	0.0000000%
