Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: pcb442
directory: 3D
option: 3D
Instance Size: 442
Initial Upper Bound: 10000001.00000000
Average radius size: 0.15200000
Using variable selection rule #1!
Size of the tree: 1.24422423e+976
Raiz: 0 375 377 
Initial root: 0 375 377 
Value of objective function: 1.12174139e+02
SolverStatus: Solved
Solution: 
( 0.00000000e+00, 0.00000000e+00, 0.00000000e+00 )
( 2.98663691e+01, 3.79276467e+01, 1.99657145e+00 )
( 1.60980426e+00, 3.53950950e+01, 1.99352321e+00 )
( 0.00000000e+00, 0.00000000e+00, 0.00000000e+00 )

Not covered in root: 341 342 346 347 428 348 281 279 349 282 433 276 308 350 339 309 273 351 440 310 352 283 269 277 340 311 284 426 280 266 312 270 274 353 285 343 238 313 286 354 271 239 314 234 355 287 267 315 356 288 434 227 240 316 357 289 405 317 235 358 290 424 241 318 359 291 435 228 400 406 242 319 360 292 320 243 401 361 421 293 185 407 425 244 321 430 145 294 172 245 144 322 362 157 295 161 344 391 132 131 246 323 363 388 296 186 168 149 247 429 143 399 324 121 297 196 120 364 119 122 229 208 136 197 181 173 403 195 396 248 298 182 365 390 385 169 123 158 156 146 249 221 108 133 218 415 207 109 130 174 162 278 211 194 110 325 299 431 107 111 366 417 206 167 326 367 250 230 126 187 142 205 150 394 300 118 155 114 251 180 193 106 382 345 327 395 212 99 368 105 137 439 381 301 151 217 418 73 222 328 100 75 129 252 369 236 78 192 253 79 264 302 147 127 166 436 74 416 219 101 103 198 209 378 410 83 386 175 170 183 179 141 404 159 76 268 329 77 213 413 275 420 263 82 70 389 80 88 89 370 303 231 81 92 152 4 72 204 134 112 85 115 47 117 84 223 330 304 1 124 178 86 87 40 441 50 42 371 68 90 409 254 91 411 94 200 95 154 398 39 38 93 11 272 41 46 437 44 214 71 43 216 104 331 387 48 379 414 56 140 52 412 102 2 58 55 57 49 45 423 262 255 392 128 191 163 51 6 336 201 337 397 37 374 188 189 199 69 265 408 237 135 125 53 215 54 165 372 305 139 96 3 63 5 59 64 261 190 258 225 23 432 60 256 384 21 61 14 7 10 62 257 8 36 380 203 176 9 419 27 332 393 306 28 12 438 373 13 226 30 402 220 15 97 260 232 210 16 138 164 17 427 32 18 35 338 171 22 233 19 160 31 66 113 202 20 376 29 24 26 177 25 333 67 383 153 307 33 65 259 422 335 116 184 98 224 334 34 148 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
127.03051		- 	112.17414		- 	002	437	0000004	 000000000002	0.0000000%
192.08791		- 	156.88940		- 	007	433	0000225	 000000000188	0.0000000%
189.99903		- 	161.03718		- 	007	428	0000451	 000000000378	0.0000000%
191.91855		- 	163.09335		- 	005	433	0000669	 000000000572	0.0000000%
180.17887		- 	164.34487		- 	008	430	0000887	 000000000765	0.0000000%
172.37312		- 	165.77989		- 	006	430	0001113	 000000000958	0.0000000%
178.59684		- 	167.09960		- 	007	430	0001330	 000000001152	0.0000000%
193.34847		- 	167.77559		- 	009	431	0001556	 000000001347	0.0000000%
199.20390		- 	168.37307		- 	009	430	0001771	 000000001543	0.0000000%
174.56529		- 	169.03865		- 	004	429	0001992	 000000001739	0.0000000%
192.55668		- 	169.55762		- 	010	429	0002213	 000000001934	0.0000000%
205.51506		- 	170.02097		- 	009	429	0002437	 000000002129	0.0000000%
199.96906		- 	170.49570		- 	007	432	0002656	 000000002325	0.0000000%
208.45506		- 	171.07495		- 	010	428	0002877	 000000002521	0.0000000%
184.13611		- 	171.54416		- 	009	431	0003103	 000000002717	0.0000000%
181.31485		- 	171.90626		- 	006	427	0003320	 000000002913	0.0000000%
224.39206		- 	172.21971		- 	008	432	0003546	 000000003109	0.0000000%
185.67418		- 	172.54149		- 	008	429	0003763	 000000003307	0.0000000%
213.09576		- 	172.77186		- 	008	429	0003981	 000000003504	0.0000000%
197.44611		- 	173.10513		- 	009	429	0004209	 000000003700	0.0000000%
212.21074		- 	173.35447		- 	009	426	0004426	 000000003898	0.0000000%
188.40531		- 	173.54822		- 	009	429	0004650	 000000004095	0.0000000%
185.58731		- 	173.72070		- 	009	427	0004873	 000000004292	0.0000000%
185.08340		- 	173.94495		- 	007	424	0005092	 000000004490	0.0000000%
214.88738		- 	174.10901		- 	008	426	0005307	 000000004688	0.0000000%
195.24733		- 	174.36086		- 	008	429	0005532	 000000004885	0.0000000%
179.24989		- 	174.57982		- 	009	429	0005749	 000000005082	0.0000000%
186.30606		- 	174.78764		- 	009	426	0005972	 000000005280	0.0000000%
204.35493		- 	174.97527		- 	008	425	0006198	 000000005478	0.0000000%
185.53808		- 	175.10429		- 	008	430	0006417	 000000005676	0.0000000%
224.51374		- 	175.23637		- 	009	430	0006636	 000000005874	0.0000000%
201.38475		- 	175.39120		- 	007	431	0006854	 000000006072	0.0000000%
195.12508		- 	175.54735		- 	010	428	0007074	 000000006270	0.0000000%
184.69358		- 	175.71151		- 	009	430	0007301	 000000006466	0.0000000%
200.59570		- 	175.94091		- 	008	430	0007516	 000000006664	0.0000000%
180.99957		- 	176.13190		- 	009	428	0007743	 000000006862	0.0000000%
210.72733		- 	176.29016		- 	011	425	0007967	 000000007060	0.0000000%
180.26012		- 	176.44352		- 	010	427	0008179	 000000007259	0.0000000%
204.60538		- 	176.56046		- 	010	428	0008402	 000000007457	0.0000000%
194.39581		- 	176.71838		- 	009	428	0008630	 000000007655	0.0000000%
192.31733		- 	176.82948		- 	009	431	0008843	 000000007854	0.0000000%
223.07208		- 	177.02096		- 	010	427	0009067	 000000008052	0.0000000%
190.48864		- 	177.13183		- 	008	428	0009289	 000000008249	0.0000000%
191.08358		- 	177.24236		- 	007	432	0009510	 000000008448	0.0000000%
202.03195		- 	177.37899		- 	008	428	0009734	 000000008646	0.0000000%
199.90920		- 	177.53443		- 	007	432	0009949	 000000008844	0.0000000%
214.47107		- 	177.64001		- 	009	429	0010169	 000000009043	0.0000000%
188.26907		- 	177.72558		- 	010	428	0010390	 000000009241	0.0000000%
202.44258		- 	177.78450		- 	010	428	0010616	 000000009439	0.0000000%
189.11595		- 	177.88817		- 	008	430	0010839	 000000009637	0.0000000%
201.13418		- 	177.95223		- 	010	428	0011062	 000000009836	0.0000000%
204.91988		- 	178.07356		- 	009	429	0011276	 000000010035	0.0000000%
182.08917		- 	178.17153		- 	008	427	0011502	 000000010233	0.0000000%
182.64809		- 	178.28491		- 	009	429	0011715	 000000010433	0.0000000%
185.49924		- 	178.38944		- 	011	429	0011937	 000000010632	0.0000000%
200.66587		- 	178.47030		- 	008	428	0012158	 000000010831	0.0000000%
208.97909		- 	178.56665		- 	011	428	0012388	 000000011029	0.0000000%
217.94054		- 	178.62873		- 	010	428	0012602	 000000011228	0.0000000%
211.59120		- 	178.71083		- 	008	429	0012825	 000000011426	0.0000000%
190.68228		- 	178.78496		- 	009	431	0013041	 000000011626	0.0000000%
187.54247		- 	178.84791		- 	009	430	0013264	 000000011825	0.0000000%
211.78546		- 	178.95658		- 	008	431	0013487	 000000012024	0.0000000%
