Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: rat195
directory: 3D
option: 3D
Instance Size: 195
Initial Upper Bound: 10000001.00000000
Average radius size: 0.11560000
Using variable selection rule #1!
Size of the tree: 6.68033058e+360
Raiz: 0 1 183 
Initial root: 0 1 183 
Value of objective function: 7.21095290e+01
SolverStatus: Solved
Solution: 
( 1.27000000e+01, 2.90000000e+01, 0.00000000e+00 )
( 3.25129944e-01, 1.31273019e+00, 2.60487112e+00 )
( 7.67011695e-01, 2.86234137e+01, 7.24516132e+00 )
( 1.27000000e+01, 2.90000000e+01, 0.00000000e+00 )

Not covered in root: 13 12 39 26 25 10 11 65 9 52 91 38 24 90 51 35 23 78 50 155 76 37 64 36 88 8 22 141 142 139 77 124 98 31 63 47 89 87 137 104 49 19 21 7 97 48 46 125 34 103 151 110 102 20 6 75 148 85 116 62 184 193 56 156 117 74 5 136 172 161 171 18 119 157 84 61 176 175 118 149 121 105 109 33 163 96 122 72 164 181 162 165 60 150 130 135 143 86 14 95 144 80 32 167 115 3 69 108 158 153 147 53 194 189 4 178 169 129 134 28 114 123 186 166 59 44 160 73 81 68 187 107 180 17 54 120 101 66 177 82 113 190 45 94 173 138 146 140 43 128 174 127 192 2 179 27 100 159 40 83 133 106 71 70 132 16 145 30 92 55 41 152 58 15 57 93 170 67 99 111 131 185 112 29 188 42 79 182 191 168 154 126 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
82.073807		- 	72.109529		- 	002	191	0000004	 000000000002	0.0000000%
103.71323		- 	95.450711		- 	005	188	0000103	 000000000081	0.0000000%
115.09131		- 	99.495520		- 	006	187	0000198	 000000000164	0.0000000%
112.42203		- 	102.30730		- 	006	187	0000295	 000000000247	0.0000000%
120.66083		- 	103.44500		- 	007	186	0000390	 000000000331	0.0000000%
121.50913		- 	104.35837		- 	005	188	0000490	 000000000414	0.0000000%
113.95547		- 	105.14011		- 	007	186	0000590	 000000000498	0.0000000%
131.36726		- 	105.92551		- 	007	186	0000682	 000000000583	0.0000000%
125.03464		- 	106.37956		- 	008	185	0000779	 000000000668	0.0000000%
115.24828		- 	107.02962		- 	007	186	0000882	 000000000752	0.0000000%
112.29566		- 	107.47015		- 	006	187	0000977	 000000000837	0.0000000%
135.36908		- 	107.83698		- 	007	185	0001069	 000000000922	0.0000000%
112.45323		- 	108.55755		- 	008	185	0001168	 000000001007	0.0000000%
116.65750		- 	108.91428		- 	007	186	0001269	 000000001091	0.0000000%
121.15573		- 	109.37470		- 	008	184	0001365	 000000001176	0.0000000%
125.24271		- 	109.61887		- 	007	186	0001464	 000000001261	0.0000000%
119.52848		- 	109.82991		- 	007	186	0001560	 000000001346	0.0000000%
122.84470		- 	110.07438		- 	008	185	0001654	 000000001432	0.0000000%
118.37364		- 	110.27637		- 	008	185	0001750	 000000001517	0.0000000%
120.65455		- 	110.47394		- 	007	186	0001852	 000000001602	0.0000000%
136.09077		- 	110.72166		- 	007	186	0001944	 000000001688	0.0000000%
