Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: rd400
directory: 3D
option: 3D
Instance Size: 400
Initial Upper Bound: 10000001.00000000
Average radius size: 0.39821236
Using variable selection rule #1!
Size of the tree: 8.02442683e+865
Raiz: 0 3 351 
Initial root: 0 3 351 
Value of objective function: 3.72993182e+02
SolverStatus: Solved
Solution: 
( 2.28315000e+00, 3.55085000e+01, 0.00000000e+00 )
( 8.60470378e+01, 9.51622382e+01, 9.96848422e+01 )
( 9.55102823e+01, 2.81488676e+00, 7.70970969e+00 )
( 2.28315000e+00, 3.55085000e+01, 0.00000000e+00 )

Not covered in root: 340 308 182 114 95 225 394 50 359 199 217 252 192 319 65 232 288 379 219 175 383 224 159 338 381 87 174 287 234 181 346 18 229 156 38 149 88 348 119 186 333 31 395 107 8 46 36 259 331 134 23 187 32 230 330 44 191 62 167 213 127 49 71 286 16 198 342 223 60 361 362 129 261 209 58 279 179 29 375 190 72 373 235 233 323 123 67 271 136 313 315 350 389 253 185 197 184 59 68 84 110 200 24 30 53 55 154 246 148 358 104 1 183 201 139 307 265 94 352 293 180 281 325 349 91 90 162 282 206 124 113 47 6 371 48 51 386 102 163 111 145 77 290 168 92 151 212 130 35 41 75 176 267 263 343 143 64 109 240 264 101 100 214 10 98 204 42 85 122 2 324 13 140 40 244 237 369 294 363 96 7 269 239 360 322 306 112 380 238 80 377 81 391 160 158 63 76 227 133 157 25 82 5 355 326 141 226 273 196 194 398 106 66 268 165 118 378 222 203 221 241 356 166 312 15 274 396 173 316 245 298 161 329 270 341 169 275 310 334 131 228 21 45 99 390 278 335 79 276 170 57 11 249 366 311 69 254 303 19 320 20 258 385 387 125 368 392 300 121 152 210 364 384 83 305 327 299 215 256 171 142 144 262 295 54 251 283 309 37 147 301 292 345 332 397 272 339 291 89 255 243 22 61 117 296 78 257 372 128 164 177 277 370 39 33 135 70 318 132 138 344 248 120 382 137 353 34 289 4 250 328 297 105 347 367 202 317 393 150 399 26 74 108 242 126 146 52 388 337 155 220 116 231 43 103 302 17 14 236 153 365 178 193 314 357 247 195 188 189 205 211 280 73 321 28 260 216 376 86 208 97 12 284 115 9 354 336 374 27 172 304 93 285 218 207 56 266 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
433.61693		- 	372.99318		- 	002	396	0000004	 000000000002	0.0000000%
730.17583		- 	629.78536		- 	005	393	0000202	 000000000166	0.0000000%
760.53314		- 	652.54814		- 	006	392	0000403	 000000000335	0.0000000%
712.46940		- 	675.28252		- 	006	392	0000603	 000000000505	0.0000000%
777.68574		- 	686.45772		- 	006	392	0000807	 000000000676	0.0000000%
875.17488		- 	692.61368		- 	007	391	0001002	 000000000849	0.0000000%
747.40989		- 	698.01262		- 	006	392	0001202	 000000001022	0.0000000%
776.00317		- 	704.21085		- 	007	391	0001409	 000000001195	0.0000000%
878.45654		- 	710.72089		- 	006	392	0001607	 000000001368	0.0000000%
864.44547		- 	716.72775		- 	007	391	0001806	 000000001542	0.0000000%
880.03024		- 	720.59441		- 	007	391	0002003	 000000001716	0.0000000%
861.62051		- 	724.22728		- 	006	392	0002202	 000000001890	0.0000000%
859.88375		- 	726.20176		- 	007	390	0002405	 000000002064	0.0000000%
849.16594		- 	728.37256		- 	006	392	0002607	 000000002239	0.0000000%
864.59395		- 	730.83260		- 	008	390	0002804	 000000002414	0.0000000%
787.70461		- 	732.59803		- 	007	391	0003005	 000000002589	0.0000000%
780.25002		- 	735.02437		- 	008	390	0003205	 000000002764	0.0000000%
775.28270		- 	736.63145		- 	007	391	0003404	 000000002940	0.0000000%
812.82877		- 	738.01551		- 	006	392	0003608	 000000003115	0.0000000%
922.81958		- 	739.96641		- 	007	391	0003809	 000000003290	0.0000000%
831.48426		- 	741.32930		- 	007	391	0004007	 000000003466	0.0000000%
873.55613		- 	743.38699		- 	008	390	0004206	 000000003642	0.0000000%
790.01779		- 	744.82122		- 	007	391	0004402	 000000003818	0.0000000%
822.93793		- 	746.71438		- 	007	391	0004606	 000000003993	0.0000000%
823.55152		- 	748.03203		- 	008	390	0004803	 000000004169	0.0000000%
793.66867		- 	749.64615		- 	007	391	0005004	 000000004345	0.0000000%
810.43547		- 	750.77364		- 	008	390	0005205	 000000004520	0.0000000%
814.85426		- 	752.15638		- 	008	390	0005402	 000000004696	0.0000000%
814.97264		- 	753.46064		- 	008	390	0005606	 000000004872	0.0000000%
848.53696		- 	754.61815		- 	007	391	0005804	 000000005048	0.0000000%
813.28169		- 	755.96115		- 	007	391	0006009	 000000005223	0.0000000%
829.25261		- 	757.11857		- 	008	390	0006205	 000000005399	0.0000000%
912.27877		- 	758.26187		- 	008	390	0006406	 000000005575	0.0000000%
881.49557		- 	758.97963		- 	007	391	0006606	 000000005751	0.0000000%
798.68327		- 	759.84623		- 	007	391	0006805	 000000005927	0.0000000%
878.68580		- 	760.89001		- 	007	391	0007004	 000000006103	0.0000000%
882.83331		- 	761.93170		- 	008	390	0007207	 000000006279	0.0000000%
809.10139		- 	762.63202		- 	008	390	0007404	 000000006456	0.0000000%
883.99548		- 	763.19837		- 	008	390	0007608	 000000006632	0.0000000%
916.08856		- 	764.50178		- 	008	390	0007803	 000000006809	0.0000000%
836.94255		- 	765.04039		- 	008	390	0008002	 000000006986	0.0000000%
815.66818		- 	765.99300		- 	008	390	0008206	 000000007162	0.0000000%
839.32698		- 	766.83065		- 	008	390	0008404	 000000007339	0.0000000%
847.42835		- 	767.44207		- 	007	391	0008602	 000000007516	0.0000000%
877.29960		- 	767.94969		- 	006	392	0008804	 000000007693	0.0000000%
841.32175		- 	768.60631		- 	008	390	0009009	 000000007869	0.0000000%
924.32108		- 	769.06080		- 	009	389	0009202	 000000008047	0.0000000%
926.67579		- 	769.66506		- 	008	390	0009406	 000000008224	0.0000000%
888.93863		- 	770.54338		- 	008	389	0009603	 000000008401	0.0000000%
851.53456		- 	771.23426		- 	006	392	0009802	 000000008578	0.0000000%
836.29995		- 	771.73604		- 	008	390	0010004	 000000008754	0.0000000%
894.96371		- 	772.47503		- 	007	391	0010206	 000000008930	0.0000000%
881.53590		- 	773.02355		- 	008	390	0010407	 000000009107	0.0000000%
953.31682		- 	773.47882		- 	009	389	0010607	 000000009285	0.0000000%
830.84997		- 	774.03925		- 	006	392	0010806	 000000009462	0.0000000%
862.92864		- 	774.70609		- 	006	392	0011005	 000000009639	0.0000000%
824.60807		- 	775.24647		- 	006	392	0011205	 000000009816	0.0000000%
937.97791		- 	775.69407		- 	008	390	0011406	 000000009993	0.0000000%
839.73310		- 	776.39221		- 	008	390	0011610	 000000010170	0.0000000%
989.68584		- 	776.93785		- 	008	390	0011807	 000000010347	0.0000000%
889.14200		- 	777.47739		- 	008	390	0012005	 000000010525	0.0000000%
834.09870		- 	778.05150		- 	008	390	0012204	 000000010703	0.0000000%
843.40284		- 	778.58810		- 	008	390	0012406	 000000010880	0.0000000%
821.39883		- 	778.95355		- 	008	390	0012605	 000000011058	0.0000000%
883.83817		- 	779.54854		- 	009	389	0012804	 000000011235	0.0000000%
881.09442		- 	779.91858		- 	009	389	0013009	 000000011412	0.0000000%
845.14754		- 	780.33331		- 	009	389	0013207	 000000011590	0.0000000%
838.22718		- 	780.99374		- 	008	390	0013409	 000000011767	0.0000000%
821.65784		- 	781.39380		- 	007	391	0013602	 000000011945	0.0000000%
962.13132		- 	781.98649		- 	007	391	0013804	 000000012122	0.0000000%
816.16799		- 	782.43703		- 	008	390	0014007	 000000012299	0.0000000%
818.01958		- 	782.80970		- 	008	390	0014202	 000000012477	0.0000000%
870.53340		- 	783.15699		- 	007	391	0014409	 000000012654	0.0000000%
867.60173		- 	783.51338		- 	007	391	0014602	 000000012832	0.0000000%
875.50640		- 	784.17100		- 	007	391	0014805	 000000013009	0.0000000%
818.34949		- 	784.59427		- 	008	390	0015004	 000000013187	0.0000000%
845.78699		- 	785.17025		- 	009	389	0015206	 000000013365	0.0000000%
870.37444		- 	785.79562		- 	008	390	0015403	 000000013543	0.0000000%
840.56117		- 	786.26274		- 	008	390	0015604	 000000013721	0.0000000%
944.06784		- 	786.65158		- 	009	389	0015804	 000000013899	0.0000000%
884.61258		- 	787.08477		- 	009	389	0016011	 000000014076	0.0000000%
858.02603		- 	787.42133		- 	009	389	0016208	 000000014254	0.0000000%
826.61608		- 	787.78689		- 	007	391	0016409	 000000014432	0.0000000%
859.83895		- 	788.06005		- 	008	390	0016602	 000000014611	0.0000000%
878.25455		- 	788.38581		- 	009	389	0016806	 000000014788	0.0000000%
899.85403		- 	788.66645		- 	009	389	0017009	 000000014966	0.0000000%
829.05289		- 	788.89936		- 	009	389	0017204	 000000015145	0.0000000%
861.08082		- 	789.30191		- 	007	391	0017402	 000000015323	0.0000000%
859.02961		- 	789.76162		- 	009	388	0017606	 000000015501	0.0000000%
915.00751		- 	789.96510		- 	008	390	0017807	 000000015679	0.0000000%
827.96048		- 	790.21215		- 	008	390	0018009	 000000015857	0.0000000%
911.73481		- 	790.41951		- 	008	390	0018210	 000000016035	0.0000000%
875.48373		- 	790.83970		- 	008	390	0018405	 000000016214	0.0000000%
871.50395		- 	791.17857		- 	007	391	0018602	 000000016393	0.0000000%
822.80418		- 	791.52104		- 	008	390	0018804	 000000016571	0.0000000%
855.51993		- 	791.94900		- 	008	390	0019002	 000000016749	0.0000000%
880.24914		- 	792.25324		- 	008	390	0019203	 000000016927	0.0000000%
935.93687		- 	792.48630		- 	008	390	0019403	 000000017105	0.0000000%
915.07446		- 	792.58837		- 	008	390	0019605	 000000017284	0.0000000%
950.68073		- 	792.87930		- 	010	388	0019806	 000000017462	0.0000000%
916.84990		- 	793.28282		- 	009	389	0020010	 000000017640	0.0000000%
917.71010		- 	793.61247		- 	008	390	0020202	 000000017819	0.0000000%
894.04915		- 	793.93965		- 	009	389	0020402	 000000017997	0.0000000%
922.41647		- 	794.19297		- 	008	390	0020604	 000000018175	0.0000000%
832.79781		- 	794.45871		- 	008	390	0020803	 000000018353	0.0000000%
887.05226		- 	794.74899		- 	008	390	0021010	 000000018530	0.0000000%
839.14904		- 	795.10635		- 	009	389	0021206	 000000018709	0.0000000%
868.53540		- 	795.30811		- 	008	390	0021402	 000000018888	0.0000000%
867.04754		- 	795.51514		- 	009	389	0021602	 000000019066	0.0000000%
834.69075		- 	795.70012		- 	009	389	0021802	 000000019245	0.0000000%
882.57266		- 	795.94745		- 	008	390	0022005	 000000019423	0.0000000%
884.64573		- 	796.20252		- 	009	389	0022205	 000000019601	0.0000000%
870.95371		- 	796.47847		- 	008	390	0022405	 000000019779	0.0000000%
955.06770		- 	796.66839		- 	008	390	0022609	 000000019957	0.0000000%
964.25739		- 	796.87248		- 	009	389	0022810	 000000020136	0.0000000%
899.50602		- 	797.03596		- 	009	388	0023007	 000000020315	0.0000000%
855.45762		- 	797.31064		- 	008	390	0023209	 000000020493	0.0000000%
826.01714		- 	797.49399		- 	008	390	0023410	 000000020671	0.0000000%
973.89172		- 	797.71781		- 	007	391	0023605	 000000020850	0.0000000%
922.62860		- 	797.93151		- 	007	391	0023808	 000000021027	0.0000000%
865.98560		- 	798.13311		- 	009	389	0024009	 000000021205	0.0000000%
889.48541		- 	798.36834		- 	008	390	0024208	 000000021383	0.0000000%
