Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: lin318
directory: 3D
option: 3D
Instance Size: 318
Initial Upper Bound: 3044.26999272
Average radius size: 8.26800000
Using variable selection rule #1!
Size of the tree: 3.26972547e+656
Raiz: 0 1 102 
Initial root: 0 1 102 
Value of objective function: 1.12858974e+03
SolverStatus: Solved
Solution: 
( 1.69300000e+02, 4.05500000e+02, 0.00000000e+00 )
( 1.31405181e+01, 1.17438837e+01, 1.19612922e+01 )
( 3.01988083e+02, 1.17172330e+01, 1.78771029e+01 )
( 1.69300000e+02, 4.05500000e+02, 0.00000000e+00 )

Not covered in root: 214 215 310 223 219 213 305 304 218 224 211 212 309 308 312 216 109 217 311 161 110 205 227 222 164 60 160 297 61 298 307 226 162 220 306 303 228 221 244 155 159 163 154 300 245 235 210 236 229 153 299 158 200 156 225 302 234 199 63 42 39 118 237 301 150 313 114 230 37 108 152 157 38 113 70 145 204 46 43 233 106 52 58 119 53 74 36 231 238 69 151 41 149 62 75 203 232 107 65 81 207 66 239 167 148 248 206 296 240 168 243 146 47 241 247 111 147 4 80 54 100 44 275 76 209 291 169 51 276 27 73 57 112 246 24 249 242 165 285 166 193 269 295 266 26 19 290 5 172 202 35 192 201 284 280 176 117 173 25 286 294 122 198 34 293 64 279 105 289 18 265 115 283 121 267 195 104 86 33 89 287 315 260 292 259 177 288 116 194 16 123 45 316 183 55 317 90 23 139 48 282 95 77 79 12 197 264 17 268 140 72 28 20 94 131 187 130 99 258 263 178 182 184 174 50 196 56 281 71 124 188 120 270 137 181 30 175 261 142 85 68 252 93 141 189 49 132 144 101 171 129 82 87 10 314 256 274 278 91 7 136 2 103 179 13 208 190 180 134 143 84 191 59 255 185 3 32 83 138 125 277 253 67 40 271 8 251 88 92 9 98 262 257 15 29 78 133 250 135 21 254 22 170 6 273 272 186 128 127 126 31 14 11 97 96 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
1228.8820		- 	1128.5897		- 	002	286	0000004	 000000000002	0.0000000%
1895.1349		- 	1558.2969		- 	007	258	0000168	 000000000135	0.0000000%
1679.8616		- 	1602.6043		- 	007	267	0000325	 000000000273	0.0000000%
1747.0997		- 	1630.3313		- 	008	268	0000482	 000000000413	0.0000000%
1808.7591		- 	1647.6287		- 	008	256	0000646	 000000000552	0.0000000%
2144.8430		- 	1660.1833		- 	005	251	0000797	 000000000693	0.0000000%
1845.9885		- 	1672.3130		- 	008	273	0000958	 000000000833	0.0000000%
1824.5335		- 	1680.3264		- 	009	267	0001121	 000000000972	0.0000000%
1707.9167		- 	1688.4340		- 	010	272	0001278	 000000001114	0.0000000%
2024.6557		- 	1696.7691		- 	008	259	0001441	 000000001255	0.0000000%
1733.3660		- 	1701.8071		- 	008	266	0001593	 000000001398	0.0000000%
1924.1829		- 	1707.0937		- 	009	277	0001755	 000000001539	0.0000000%
2236.9037		- 	1712.8687		- 	008	260	0001918	 000000001680	0.0000000%
1817.1228		- 	1717.6861		- 	011	257	0002079	 000000001822	0.0000000%
2114.2656		- 	1722.0215		- 	010	257	0002234	 000000001964	0.0000000%
1761.1888		- 	1725.3294		- 	008	267	0002388	 000000002107	0.0000000%
2175.9582		- 	1728.3419		- 	009	257	0002554	 000000002249	0.0000000%
2100.9260		- 	1732.2839		- 	009	270	0002706	 000000002392	0.0000000%
1837.8663		- 	1735.3590		- 	010	258	0002871	 000000002533	0.0000000%
1977.1404		- 	1738.2418		- 	008	263	0003023	 000000002676	0.0000000%
2045.3611		- 	1740.3357		- 	008	260	0003190	 000000002819	0.0000000%
1906.5549		- 	1743.3955		- 	008	256	0003343	 000000002962	0.0000000%
2088.5807		- 	1744.6738		- 	011	254	0003500	 000000003106	0.0000000%
1909.4313		- 	1746.7658		- 	007	263	0003666	 000000003248	0.0000000%
1858.4660		- 	1748.6168		- 	007	277	0003823	 000000003391	0.0000000%
1971.8826		- 	1750.2096		- 	010	249	0003983	 000000003534	0.0000000%
2168.8542		- 	1752.6603		- 	010	257	0004146	 000000003677	0.0000000%
2154.2982		- 	1754.0980		- 	007	264	0004296	 000000003821	0.0000000%
1998.9674		- 	1756.7874		- 	006	262	0004460	 000000003963	0.0000000%
1847.1744		- 	1758.6762		- 	008	259	0004616	 000000004106	0.0000000%
1975.4581		- 	1760.5128		- 	010	260	0004774	 000000004249	0.0000000%
2002.3685		- 	1762.0095		- 	009	258	0004938	 000000004392	0.0000000%
2155.9262		- 	1763.2395		- 	009	260	0005099	 000000004536	0.0000000%
1909.4532		- 	1764.9067		- 	009	269	0005255	 000000004679	0.0000000%
2043.5610		- 	1766.2310		- 	008	263	0005411	 000000004823	0.0000000%
2309.4097		- 	1767.9289		- 	009	266	0005571	 000000004966	0.0000000%
1924.4289		- 	1768.8448		- 	009	261	0005730	 000000005110	0.0000000%
2287.6467		- 	1770.5820		- 	007	259	0005885	 000000005254	0.0000000%
1970.8683		- 	1771.4125		- 	007	263	0006046	 000000005397	0.0000000%
2059.4045		- 	1772.4098		- 	011	265	0006207	 000000005541	0.0000000%
2194.2962		- 	1773.6344		- 	011	246	0006369	 000000005684	0.0000000%
2140.1487		- 	1774.4862		- 	012	263	0006531	 000000005828	0.0000000%
1923.2636		- 	1776.1992		- 	009	269	0006682	 000000005972	0.0000000%
2140.0220		- 	1777.5373		- 	011	266	0006850	 000000006115	0.0000000%
1897.9180		- 	1778.3858		- 	009	258	0007001	 000000006259	0.0000000%
2142.8315		- 	1779.5451		- 	009	263	0007165	 000000006402	0.0000000%
1814.5952		- 	1780.8327		- 	008	259	0007317	 000000006546	0.0000000%
1966.2078		- 	1782.7284		- 	009	272	0007479	 000000006690	0.0000000%
1955.9920		- 	1783.8285		- 	012	258	0007643	 000000006834	0.0000000%
1930.2279		- 	1785.1259		- 	009	272	0007799	 000000006979	0.0000000%
1805.4135		- 	1785.7618		- 	011	255	0007957	 000000007123	0.0000000%
2130.7053		- 	1786.7288		- 	012	255	0008122	 000000007266	0.0000000%
1968.4085		- 	1788.2537		- 	010	264	0008273	 000000007411	0.0000000%
1854.3448		- 	1789.4464		- 	010	266	0008432	 000000007556	0.0000000%
1926.7323		- 	1790.3645		- 	011	257	0008595	 000000007700	0.0000000%
2338.0730		- 	1790.7515		- 	011	251	0008747	 000000007845	0.0000000%
1860.0159		- 	1791.4033		- 	011	271	0008911	 000000007989	0.0000000%
1913.8176		- 	1792.4772		- 	010	267	0009068	 000000008133	0.0000000%
2030.9689		- 	1793.2016		- 	012	257	0009234	 000000008277	0.0000000%
2081.9736		- 	1793.7949		- 	011	257	0009387	 000000008422	0.0000000%
2279.5140		- 	1794.6886		- 	008	257	0009542	 000000008567	0.0000000%
2340.1417		- 	1795.1887		- 	011	255	0009712	 000000008710	0.0000000%
2410.1358		- 	1795.5661		- 	010	261	0009860	 000000008855	0.0000000%
2231.0509		- 	1796.7327		- 	011	255	0010029	 000000008998	0.0000000%
2296.4259		- 	1797.5050		- 	012	245	0010185	 000000009142	0.0000000%
2114.6910		- 	1798.3225		- 	011	254	0010345	 000000009286	0.0000000%
1854.5715		- 	1798.9191		- 	008	265	0010504	 000000009430	0.0000000%
2067.5927		- 	1799.6013		- 	008	270	0010662	 000000009574	0.0000000%
2265.9495		- 	1800.3020		- 	011	256	0010815	 000000009719	0.0000000%
1893.5340		- 	1800.9356		- 	011	252	0010982	 000000009863	0.0000000%
1988.6942		- 	1801.5285		- 	012	255	0011142	 000000010007	0.0000000%
1956.8514		- 	1802.4013		- 	012	263	0011302	 000000010152	0.0000000%
2204.2418		- 	1803.1395		- 	009	254	0011458	 000000010296	0.0000000%
2153.6292		- 	1803.6789		- 	012	265	0011615	 000000010441	0.0000000%
1854.9527		- 	1804.2386		- 	012	259	0011777	 000000010586	0.0000000%
2077.6384		- 	1804.7018		- 	012	263	0011939	 000000010730	0.0000000%
1955.8547		- 	1805.4125		- 	009	266	0012093	 000000010875	0.0000000%
1926.2831		- 	1805.9687		- 	008	258	0012247	 000000011020	0.0000000%
1993.9421		- 	1806.5483		- 	009	264	0012405	 000000011165	0.0000000%
2016.3230		- 	1807.2222		- 	008	267	0012565	 000000011309	0.0000000%
2105.5136		- 	1807.6734		- 	010	255	0012729	 000000011453	0.0000000%
2114.0717		- 	1808.1252		- 	009	253	0012882	 000000011598	0.0000000%
1970.8188		- 	1808.6193		- 	009	271	0013040	 000000011742	0.0000000%
2285.1940		- 	1809.2054		- 	007	267	0013200	 000000011886	0.0000000%
1846.3093		- 	1809.6426		- 	011	253	0013361	 000000012031	0.0000000%
1893.8576		- 	1810.1311		- 	009	259	0013521	 000000012175	0.0000000%
2173.0127		- 	1810.4827		- 	010	257	0013686	 000000012319	0.0000000%
2079.9881		- 	1810.9827		- 	011	257	0013842	 000000012464	0.0000000%
2216.2698		- 	1811.6660		- 	010	255	0013997	 000000012608	0.0000000%
1873.9783		- 	1812.1604		- 	010	255	0014163	 000000012752	0.0000000%
2214.0955		- 	1812.5187		- 	010	251	0014318	 000000012898	0.0000000%
2356.0184		- 	1812.7975		- 	012	248	0014483	 000000013042	0.0000000%
1917.7786		- 	1813.2320		- 	010	265	0014632	 000000013188	0.0000000%
1834.3336		- 	1813.8583		- 	007	260	0014794	 000000013332	0.0000000%
1934.5629		- 	1814.3063		- 	010	257	0014952	 000000013476	0.0000000%
2183.8169		- 	1814.7765		- 	013	257	0015115	 000000013620	0.0000000%
2041.0494		- 	1815.1177		- 	010	259	0015271	 000000013765	0.0000000%
2101.0373		- 	1815.8512		- 	008	253	0015432	 000000013909	0.0000000%
1937.8133		- 	1816.3521		- 	009	255	0015592	 000000014054	0.0000000%
2281.4552		- 	1816.9158		- 	012	261	0015745	 000000014199	0.0000000%
1980.1512		- 	1817.2405		- 	009	269	0015905	 000000014343	0.0000000%
2056.2273		- 	1817.6986		- 	007	258	0016068	 000000014487	0.0000000%
1915.0471		- 	1818.1104		- 	010	264	0016224	 000000014632	0.0000000%
2040.8538		- 	1818.6556		- 	013	254	0016383	 000000014777	0.0000000%
2296.5197		- 	1819.1483		- 	013	249	0016544	 000000014922	0.0000000%
1872.9532		- 	1819.5368		- 	010	259	0016707	 000000015067	0.0000000%
1839.6984		- 	1820.0581		- 	009	261	0016857	 000000015212	0.0000000%
2368.9021		- 	1820.6395		- 	009	262	0017015	 000000015357	0.0000000%
1942.9759		- 	1821.0488		- 	008	269	0017177	 000000015501	0.0000000%
1865.0114		- 	1821.6226		- 	011	263	0017340	 000000015645	0.0000000%
1869.5630		- 	1821.9673		- 	011	273	0017493	 000000015790	0.0000000%
2072.0529		- 	1822.4603		- 	010	265	0017660	 000000015934	0.0000000%
2010.0071		- 	1822.8414		- 	011	266	0017819	 000000016079	0.0000000%
2347.1292		- 	1823.4170		- 	012	251	0017978	 000000016224	0.0000000%
2049.4253		- 	1823.9113		- 	011	259	0018135	 000000016369	0.0000000%
