Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: rat195
directory: 3D
option: 3D
Instance Size: 195
Initial Upper Bound: 10000001.00000000
Average radius size: 1.73400000
Using variable selection rule #1!
Size of the tree: 6.68033058e+360
Raiz: 0 1 183 
Initial root: 0 1 183 
Value of objective function: 6.66827998e+01
SolverStatus: Solved
Solution: 
( 1.27000000e+01, 2.90000000e+01, 0.00000000e+00 )
( 7.06635420e-01, 2.88478868e+00, 2.65376576e+00 )
( 1.73474239e+00, 2.75864853e+01, 6.46564443e+00 )
( 1.27000000e+01, 2.90000000e+01, 0.00000000e+00 )

Not covered in root: 13 12 39 26 25 10 11 65 9 52 38 91 24 51 90 23 35 50 78 37 76 64 155 36 8 88 22 141 142 77 139 63 47 31 89 49 21 7 104 87 19 98 124 48 34 6 20 46 103 125 75 62 137 102 97 151 116 148 5 193 85 184 117 156 74 56 110 18 61 33 172 171 84 149 176 60 163 72 118 157 161 136 175 130 14 119 181 105 143 165 164 86 150 32 3 109 115 122 4 96 167 121 95 162 80 194 153 144 135 129 28 53 169 189 59 114 73 108 66 123 69 44 147 186 166 54 17 178 45 187 180 101 68 158 134 107 2 81 113 43 190 128 40 140 82 138 100 127 192 16 71 27 160 146 92 177 83 120 188 173 126 106 191 112 111 170 132 131 58 57 55 42 41 145 152 154 159 15 168 99 29 30 133 174 67 70 179 79 182 185 93 94 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
75.131695		- 	66.682800		- 	002	151	0000004	 000000000002	0.0000000%
93.237209		- 	83.131383		- 	006	144	0000101	 000000000082	0.0000000%
100.44962		- 	85.076401		- 	007	140	0000203	 000000000164	0.0000000%
105.78812		- 	86.296079		- 	005	133	0000296	 000000000248	0.0000000%
98.456993		- 	87.434447		- 	008	143	0000398	 000000000332	0.0000000%
103.90720		- 	88.124764		- 	008	144	0000494	 000000000417	0.0000000%
97.609372		- 	88.617635		- 	008	130	0000591	 000000000503	0.0000000%
95.606200		- 	89.043105		- 	008	132	0000682	 000000000589	0.0000000%
98.244678		- 	89.364150		- 	009	139	0000780	 000000000674	0.0000000%
103.51353		- 	89.693882		- 	007	141	0000878	 000000000758	0.0000000%
100.61825		- 	90.005724		- 	009	136	0000974	 000000000843	0.0000000%
99.299027		- 	90.267496		- 	009	138	0001075	 000000000928	0.0000000%
108.39491		- 	90.465008		- 	009	131	0001169	 000000001014	0.0000000%
95.970353		- 	90.644325		- 	008	138	0001265	 000000001100	0.0000000%
105.45654		- 	90.845765		- 	009	137	0001363	 000000001186	0.0000000%
99.983103		- 	91.006476		- 	008	136	0001457	 000000001272	0.0000000%
104.41150		- 	91.169521		- 	008	145	0001557	 000000001358	0.0000000%
106.58481		- 	91.434999		- 	008	127	0001658	 000000001443	0.0000000%
110.82721		- 	91.600319		- 	008	137	0001754	 000000001530	0.0000000%
96.952549		- 	91.725093		- 	006	145	0001848	 000000001616	0.0000000%
99.905580		- 	91.847321		- 	008	128	0001948	 000000001702	0.0000000%
106.61320		- 	91.956365		- 	010	138	0002044	 000000001789	0.0000000%
98.534571		- 	92.110022		- 	008	139	0002138	 000000001876	0.0000000%
94.629633		- 	92.268332		- 	010	138	0002240	 000000001962	0.0000000%
98.577269		- 	92.354174		- 	008	135	0002336	 000000002049	0.0000000%
98.137429		- 	92.466056		- 	009	131	0002433	 000000002135	0.0000000%
112.98967		- 	92.551927		- 	009	126	0002527	 000000002222	0.0000000%
111.26899		- 	92.670248		- 	007	135	0002622	 000000002309	0.0000000%
95.285249		- 	92.784420		- 	007	144	0002722	 000000002395	0.0000000%
116.70354		- 	92.848229		- 	008	134	0002822	 000000002481	0.0000000%
100.06905		- 	92.911354		- 	009	133	0002916	 000000002568	0.0000000%
127.99857		- 	92.997338		- 	008	120	0003010	 000000002655	0.0000000%
95.514462		- 	93.123925		- 	006	143	0003109	 000000002741	0.0000000%
104.87092		- 	93.204320		- 	009	144	0003211	 000000002827	0.0000000%
101.22794		- 	93.267893		- 	008	133	0003301	 000000002914	0.0000000%
115.59998		- 	93.352598		- 	007	136	0003404	 000000003000	0.0000000%
103.70809		- 	93.469625		- 	006	140	0003496	 000000003087	0.0000000%
109.66726		- 	93.555232		- 	009	132	0003591	 000000003174	0.0000000%
105.13821		- 	93.623353		- 	008	125	0003695	 000000003260	0.0000000%
120.17803		- 	93.673649		- 	007	129	0003789	 000000003347	0.0000000%
114.93969		- 	93.727079		- 	008	136	0003882	 000000003435	0.0000000%
97.725517		- 	93.761415		- 	008	143	0003983	 000000003522	0.0000000%
97.146019		- 	93.874331		- 	008	145	0004081	 000000003609	0.0000000%
101.69043		- 	93.959502		- 	009	129	0004181	 000000003695	0.0000000%
112.12811		- 	94.023960		- 	007	132	0004275	 000000003782	0.0000000%
120.28005		- 	94.093387		- 	010	128	0004375	 000000003869	0.0000000%
129.82059		- 	94.135102		- 	010	140	0004466	 000000003956	0.0000000%
109.49489		- 	94.235091		- 	009	136	0004561	 000000004043	0.0000000%
127.94110		- 	94.268248		- 	007	128	0004662	 000000004129	0.0000000%
96.097842		- 	94.344577		- 	007	136	0004761	 000000004216	0.0000000%
102.56085		- 	94.372469		- 	010	135	0004857	 000000004303	0.0000000%
105.30741		- 	94.439368		- 	010	132	0004952	 000000004390	0.0000000%
135.78714		- 	94.493710		- 	008	128	0005051	 000000004477	0.0000000%
98.084333		- 	94.549955		- 	008	139	0005149	 000000004564	0.0000000%
118.81590		- 	94.589252		- 	009	129	0005249	 000000004651	0.0000000%
102.33419		- 	94.629633		- 	011	138	0005338	 000000004739	0.0000000%
106.92374		- 	94.688196		- 	010	132	0005440	 000000004825	0.0000000%
109.29929		- 	94.727697		- 	009	129	0005533	 000000004913	0.0000000%
120.89085		- 	94.753686		- 	010	129	0005628	 000000005000	0.0000000%
105.90818		- 	94.803571		- 	011	137	0005730	 000000005087	0.0000000%
99.948131		- 	94.841123		- 	009	128	0005830	 000000005174	0.0000000%
98.969530		- 	94.880923		- 	007	134	0005922	 000000005261	0.0000000%
99.812660		- 	94.916998		- 	009	128	0006018	 000000005348	0.0000000%
116.57117		- 	94.951037		- 	008	128	0006114	 000000005435	0.0000000%
98.102614		- 	94.997627		- 	009	134	0006216	 000000005522	0.0000000%
107.07382		- 	95.037533		- 	009	126	0006314	 000000005609	0.0000000%
100.36536		- 	95.084553		- 	010	130	0006405	 000000005696	0.0000000%
115.15947		- 	95.116713		- 	010	122	0006510	 000000005782	0.0000000%
105.41676		- 	95.152665		- 	009	128	0006604	 000000005869	0.0000000%
99.673234		- 	95.221446		- 	008	134	0006700	 000000005956	0.0000000%
98.094611		- 	95.253506		- 	009	138	0006801	 000000006043	0.0000000%
119.07755		- 	95.287451		- 	009	121	0006896	 000000006130	0.0000000%
101.21425		- 	95.335616		- 	010	128	0006991	 000000006217	0.0000000%
99.541254		- 	95.358619		- 	009	137	0007090	 000000006304	0.0000000%
98.097487		- 	95.394963		- 	009	126	0007184	 000000006391	0.0000000%
99.603569		- 	95.435006		- 	009	134	0007277	 000000006479	0.0000000%
120.50970		- 	95.482825		- 	009	130	0007380	 000000006565	0.0000000%
122.00847		- 	95.512235		- 	011	124	0007471	 000000006653	0.0000000%
107.58985		- 	95.542861		- 	008	119	0007569	 000000006740	0.0000000%
97.705510		- 	95.567120		- 	007	135	0007672	 000000006826	0.0000000%
107.16676		- 	95.611236		- 	008	135	0007770	 000000006913	0.0000000%
102.13782		- 	95.636997		- 	008	126	0007866	 000000007000	0.0000000%
108.87564		- 	95.663691		- 	007	134	0007961	 000000007087	0.0000000%
