Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-150-2
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 151
Initial Upper Bound: 999.00000000
Average radius size: 0.25000000
Using variable selection rule #1!
Size of the tree: 2.87586528e+262
Raiz: 0 63 77 
Initial root: 0 63 77 
Value of objective function: 3.83890481e+01
SolverStatus: Solved
Solution: 
( 8.60091000e-01, 6.81769000e+00, 0.00000000e+00 )
( 1.55431217e+01, 1.00332334e+00, 0.00000000e+00 )
( 1.57323835e+01, 8.61693816e+00, 0.00000000e+00 )
( 8.60091000e-01, 6.81769000e+00, 0.00000000e+00 )

Not covered in root: 143 19 30 24 97 81 105 62 47 16 141 137 6 100 52 139 94 15 102 39 103 86 10 106 57 2 59 22 112 42 21 65 43 135 45 107 148 147 38 11 91 124 50 37 29 32 149 53 85 74 66 60 64 104 31 20 127 118 132 71 69 70 56 82 72 68 40 28 119 34 130 13 138 121 7 5 49 84 122 128 101 18 96 4 8 58 36 48 44 26 17 110 114 12 88 109 133 117 108 144 99 80 93 125 14 129 23 116 54 150 83 142 126 98 120 51 92 123 113 33 46 134 1 78 131 90 76 73 9 35 87 61 41 145 25 27 95 55 140 67 3 111 79 75 115 136 89 146 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
44.302693		- 	38.389048		- 	002	126	0000004	 000000000002	0.0000000%
66.301952		- 	50.474788		- 	004	116	0000081	 000000000063	0.0000000%
65.423244		- 	52.233600		- 	007	112	0000152	 000000000128	0.0000000%
63.378536		- 	53.921022		- 	007	119	0000232	 000000000192	0.0000000%
59.670067		- 	54.173522		- 	006	117	0000306	 000000000257	0.0000000%
58.990424		- 	54.721879		- 	006	128	0000382	 000000000322	0.0000000%
60.970730		- 	55.370937		- 	008	114	0000455	 000000000388	0.0000000%
74.352794		- 	55.623261		- 	007	118	0000531	 000000000454	0.0000000%
57.312547		- 	56.112307		- 	008	118	0000604	 000000000520	0.0000000%
59.260347		- 	56.365581		- 	007	112	0000684	 000000000586	0.0000000%
65.893181		- 	56.539792		- 	006	120	0000757	 000000000652	0.0000000%
73.634713		- 	56.666132		- 	007	117	0000830	 000000000718	0.0000000%
59.827807		- 	56.796087		- 	009	100	0000902	 000000000785	0.0000000%
80.799054		- 	57.071049		- 	009	114	0000986	 000000000850	0.0000000%
68.933409		- 	57.269792		- 	007	112	0001057	 000000000917	0.0000000%
65.146408		- 	57.354869		- 	008	114	0001130	 000000000984	0.0000000%
64.800572		- 	57.540207		- 	007	115	0001203	 000000001050	0.0000000%
60.112554		- 	57.671257		- 	008	117	0001277	 000000001117	0.0000000%
63.060393		- 	57.769233		- 	010	108	0001358	 000000001183	0.0000000%
74.531836		- 	57.861469		- 	008	116	0001429	 000000001250	0.0000000%
67.060803		- 	57.949913		- 	010	107	0001503	 000000001317	0.0000000%
60.481018		- 	58.049197		- 	010	107	0001586	 000000001383	0.0000000%
63.183351		- 	58.141217		- 	006	115	0001654	 000000001450	0.0000000%
64.051848		- 	58.191484		- 	010	103	0001729	 000000001517	0.0000000%
65.803359		- 	58.324174		- 	007	115	0001805	 000000001583	0.0000000%
67.637312		- 	58.392623		- 	009	108	0001878	 000000001650	0.0000000%
61.735281		- 	58.456562		- 	008	118	0001955	 000000001716	0.0000000%
60.142191		- 	58.521960		- 	009	108	0002032	 000000001783	0.0000000%
67.831826		- 	58.599072		- 	009	111	0002104	 000000001850	0.0000000%
70.092672		- 	58.675212		- 	010	102	0002184	 000000001917	0.0000000%
83.217267		- 	58.749933		- 	009	105	0002256	 000000001985	0.0000000%
73.372675		- 	58.847179		- 	007	122	0002332	 000000002052	0.0000000%
78.380357		- 	58.948361		- 	011	105	0002412	 000000002119	0.0000000%
67.909747		- 	59.002826		- 	008	108	0002479	 000000002187	0.0000000%
74.295202		- 	59.097727		- 	008	109	0002556	 000000002254	0.0000000%
71.215674		- 	59.161362		- 	008	109	0002630	 000000002321	0.0000000%
69.587896		- 	59.199633		- 	007	108	0002709	 000000002388	0.0000000%
74.497186		- 	59.248059		- 	006	117	0002778	 000000002456	0.0000000%
66.877593		- 	59.304184		- 	007	114	0002854	 000000002523	0.0000000%
67.616401		- 	59.364612		- 	006	108	0002927	 000000002590	0.0000000%
67.986118		- 	59.403539		- 	011	098	0003008	 000000002657	0.0000000%
81.020024		- 	59.443981		- 	008	108	0003080	 000000002725	0.0000000%
73.092357		- 	59.493480		- 	009	100	0003160	 000000002792	0.0000000%
83.911865		- 	59.545865		- 	010	100	0003231	 000000002859	0.0000000%
68.293190		- 	59.574472		- 	009	104	0003305	 000000002927	0.0000000%
68.576921		- 	59.607474		- 	005	120	0003381	 000000002994	0.0000000%
77.914624		- 	59.639461		- 	010	103	0003452	 000000003062	0.0000000%
72.942755		- 	59.662778		- 	011	099	0003534	 000000003129	0.0000000%
60.878567		- 	59.699438		- 	011	109	0003611	 000000003195	0.0000000%
62.139523		- 	59.771617		- 	009	108	0003679	 000000003263	0.0000000%
62.790936		- 	59.799961		- 	008	115	0003758	 000000003330	0.0000000%
68.402853		- 	59.821222		- 	010	101	0003830	 000000003398	0.0000000%
67.086112		- 	59.853631		- 	011	103	0003911	 000000003465	0.0000000%
68.584085		- 	59.877518		- 	011	108	0003981	 000000003533	0.0000000%
61.036983		- 	59.902442		- 	004	118	0004052	 000000003601	0.0000000%
72.819791		- 	59.950467		- 	010	102	0004136	 000000003667	0.0000000%
76.818426		- 	59.990574		- 	007	100	0004205	 000000003735	0.0000000%
70.374382		- 	60.015895		- 	008	104	0004284	 000000003802	0.0000000%
62.541735		- 	60.038044		- 	009	109	0004353	 000000003870	0.0000000%
79.389489		- 	60.084000		- 	011	103	0004438	 000000003937	0.0000000%
64.505122		- 	60.106994		- 	011	100	0004513	 000000004005	0.0000000%
61.685709		- 	60.129834		- 	008	115	0004583	 000000004073	0.0000000%
61.383888		- 	60.175591		- 	007	105	0004659	 000000004140	0.0000000%
