Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-150-4
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 151
Initial Upper Bound: 999.00000000
Average radius size: 0.25000000
Using variable selection rule #1!
Size of the tree: 2.87586528e+262
Raiz: 0 150 17 
Initial root: 0 150 17 
Value of objective function: 3.44248301e+01
SolverStatus: Solved
Solution: 
( 3.79095000e+00, 6.15164000e+00, 0.00000000e+00 )
( 1.55151501e+01, 1.05382584e+00, 0.00000000e+00 )
( 6.48098515e-01, 1.80644818e-01, 0.00000000e+00 )
( 3.79095000e+00, 6.15164000e+00, 0.00000000e+00 )

Not covered in root: 18 51 59 37 29 136 75 58 39 91 112 125 27 48 66 80 30 145 99 126 62 115 118 32 9 120 65 44 122 87 143 69 111 78 105 70 137 100 24 57 108 49 141 64 72 123 7 56 53 60 73 22 6 15 10 41 35 121 95 42 54 38 26 148 77 31 4 71 139 117 119 116 135 132 82 23 134 90 83 55 68 103 1 140 107 149 25 36 61 106 79 88 113 127 86 13 128 138 19 146 45 131 93 101 97 124 104 92 98 2 67 74 89 114 76 21 3 130 142 33 133 8 84 11 147 14 12 109 34 46 40 20 144 28 81 63 129 5 96 52 110 50 16 47 85 102 94 43 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
40.908445		- 	34.424830		- 	002	127	0000004	 000000000002	0.0000000%
63.406030		- 	50.841043		- 	006	111	0000083	 000000000063	0.0000000%
56.697736		- 	52.718463		- 	007	118	0000156	 000000000128	0.0000000%
58.678614		- 	53.872494		- 	007	117	0000232	 000000000192	0.0000000%
64.448878		- 	54.554635		- 	007	112	0000304	 000000000257	0.0000000%
57.822805		- 	54.855864		- 	005	112	0000379	 000000000322	0.0000000%
62.782169		- 	55.520533		- 	006	112	0000455	 000000000387	0.0000000%
58.858126		- 	55.779354		- 	007	115	0000530	 000000000453	0.0000000%
77.142912		- 	56.009495		- 	007	112	0000602	 000000000519	0.0000000%
61.783648		- 	56.250588		- 	009	113	0000680	 000000000585	0.0000000%
76.873396		- 	56.499088		- 	008	106	0000755	 000000000651	0.0000000%
61.714612		- 	56.599228		- 	008	107	0000835	 000000000716	0.0000000%
63.424247		- 	56.800770		- 	009	111	0000904	 000000000783	0.0000000%
68.001944		- 	57.046565		- 	009	111	0000979	 000000000849	0.0000000%
59.786637		- 	57.224787		- 	007	120	0001059	 000000000914	0.0000000%
64.207214		- 	57.398410		- 	008	105	0001134	 000000000980	0.0000000%
70.757073		- 	57.506483		- 	006	113	0001204	 000000001047	0.0000000%
71.827711		- 	57.637793		- 	009	107	0001281	 000000001114	0.0000000%
79.575584		- 	57.863016		- 	009	100	0001356	 000000001180	0.0000000%
