Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-150-5
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 151
Initial Upper Bound: 999.00000000
Average radius size: 0.25000000
Using variable selection rule #1!
Size of the tree: 2.87586528e+262
Raiz: 0 142 12 
Initial root: 0 142 12 
Value of objective function: 3.99868329e+01
SolverStatus: Solved
Solution: 
( 6.20964000e-01, 1.96129000e+00, 0.00000000e+00 )
( 1.52098516e+01, 9.06749168e+00, 0.00000000e+00 )
( 1.58073654e+01, 5.78452631e-01, 0.00000000e+00 )
( 6.20964000e-01, 1.96129000e+00, 0.00000000e+00 )

Not covered in root: 9 103 127 77 57 144 63 39 88 134 52 95 101 125 81 90 65 114 60 34 47 129 143 43 126 58 86 132 140 80 73 10 99 59 117 8 45 54 15 79 105 37 84 107 113 145 2 62 91 89 22 112 98 4 115 104 75 14 30 23 17 51 42 68 53 18 64 69 138 108 74 56 5 38 102 13 133 7 78 135 148 139 93 119 1 146 136 116 71 11 97 67 6 29 35 150 16 3 92 131 100 94 25 70 21 111 33 55 20 66 82 130 149 128 24 46 27 49 61 122 36 31 121 141 96 26 118 48 120 50 123 124 147 19 87 28 137 110 109 32 72 106 76 40 41 83 44 85 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
45.271414		- 	39.986833		- 	002	126	0000004	 000000000002	0.0000000%
61.347422		- 	52.529150		- 	006	114	0000077	 000000000064	0.0000000%
59.401782		- 	53.982805		- 	006	114	0000157	 000000000127	0.0000000%
57.352091		- 	54.771516		- 	007	119	0000228	 000000000192	0.0000000%
61.769450		- 	55.386714		- 	008	111	0000303	 000000000257	0.0000000%
71.720680		- 	55.763801		- 	008	109	0000382	 000000000322	0.0000000%
59.633706		- 	56.212421		- 	009	112	0000457	 000000000388	0.0000000%
79.449282		- 	56.571291		- 	006	114	0000530	 000000000453	0.0000000%
59.843519		- 	56.785756		- 	006	118	0000606	 000000000518	0.0000000%
66.278873		- 	57.080618		- 	007	108	0000679	 000000000584	0.0000000%
68.185402		- 	57.265182		- 	008	106	0000755	 000000000650	0.0000000%
60.827405		- 	57.399755		- 	009	111	0000836	 000000000716	0.0000000%
72.096727		- 	57.545073		- 	009	112	0000906	 000000000783	0.0000000%
65.855443		- 	57.733463		- 	007	118	0000982	 000000000849	0.0000000%
58.816124		- 	57.885725		- 	006	121	0001052	 000000000916	0.0000000%
64.860532		- 	58.069669		- 	008	116	0001129	 000000000981	0.0000000%
59.873187		- 	58.192247		- 	009	116	0001210	 000000001047	0.0000000%
66.841815		- 	58.326071		- 	008	111	0001282	 000000001114	0.0000000%
64.644437		- 	58.422734		- 	008	108	0001354	 000000001181	0.0000000%
64.185951		- 	58.508908		- 	007	116	0001427	 000000001248	0.0000000%
67.729961		- 	58.577572		- 	010	110	0001503	 000000001315	0.0000000%
73.694174		- 	58.664461		- 	010	108	0001580	 000000001381	0.0000000%
65.350054		- 	58.765024		- 	007	119	0001653	 000000001447	0.0000000%
72.000964		- 	58.824530		- 	007	110	0001733	 000000001513	0.0000000%
63.067891		- 	58.932575		- 	008	108	0001804	 000000001580	0.0000000%
69.964950		- 	59.043247		- 	010	105	0001887	 000000001646	0.0000000%
70.826686		- 	59.085700		- 	010	115	0001956	 000000001714	0.0000000%
63.738125		- 	59.134191		- 	007	112	0002030	 000000001781	0.0000000%
78.598621		- 	59.187488		- 	008	107	0002104	 000000001848	0.0000000%
75.734647		- 	59.220798		- 	010	113	0002187	 000000001914	0.0000000%
63.629545		- 	59.336706		- 	007	114	0002252	 000000001981	0.0000000%
73.470124		- 	59.376180		- 	009	105	0002329	 000000002048	0.0000000%
60.604372		- 	59.411300		- 	005	118	0002404	 000000002114	0.0000000%
72.437693		- 	59.475529		- 	009	107	0002481	 000000002181	0.0000000%
63.378856		- 	59.522053		- 	009	109	0002555	 000000002248	0.0000000%
72.707858		- 	59.604081		- 	008	104	0002630	 000000002315	0.0000000%
71.442319		- 	59.633706		- 	010	108	0002709	 000000002382	0.0000000%
63.974507		- 	59.709586		- 	008	114	0002779	 000000002449	0.0000000%
70.376360		- 	59.742781		- 	009	110	0002857	 000000002515	0.0000000%
63.711715		- 	59.780135		- 	008	109	0002931	 000000002582	0.0000000%
61.411450		- 	59.816268		- 	010	109	0003012	 000000002649	0.0000000%
67.710757		- 	59.864559		- 	010	111	0003083	 000000002716	0.0000000%
66.686152		- 	59.900476		- 	006	112	0003152	 000000002784	0.0000000%
61.369710		- 	59.952793		- 	010	112	0003235	 000000002850	0.0000000%
64.024520		- 	60.023651		- 	009	113	0003311	 000000002917	0.0000000%
75.556507		- 	60.086388		- 	007	105	0003384	 000000002984	0.0000000%
71.402952		- 	60.151330		- 	007	107	0003454	 000000003051	0.0000000%
70.147620		- 	60.196547		- 	009	110	0003535	 000000003118	0.0000000%
69.050533		- 	60.248908		- 	010	101	0003604	 000000003186	0.0000000%
63.635560		- 	60.267756		- 	009	108	0003686	 000000003253	0.0000000%
69.178413		- 	60.311021		- 	010	110	0003759	 000000003320	0.0000000%
61.700236		- 	60.322154		- 	009	113	0003827	 000000003389	0.0000000%
70.002293		- 	60.369904		- 	009	107	0003910	 000000003455	0.0000000%
65.435873		- 	60.396272		- 	009	118	0003978	 000000003523	0.0000000%
72.800315		- 	60.447343		- 	009	108	0004056	 000000003590	0.0000000%
63.496685		- 	60.472901		- 	010	108	0004128	 000000003658	0.0000000%
71.097031		- 	60.490148		- 	008	105	0004209	 000000003724	0.0000000%
64.262396		- 	60.520198		- 	011	109	0004277	 000000003792	0.0000000%
66.186511		- 	60.548320		- 	011	108	0004363	 000000003859	0.0000000%
65.650827		- 	60.565125		- 	010	115	0004433	 000000003927	0.0000000%
71.078911		- 	60.581412		- 	009	105	0004509	 000000003994	0.0000000%
76.930055		- 	60.596264		- 	007	110	0004584	 000000004061	0.0000000%
70.578646		- 	60.640160		- 	009	109	0004659	 000000004128	0.0000000%
73.461678		- 	60.674713		- 	006	102	0004729	 000000004195	0.0000000%
75.089680		- 	60.701030		- 	008	107	0004808	 000000004262	0.0000000%
80.963109		- 	60.717859		- 	011	096	0004882	 000000004330	0.0000000%
64.880046		- 	60.755225		- 	008	112	0004960	 000000004397	0.0000000%
68.393555		- 	60.774845		- 	009	113	0005033	 000000004464	0.0000000%
70.192801		- 	60.799899		- 	011	107	0005110	 000000004531	0.0000000%
70.971991		- 	60.827405		- 	010	109	0005183	 000000004599	0.0000000%
75.344534		- 	60.866361		- 	009	111	0005255	 000000004667	0.0000000%
62.445332		- 	60.886547		- 	008	111	0005334	 000000004734	0.0000000%
73.080211		- 	60.899509		- 	011	103	0005407	 000000004802	0.0000000%
61.941583		- 	60.923061		- 	010	102	0005487	 000000004868	0.0000000%
65.665458		- 	60.946389		- 	006	110	0005555	 000000004935	0.0000000%
68.540902		- 	60.962579		- 	008	116	0005633	 000000005002	0.0000000%
68.894463		- 	60.981352		- 	010	101	0005703	 000000005070	0.0000000%
72.410979		- 	61.019294		- 	009	108	0005782	 000000005138	0.0000000%
61.846165		- 	61.035134		- 	007	108	0005852	 000000005206	0.0000000%
74.610427		- 	61.062758		- 	011	103	0005934	 000000005273	0.0000000%
65.897788		- 	61.105642		- 	009	110	0006009	 000000005341	0.0000000%
71.030123		- 	61.124751		- 	009	111	0006081	 000000005409	0.0000000%
62.964598		- 	61.141134		- 	007	107	0006158	 000000005476	0.0000000%
75.225415		- 	61.168192		- 	009	106	0006230	 000000005544	0.0000000%
71.997864		- 	61.192339		- 	008	105	0006308	 000000005611	0.0000000%
68.524512		- 	61.217664		- 	007	114	0006378	 000000005679	0.0000000%
80.291135		- 	61.232239		- 	009	112	0006458	 000000005746	0.0000000%
66.518658		- 	61.263216		- 	009	110	0006527	 000000005814	0.0000000%
78.237872		- 	61.283731		- 	009	104	0006608	 000000005881	0.0000000%
72.192449		- 	61.298429		- 	006	111	0006679	 000000005949	0.0000000%
64.266876		- 	61.331627		- 	006	115	0006755	 000000006016	0.0000000%
