Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-50-10
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 51
Initial Upper Bound: 999.00000000
Average radius size: 0.25000000
Using variable selection rule #1!
Size of the tree: 1.55175266e+64
Raiz: 0 4 37 
Initial root: 0 4 37 
Value of objective function: 3.84573273e+01
SolverStatus: Solved
Solution: 
( 4.04679000e-01, 2.82814000e+00, 0.00000000e+00 )
( 1.57848384e+01, 8.08928386e+00, 0.00000000e+00 )
( 1.47503566e+01, 4.91854012e-01, 0.00000000e+00 )
( 4.04679000e-01, 2.82814000e+00, 0.00000000e+00 )

Not covered in root: 48 18 23 33 42 22 15 38 26 6 28 1 7 35 32 45 25 43 20 24 3 13 21 11 44 8 14 12 5 41 19 10 50 31 40 49 9 34 46 17 2 29 36 47 16 30 39 27 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
43.842463		- 	38.457327		- 	002	039	0000004	 000000000002	0.0000000%
49.309517		- 	46.884273		- 	003	040	0000028	 000000000022	0.0000000%
50.865603		- 	48.750003		- 	005	038	0000052	 000000000043	0.0000000%
53.780228		- 	49.586479		- 	006	034	0000079	 000000000064	0.0000000%
61.808133		- 	50.363430		- 	007	033	0000109	 000000000085	0.0000000%
57.533999		- 	50.604479		- 	007	034	0000130	 000000000107	0.0000000%
56.431652		- 	50.933127		- 	007	034	0000157	 000000000128	0.0000000%
61.318695		- 	51.191544		- 	007	035	0000180	 000000000150	0.0000000%
56.601221		- 	51.599854		- 	008	033	0000203	 000000000172	0.0000000%
53.274494		- 	51.857100		- 	008	031	0000235	 000000000193	0.0000000%
57.744494		- 	51.894467		- 	009	028	0000253	 000000000216	0.0000000%
58.925811		- 	52.004166		- 	006	035	0000280	 000000000237	0.0000000%
67.684350		- 	52.138671		- 	006	033	0000308	 000000000258	0.0000000%
55.769673		- 	52.309599		- 	007	034	0000330	 000000000280	0.0000000%
58.231074		- 	52.469673		- 	007	037	0000354	 000000000302	0.0000000%
56.328684		- 	52.654490		- 	008	030	0000381	 000000000324	0.0000000%
56.051178		- 	52.748415		- 	006	035	0000408	 000000000346	0.0000000%
60.160275		- 	52.909904		- 	007	029	0000433	 000000000368	0.0000000%
64.652771		- 	53.085102		- 	007	031	0000457	 000000000390	0.0000000%
55.390223		- 	53.143779		- 	008	035	0000483	 000000000412	0.0000000%
68.170794		- 	53.274494		- 	009	032	0000510	 000000000434	0.0000000%
70.770860		- 	53.344061		- 	009	029	0000536	 000000000456	0.0000000%
56.650534		- 	53.366364		- 	009	032	0000554	 000000000479	0.0000000%
67.257885		- 	53.500342		- 	007	035	0000579	 000000000501	0.0000000%
57.189939		- 	53.541092		- 	007	035	0000604	 000000000523	0.0000000%
55.114676		- 	53.681418		- 	008	031	0000634	 000000000544	0.0000000%
57.905109		- 	53.780228		- 	007	033	0000657	 000000000566	0.0000000%
77.064404		- 	53.845930		- 	009	029	0000685	 000000000588	0.0000000%
58.266619		- 	53.861482		- 	010	030	0000706	 000000000611	0.0000000%
60.863919		- 	53.912987		- 	008	031	0000731	 000000000633	0.0000000%
65.738364		- 	53.996867		- 	008	037	0000758	 000000000655	0.0000000%
60.305622		- 	54.062480		- 	007	035	0000782	 000000000677	0.0000000%
56.999622		- 	54.118284		- 	009	032	0000806	 000000000699	0.0000000%
60.346083		- 	54.155623		- 	007	036	0000830	 000000000721	0.0000000%
65.386457		- 	54.185343		- 	009	032	0000858	 000000000743	0.0000000%
55.430837		- 	54.244997		- 	007	035	0000883	 000000000765	0.0000000%
55.588589		- 	54.295863		- 	007	036	0000905	 000000000787	0.0000000%
63.075616		- 	54.343758		- 	009	030	0000932	 000000000809	0.0000000%
72.171817		- 	54.431267		- 	008	031	0000960	 000000000831	0.0000000%
77.682600		- 	54.451430		- 	008	032	0000984	 000000000853	0.0000000%
66.745846		- 	54.501312		- 	010	030	0001011	 000000000875	0.0000000%
56.646617		- 	54.530807		- 	007	034	0001027	 000000000898	0.0000000%
65.764092		- 	54.639259		- 	008	032	0001060	 000000000919	0.0000000%
67.485713		- 	54.656839		- 	009	034	0001079	 000000000942	0.0000000%
61.795473		- 	54.713161		- 	005	037	0001105	 000000000964	0.0000000%
55.713745		- 	54.764111		- 	009	031	0001130	 000000000986	0.0000000%
58.257721		- 	54.795561		- 	009	032	0001159	 000000001008	0.0000000%
56.331475		- 	54.855416		- 	009	035	0001178	 000000001031	0.0000000%
74.901355		- 	54.916194		- 	008	031	0001202	 000000001053	0.0000000%
56.405315		- 	54.960900		- 	008	032	0001228	 000000001075	0.0000000%
66.373165		- 	55.050128		- 	008	035	0001255	 000000001097	0.0000000%
71.181750		- 	55.076677		- 	007	030	0001284	 000000001119	0.0000000%
68.259461		- 	55.114676		- 	009	028	0001310	 000000001141	0.0000000%
68.705703		- 	55.125863		- 	007	032	0001327	 000000001164	0.0000000%
59.411915		- 	55.187265		- 	008	032	0001354	 000000001186	0.0000000%
55.931641		- 	55.235902		- 	009	031	0001380	 000000001208	0.0000000%
66.970652		- 	55.272048		- 	009	033	0001410	 000000001230	0.0000000%
57.591370		- 	55.302314		- 	009	033	0001431	 000000001253	0.0000000%
57.257728		- 	55.362427		- 	007	034	0001456	 000000001275	0.0000000%
60.454961		- 	55.390223		- 	009	033	0001485	 000000001297	0.0000000%
59.617019		- 	55.428216		- 	008	033	0001504	 000000001320	0.0000000%
56.969788		- 	55.485334		- 	006	033	0001530	 000000001342	0.0000000%
57.270179		- 	55.510038		- 	010	028	0001557	 000000001364	0.0000000%
63.721362		- 	55.515091		- 	007	033	0001583	 000000001386	0.0000000%
59.053574		- 	55.582030		- 	008	034	0001610	 000000001408	0.0000000%
67.518870		- 	55.596576		- 	009	032	0001629	 000000001431	0.0000000%
61.505594		- 	55.615767		- 	008	033	0001660	 000000001453	0.0000000%
59.586830		- 	55.665934		- 	009	029	0001679	 000000001476	0.0000000%
56.608831		- 	55.689334		- 	008	030	0001706	 000000001498	0.0000000%
58.997915		- 	55.713745		- 	010	030	0001729	 000000001521	0.0000000%
59.031222		- 	55.740517		- 	006	032	0001752	 000000001543	0.0000000%
68.330526		- 	55.747809		- 	008	034	0001780	 000000001565	0.0000000%
68.313719		- 	55.756235		- 	008	034	0001807	 000000001587	0.0000000%
69.377246		- 	55.768070		- 	011	026	0001836	 000000001609	0.0000000%
64.162569		- 	55.774686		- 	009	029	0001855	 000000001632	0.0000000%
78.965521		- 	55.820022		- 	010	026	0001885	 000000001654	0.0000000%
61.791239		- 	55.880189		- 	008	033	0001910	 000000001676	0.0000000%
59.304321		- 	55.905517		- 	010	030	0001931	 000000001699	0.0000000%
59.253710		- 	55.916101		- 	009	030	0001958	 000000001721	0.0000000%
60.916315		- 	55.931641		- 	010	030	0001979	 000000001744	0.0000000%
