Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-150-1
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 151
Initial Upper Bound: 999.00000000
Average radius size: 0.50000000
Using variable selection rule #1!
Size of the tree: 2.87586528e+262
Raiz: 0 72 79 
Initial root: 0 72 79 
Value of objective function: 3.35913689e+01
SolverStatus: Solved
Solution: 
( 1.32804000e+01, 5.98089000e+00, 0.00000000e+00 )
( 1.04888721e+00, 8.41650427e-01, 0.00000000e+00 )
( 1.55056400e+01, 5.55009820e-01, 0.00000000e+00 )
( 1.32804000e+01, 5.98089000e+00, 0.00000000e+00 )

Not covered in root: 82 15 44 65 3 132 61 20 80 85 150 9 64 104 56 58 105 131 13 144 24 33 120 91 137 74 76 32 126 108 67 49 90 45 100 36 73 43 10 78 51 84 86 96 55 123 89 52 110 46 113 83 16 27 30 22 93 109 25 117 87 53 54 136 139 115 28 21 8 98 116 112 133 97 42 26 149 95 142 124 99 103 66 71 129 128 102 23 111 77 17 119 143 41 70 140 127 118 134 75 59 11 29 88 114 146 101 148 121 125 130 106 107 135 138 147 145 141 122 92 7 19 18 60 14 62 63 1 68 69 2 4 5 6 57 81 12 31 34 35 37 38 39 40 94 47 48 50 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
40.419621		- 	33.591369		- 	002	111	0000004	 000000000002	0.0000000%
64.681448		- 	50.025665		- 	006	097	0000083	 000000000063	0.0000000%
71.658000		- 	51.346431		- 	007	088	0000159	 000000000127	0.0000000%
54.387813		- 	52.146316		- 	005	094	0000230	 000000000192	0.0000000%
55.237173		- 	53.002164		- 	007	086	0000305	 000000000257	0.0000000%
63.695725		- 	53.279924		- 	005	098	0000377	 000000000323	0.0000000%
55.317703		- 	53.521241		- 	006	099	0000457	 000000000388	0.0000000%
57.820172		- 	53.850240		- 	006	092	0000528	 000000000454	0.0000000%
65.986005		- 	54.217385		- 	008	083	0000610	 000000000519	0.0000000%
56.676851		- 	54.390593		- 	009	090	0000678	 000000000586	0.0000000%
59.991029		- 	54.589471		- 	008	090	0000757	 000000000652	0.0000000%
56.747520		- 	54.782272		- 	009	081	0000832	 000000000718	0.0000000%
55.846644		- 	54.870512		- 	006	098	0000904	 000000000785	0.0000000%
59.554964		- 	55.030978		- 	009	089	0000986	 000000000850	0.0000000%
64.878379		- 	55.141277		- 	010	092	0001059	 000000000917	0.0000000%
60.364059		- 	55.244858		- 	006	095	0001131	 000000000984	0.0000000%
62.453393		- 	55.357602		- 	009	097	0001203	 000000001051	0.0000000%
71.334969		- 	55.446893		- 	011	078	0001284	 000000001117	0.0000000%
60.080491		- 	55.533339		- 	006	100	0001354	 000000001183	0.0000000%
56.857353		- 	55.635430		- 	010	080	0001434	 000000001249	0.0000000%
56.720901		- 	55.719945		- 	011	088	0001504	 000000001317	0.0000000%
57.758670		- 	55.802523		- 	008	091	0001583	 000000001383	0.0000000%
70.443575		- 	55.853431		- 	010	080	0001661	 000000001450	0.0000000%
66.996900		- 	55.943440		- 	008	091	0001735	 000000001517	0.0000000%
62.145849		- 	56.073113		- 	009	087	0001807	 000000001584	0.0000000%
59.466733		- 	56.185692		- 	009	085	0001884	 000000001651	0.0000000%
67.613641		- 	56.240152		- 	010	082	0001957	 000000001719	0.0000000%
71.732354		- 	56.287356		- 	009	084	0002031	 000000001786	0.0000000%
70.655060		- 	56.318109		- 	011	078	0002104	 000000001854	0.0000000%
67.477215		- 	56.423755		- 	008	093	0002185	 000000001919	0.0000000%
65.149068		- 	56.455695		- 	007	091	0002252	 000000001986	0.0000000%
60.540513		- 	56.520992		- 	010	082	0002337	 000000002052	0.0000000%
60.869564		- 	56.565937		- 	009	097	0002408	 000000002120	0.0000000%
