Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-150-3
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 151
Initial Upper Bound: 999.00000000
Average radius size: 0.50000000
Using variable selection rule #1!
Size of the tree: 2.87586528e+262
Raiz: 0 74 36 
Initial root: 0 74 36 
Value of objective function: 3.39323660e+01
SolverStatus: Solved
Solution: 
( 4.07448000e+00, 8.33445000e+00, 0.00000000e+00 )
( 1.52716970e+01, 2.00621837e+00, 0.00000000e+00 )
( 2.11024047e+00, 7.36191910e-01, 0.00000000e+00 )
( 4.07448000e+00, 8.33445000e+00, 0.00000000e+00 )

Not covered in root: 73 19 90 119 123 139 56 111 41 57 105 145 24 91 62 58 110 63 84 66 61 107 4 130 116 80 9 39 40 60 7 142 78 76 6 2 18 50 103 137 38 20 25 135 127 147 29 109 53 75 71 46 140 96 10 79 150 52 89 26 98 124 121 23 92 22 51 82 95 27 42 30 102 44 134 45 34 86 117 21 104 83 94 12 133 67 8 69 132 81 68 55 11 33 101 143 77 146 131 13 1 120 126 100 64 37 5 43 70 32 3 141 35 59 15 136 88 14 87 113 149 16 125 148 17 122 144 128 129 118 28 31 115 114 99 112 138 65 72 108 47 106 85 48 49 54 93 97 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
38.262650		- 	33.932366		- 	002	118	0000004	 000000000002	0.0000000%
48.869648		- 	44.943820		- 	007	092	0000077	 000000000064	0.0000000%
52.917982		- 	46.610551		- 	008	096	0000156	 000000000128	0.0000000%
52.422784		- 	47.121285		- 	005	095	0000230	 000000000193	0.0000000%
53.321940		- 	47.890845		- 	006	101	0000305	 000000000259	0.0000000%
54.841835		- 	48.271146		- 	008	096	0000377	 000000000325	0.0000000%
53.705954		- 	48.844061		- 	007	092	0000459	 000000000390	0.0000000%
61.758861		- 	48.964469		- 	008	085	0000527	 000000000457	0.0000000%
55.782836		- 	49.274156		- 	009	086	0000609	 000000000522	0.0000000%
62.055755		- 	49.532645		- 	008	090	0000678	 000000000589	0.0000000%
56.345124		- 	49.638107		- 	007	090	0000753	 000000000655	0.0000000%
64.872322		- 	49.888984		- 	008	089	0000827	 000000000722	0.0000000%
52.255979		- 	50.058085		- 	009	099	0000911	 000000000787	0.0000000%
53.107051		- 	50.132392		- 	010	081	0000981	 000000000855	0.0000000%
64.371824		- 	50.355336		- 	009	091	0001057	 000000000921	0.0000000%
68.628197		- 	50.484789		- 	008	085	0001129	 000000000988	0.0000000%
72.456227		- 	50.619053		- 	006	098	0001205	 000000001054	0.0000000%
70.809770		- 	50.691922		- 	010	086	0001284	 000000001121	0.0000000%
52.210302		- 	50.751545		- 	010	086	0001352	 000000001189	0.0000000%
