Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-150-6
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 151
Initial Upper Bound: 999.00000000
Average radius size: 0.50000000
Using variable selection rule #1!
Size of the tree: 2.87586528e+262
Raiz: 0 97 42 
Initial root: 0 97 42 
Value of objective function: 3.90895951e+01
SolverStatus: Solved
Solution: 
( 8.13402000e-01, 9.35868000e+00, 0.00000000e+00 )
( 1.45643768e+01, 3.96603143e-01, 0.00000000e+00 )
( 7.79008207e-01, 4.68363268e-01, 0.00000000e+00 )
( 8.13402000e-01, 9.35868000e+00, 0.00000000e+00 )

Not covered in root: 114 144 53 4 37 121 60 10 39 46 51 91 138 129 141 73 96 26 59 77 82 1 146 75 33 107 104 139 150 13 31 16 18 145 123 6 128 127 35 70 71 11 12 25 136 101 119 5 103 134 130 147 126 68 32 14 81 55 48 116 86 83 108 115 40 110 8 52 111 120 50 7 24 140 61 95 3 64 94 30 143 113 132 76 58 88 87 142 62 63 84 23 19 112 41 29 22 99 85 98 105 34 36 74 44 79 135 66 133 102 49 27 45 17 72 2 90 78 69 54 56 57 117 118 131 80 67 122 137 124 125 148 149 47 93 65 109 43 38 106 28 21 89 9 100 20 92 15 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
44.458392		- 	39.089595		- 	002	113	0000004	 000000000002	0.0000000%
59.483229		- 	50.378521		- 	005	097	0000082	 000000000063	0.0000000%
54.272604		- 	51.714266		- 	006	097	0000158	 000000000127	0.0000000%
63.582895		- 	52.465654		- 	007	091	0000232	 000000000192	0.0000000%
56.580074		- 	52.997895		- 	007	097	0000307	 000000000257	0.0000000%
58.240160		- 	53.388289		- 	007	098	0000384	 000000000322	0.0000000%
75.205113		- 	53.594386		- 	008	082	0000452	 000000000389	0.0000000%
57.401890		- 	53.798898		- 	007	096	0000529	 000000000454	0.0000000%
69.583544		- 	53.926229		- 	007	093	0000607	 000000000520	0.0000000%
61.049094		- 	54.265730		- 	009	098	0000682	 000000000586	0.0000000%
65.888163		- 	54.498891		- 	009	098	0000758	 000000000652	0.0000000%
58.024645		- 	54.664802		- 	007	094	0000827	 000000000719	0.0000000%
72.698597		- 	54.784032		- 	008	085	0000905	 000000000785	0.0000000%
57.647101		- 	54.864011		- 	008	091	0000979	 000000000851	0.0000000%
57.762245		- 	54.990155		- 	009	090	0001054	 000000000918	0.0000000%
56.990038		- 	55.201536		- 	007	104	0001129	 000000000984	0.0000000%
58.430087		- 	55.250005		- 	009	088	0001209	 000000001050	0.0000000%
56.737739		- 	55.320325		- 	010	097	0001283	 000000001117	0.0000000%
58.215036		- 	55.410314		- 	009	096	0001357	 000000001184	0.0000000%
58.374614		- 	55.473799		- 	009	096	0001430	 000000001250	0.0000000%
64.755269		- 	55.542785		- 	008	091	0001508	 000000001316	0.0000000%
58.890946		- 	55.620564		- 	009	092	0001577	 000000001383	0.0000000%
78.541786		- 	55.681330		- 	009	085	0001652	 000000001449	0.0000000%
71.485912		- 	55.744476		- 	007	087	0001729	 000000001516	0.0000000%
