Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-150-7
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 151
Initial Upper Bound: 999.00000000
Average radius size: 0.50000000
Using variable selection rule #1!
Size of the tree: 2.87586528e+262
Raiz: 0 11 111 
Initial root: 0 11 111 
Value of objective function: 3.55044581e+01
SolverStatus: Solved
Solution: 
( 5.53993000e+00, 9.53075000e+00, 0.00000000e+00 )
( 1.52960387e+01, 5.25556500e-01, 0.00000000e+00 )
( 9.83765101e-01, 3.41462829e+00, 0.00000000e+00 )
( 5.53993000e+00, 9.53075000e+00, 0.00000000e+00 )

Not covered in root: 81 72 34 108 141 115 98 95 106 33 101 9 110 51 4 126 45 48 25 36 88 23 97 27 87 61 73 105 112 59 117 17 146 41 54 14 20 86 96 68 125 114 94 58 30 77 6 46 76 35 26 120 104 139 3 37 130 60 118 56 135 90 52 42 5 8 24 91 62 12 145 13 119 82 74 142 66 22 116 143 28 138 150 7 109 89 44 40 53 57 92 39 103 148 70 63 107 10 83 21 144 75 71 38 64 99 131 78 136 122 100 127 124 29 15 134 43 113 47 49 50 55 132 133 31 121 137 123 140 147 149 18 84 93 80 79 69 67 65 19 32 102 16 128 1 129 2 85 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
40.176261		- 	35.504458		- 	002	110	0000004	 000000000002	0.0000000%
54.049270		- 	48.423035		- 	006	096	0000080	 000000000064	0.0000000%
54.228137		- 	50.052522		- 	007	095	0000158	 000000000128	0.0000000%
58.859153		- 	50.699756		- 	007	088	0000233	 000000000194	0.0000000%
52.124050		- 	51.105001		- 	007	094	0000304	 000000000261	0.0000000%
61.670668		- 	51.450543		- 	008	083	0000383	 000000000326	0.0000000%
55.272329		- 	51.740312		- 	008	081	0000455	 000000000393	0.0000000%
57.218855		- 	52.124050		- 	008	092	0000532	 000000000459	0.0000000%
73.031198		- 	52.400529		- 	009	076	0000603	 000000000525	0.0000000%
70.000913		- 	52.637825		- 	008	085	0000679	 000000000591	0.0000000%
54.309885		- 	52.903532		- 	006	099	0000754	 000000000658	0.0000000%
63.469848		- 	53.051375		- 	009	088	0000835	 000000000724	0.0000000%
64.461784		- 	53.161320		- 	008	093	0000902	 000000000791	0.0000000%
56.583483		- 	53.330752		- 	009	089	0000980	 000000000857	0.0000000%
54.827345		- 	53.447751		- 	009	077	0001058	 000000000924	0.0000000%
60.997152		- 	53.579775		- 	009	083	0001130	 000000000992	0.0000000%
54.623724		- 	53.646139		- 	009	091	0001204	 000000001059	0.0000000%
55.391182		- 	53.789067		- 	009	083	0001282	 000000001126	0.0000000%
56.701459		- 	53.938599		- 	009	100	0001361	 000000001193	0.0000000%
