Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-50-1
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 51
Initial Upper Bound: 999.00000000
Average radius size: 0.50000000
Using variable selection rule #1!
Size of the tree: 1.55175266e+64
Raiz: 0 34 5 
Initial root: 0 34 5 
Value of objective function: 3.20980853e+01
SolverStatus: Solved
Solution: 
( 1.25680000e+01, 5.94815000e+00, 0.00000000e+00 )
( 1.62758366e+00, 1.38295061e-01, 0.00000000e+00 )
( 1.55272439e+01, 9.76389499e-01, 0.00000000e+00 )
( 1.25680000e+01, 5.94815000e+00, 0.00000000e+00 )

Not covered in root: 45 8 49 32 9 47 18 30 10 21 7 35 26 42 41 23 22 2 19 29 27 50 3 24 33 12 13 1 46 44 40 14 39 43 15 38 37 4 28 48 25 16 20 17 36 6 31 11 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
38.524523		- 	32.098085		- 	002	039	0000004	 000000000002	0.0000000%
50.919716		- 	45.417612		- 	005	032	0000028	 000000000022	0.0000000%
53.992383		- 	46.461767		- 	006	028	0000054	 000000000043	0.0000000%
51.447475		- 	47.742257		- 	007	030	0000079	 000000000064	0.0000000%
54.346777		- 	48.142867		- 	008	024	0000107	 000000000085	0.0000000%
57.060768		- 	48.363832		- 	007	031	0000127	 000000000107	0.0000000%
51.004543		- 	48.775485		- 	006	033	0000155	 000000000128	0.0000000%
58.105594		- 	49.205854		- 	005	030	0000180	 000000000150	0.0000000%
59.721491		- 	49.442013		- 	008	029	0000202	 000000000172	0.0000000%
55.660798		- 	49.575674		- 	006	029	0000232	 000000000193	0.0000000%
56.146217		- 	49.853140		- 	008	029	0000257	 000000000215	0.0000000%
63.743795		- 	50.043861		- 	005	027	0000277	 000000000237	0.0000000%
51.435938		- 	50.315092		- 	009	028	0000304	 000000000259	0.0000000%
63.849785		- 	50.417336		- 	008	022	0000335	 000000000280	0.0000000%
59.312547		- 	50.477280		- 	008	029	0000354	 000000000303	0.0000000%
56.383232		- 	50.497227		- 	006	031	0000377	 000000000325	0.0000000%
67.085151		- 	50.555887		- 	009	028	0000409	 000000000347	0.0000000%
54.937479		- 	50.657401		- 	006	031	0000433	 000000000369	0.0000000%
55.370403		- 	50.800866		- 	007	030	0000457	 000000000391	0.0000000%
58.081372		- 	50.805378		- 	010	023	0000483	 000000000413	0.0000000%
54.570580		- 	50.847922		- 	006	030	0000507	 000000000435	0.0000000%
70.272886		- 	50.956989		- 	010	026	0000534	 000000000457	0.0000000%
51.965386		- 	51.023104		- 	005	032	0000557	 000000000479	0.0000000%
53.069603		- 	51.115530		- 	008	029	0000585	 000000000501	0.0000000%
65.378901		- 	51.146708		- 	010	027	0000607	 000000000524	0.0000000%
55.868996		- 	51.296959		- 	010	031	0000636	 000000000546	0.0000000%
63.286851		- 	51.435938		- 	010	025	0000659	 000000000568	0.0000000%
53.886063		- 	51.453704		- 	010	025	0000679	 000000000591	0.0000000%
62.590758		- 	51.541587		- 	007	032	0000702	 000000000613	0.0000000%
52.674024		- 	51.558590		- 	008	030	0000729	 000000000635	0.0000000%
54.659444		- 	51.569586		- 	010	027	0000752	 000000000658	0.0000000%
52.785032		- 	51.575907		- 	011	025	0000780	 000000000680	0.0000000%
67.020870		- 	51.707128		- 	007	029	0000806	 000000000702	0.0000000%
60.245086		- 	51.743203		- 	009	027	0000835	 000000000724	0.0000000%
61.551680		- 	51.774982		- 	006	032	0000854	 000000000747	0.0000000%
62.631010		- 	51.832523		- 	006	023	0000881	 000000000769	0.0000000%
52.459139		- 	51.846911		- 	010	028	0000910	 000000000791	0.0000000%
66.740551		- 	51.898129		- 	007	023	0000928	 000000000814	0.0000000%
69.057284		- 	51.917861		- 	011	024	0000957	 000000000836	0.0000000%
65.388945		- 	51.956494		- 	008	022	0000985	 000000000858	0.0000000%
69.763083		- 	52.035617		- 	008	027	0001007	 000000000880	0.0000000%
59.224794		- 	52.048130		- 	010	025	0001034	 000000000902	0.0000000%
56.071055		- 	52.066173		- 	009	026	0001056	 000000000925	0.0000000%
66.876731		- 	52.132554		- 	009	025	0001083	 000000000947	0.0000000%
59.811809		- 	52.140739		- 	008	027	0001104	 000000000970	0.0000000%
