Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-50-5
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 51
Initial Upper Bound: 999.00000000
Average radius size: 0.50000000
Using variable selection rule #1!
Size of the tree: 1.55175266e+64
Raiz: 0 7 13 
Initial root: 0 7 13 
Value of objective function: 3.59302080e+01
SolverStatus: Solved
Solution: 
( 5.74402000e+00, 8.41569000e+00, 0.00000000e+00 )
( 1.50546750e+01, 3.53426679e-01, 0.00000000e+00 )
( 6.48601360e-01, 7.52713481e-01, 0.00000000e+00 )
( 5.74402000e+00, 8.41569000e+00, 0.00000000e+00 )

Not covered in root: 49 10 28 20 35 21 5 38 23 41 14 22 19 2 12 18 8 29 44 42 36 17 1 50 46 31 4 34 47 6 15 26 27 16 39 25 24 48 30 45 43 32 40 3 37 9 11 33 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
39.701303		- 	35.930208		- 	002	030	0000004	 000000000002	0.0000000%
53.060175		- 	44.044886		- 	004	027	0000028	 000000000022	0.0000000%
48.796708		- 	46.119098		- 	006	026	0000058	 000000000042	0.0000000%
49.768157		- 	46.593812		- 	006	026	0000079	 000000000064	0.0000000%
59.720486		- 	47.035191		- 	007	018	0000108	 000000000085	0.0000000%
63.738932		- 	47.406759		- 	008	024	0000134	 000000000107	0.0000000%
60.904082		- 	47.648241		- 	006	026	0000157	 000000000129	0.0000000%
48.804859		- 	47.903624		- 	006	027	0000178	 000000000151	0.0000000%
56.801422		- 	48.180483		- 	007	023	0000204	 000000000173	0.0000000%
60.132000		- 	48.413341		- 	009	026	0000227	 000000000195	0.0000000%
52.632790		- 	48.524439		- 	008	025	0000259	 000000000216	0.0000000%
53.032459		- 	48.598130		- 	009	025	0000284	 000000000238	0.0000000%
58.170838		- 	48.659087		- 	008	028	0000307	 000000000260	0.0000000%
56.195548		- 	48.732940		- 	010	023	0000328	 000000000283	0.0000000%
52.237724		- 	48.804859		- 	007	022	0000352	 000000000305	0.0000000%
54.684256		- 	48.881764		- 	009	022	0000379	 000000000327	0.0000000%
55.269200		- 	49.039503		- 	008	023	0000407	 000000000349	0.0000000%
54.325182		- 	49.094867		- 	004	025	0000430	 000000000371	0.0000000%
54.448828		- 	49.144049		- 	009	025	0000457	 000000000393	0.0000000%
52.664762		- 	49.238874		- 	008	022	0000477	 000000000416	0.0000000%
50.400380		- 	49.291716		- 	005	027	0000506	 000000000437	0.0000000%
56.291884		- 	49.352113		- 	011	024	0000535	 000000000459	0.0000000%
58.349562		- 	49.368108		- 	009	018	0000554	 000000000482	0.0000000%
50.263535		- 	49.465503		- 	009	023	0000585	 000000000504	0.0000000%
52.281123		- 	49.518108		- 	009	021	0000604	 000000000527	0.0000000%
57.697643		- 	49.644610		- 	009	021	0000631	 000000000549	0.0000000%
50.021734		- 	49.725575		- 	009	023	0000660	 000000000571	0.0000000%
50.436587		- 	49.775693		- 	009	023	0000685	 000000000593	0.0000000%
52.401327		- 	49.781053		- 	006	024	0000704	 000000000616	0.0000000%
61.720718		- 	49.809284		- 	009	016	0000732	 000000000638	0.0000000%
60.277480		- 	49.841442		- 	008	019	0000752	 000000000661	0.0000000%
62.283475		- 	49.859785		- 	009	021	0000781	 000000000683	0.0000000%
51.908821		- 	49.887375		- 	011	024	0000813	 000000000705	0.0000000%
60.780317		- 	49.938662		- 	010	021	0000831	 000000000728	0.0000000%
54.845178		- 	49.956576		- 	009	021	0000860	 000000000750	0.0000000%
58.557219		- 	49.965767		- 	007	024	0000879	 000000000773	0.0000000%
57.965790		- 	50.021734		- 	010	018	0000907	 000000000795	0.0000000%
58.750138		- 	50.055783		- 	010	016	0000929	 000000000818	0.0000000%
51.479196		- 	50.070130		- 	012	021	0000954	 000000000841	0.0000000%
51.577062		- 	50.120346		- 	010	021	0000987	 000000000863	0.0000000%
57.659500		- 	50.140069		- 	008	022	0001007	 000000000886	0.0000000%
62.563891		- 	50.152855		- 	009	013	0001027	 000000000909	0.0000000%
54.148519		- 	50.200343		- 	007	025	0001055	 000000000931	0.0000000%
51.443256		- 	50.263535		- 	010	022	0001077	 000000000954	0.0000000%
60.084746		- 	50.277792		- 	008	020	0001105	 000000000976	0.0000000%
53.780323		- 	50.322694		- 	009	022	0001134	 000000000998	0.0000000%
63.474866		- 	50.331180		- 	009	020	0001154	 000000001021	0.0000000%
56.752751		- 	50.365631		- 	007	020	0001184	 000000001043	0.0000000%
62.398350		- 	50.380171		- 	010	020	0001205	 000000001066	0.0000000%
53.474059		- 	50.416015		- 	010	019	0001229	 000000001088	0.0000000%
65.352937		- 	50.432177		- 	011	019	0001259	 000000001110	0.0000000%
69.813555		- 	50.436587		- 	010	020	0001279	 000000001133	0.0000000%
55.033482		- 	50.466356		- 	009	024	0001309	 000000001155	0.0000000%
57.849084		- 	50.474591		- 	009	018	0001328	 000000001178	0.0000000%
62.573713		- 	50.480572		- 	013	019	0001362	 000000001200	0.0000000%
58.063666		- 	50.483204		- 	010	021	0001385	 000000001223	0.0000000%
73.276861		- 	50.499112		- 	012	019	0001409	 000000001246	0.0000000%
52.121225		- 	50.502371		- 	008	024	0001429	 000000001269	0.0000000%
53.485719		- 	50.527687		- 	012	020	0001454	 000000001292	0.0000000%
60.681240		- 	50.543646		- 	009	021	0001486	 000000001314	0.0000000%
61.070156		- 	50.556405		- 	007	022	0001502	 000000001337	0.0000000%
58.332067		- 	50.592964		- 	007	024	0001530	 000000001359	0.0000000%
51.296680		- 	50.605394		- 	012	022	0001553	 000000001382	0.0000000%
50.906041		- 	50.611545		- 	011	019	0001585	 000000001404	0.0000000%
65.366237		- 	50.621946		- 	006	023	0001603	 000000001427	0.0000000%
58.205330		- 	50.642876		- 	010	022	0001634	 000000001449	0.0000000%
62.381737		- 	50.648017		- 	011	018	0001652	 000000001472	0.0000000%
57.530218		- 	50.682887		- 	004	024	0001681	 000000001494	0.0000000%
54.682692		- 	50.692475		- 	010	018	0001711	 000000001516	0.0000000%
57.264992		- 	50.714119		- 	011	025	0001735	 000000001539	0.0000000%
56.668387		- 	50.739261		- 	011	021	0001757	 000000001562	0.0000000%
51.394287		- 	50.748317		- 	010	021	0001787	 000000001584	0.0000000%
53.725619		- 	50.756501		- 	008	025	0001808	 000000001607	0.0000000%
67.676635		- 	50.761416		- 	013	017	0001834	 000000001630	0.0000000%
59.810945		- 	50.763959		- 	011	018	0001857	 000000001653	0.0000000%
52.522074		- 	50.793036		- 	007	022	0001881	 000000001675	0.0000000%
62.522924		- 	50.807176		- 	010	014	0001902	 000000001698	0.0000000%
71.084531		- 	50.808929		- 	012	018	0001934	 000000001720	0.0000000%
60.740609		- 	50.832293		- 	011	016	0001958	 000000001743	0.0000000%
58.925740		- 	50.836974		- 	011	022	0001982	 000000001766	0.0000000%
52.266805		- 	50.846210		- 	011	017	0002012	 000000001788	0.0000000%
58.169529		- 	50.852008		- 	010	020	0002036	 000000001811	0.0000000%
54.306488		- 	50.873580		- 	006	025	0002052	 000000001834	0.0000000%
53.774579		- 	50.898723		- 	007	024	0002079	 000000001856	0.0000000%
55.183580		- 	50.909554		- 	013	017	0002106	 000000001879	0.0000000%
52.112819		- 	50.927361		- 	008	019	0002135	 000000001901	0.0000000%
63.091138		- 	50.946567		- 	009	020	0002156	 000000001924	0.0000000%
61.004753		- 	50.953616		- 	008	022	0002178	 000000001947	0.0000000%
55.713997		- 	50.962663		- 	012	020	0002214	 000000001969	0.0000000%
63.268183		- 	50.972177		- 	007	021	0002233	 000000001992	0.0000000%
51.278194		- 	50.984931		- 	009	021	0002256	 000000002015	0.0000000%
72.526296		- 	50.992110		- 	010	017	0002277	 000000002038	0.0000000%
51.645668		- 	50.999696		- 	007	022	0002309	 000000002060	0.0000000%
51.270244		- 	51.001923		- 	011	016	0002331	 000000002083	0.0000000%
65.255910		- 	51.008286		- 	010	019	0002355	 000000002106	0.0000000%
57.355673		- 	51.013444		- 	010	022	0002380	 000000002129	0.0000000%
55.751482		- 	51.027910		- 	007	025	0002402	 000000002152	0.0000000%
55.858913		- 	51.037677		- 	008	023	0002433	 000000002174	0.0000000%
60.967219		- 	51.039913		- 	012	021	0002458	 000000002197	0.0000000%
61.481081		- 	51.045040		- 	008	020	0002477	 000000002220	0.0000000%
54.655724		- 	51.064930		- 	013	019	0002514	 000000002242	0.0000000%
55.972026		- 	51.081101		- 	007	024	0002530	 000000002265	0.0000000%
64.095717		- 	51.090503		- 	010	022	0002554	 000000002288	0.0000000%
51.338680		- 	51.099235		- 	014	018	0002587	 000000002310	0.0000000%
64.237762		- 	51.100715		- 	011	013	0002611	 000000002333	0.0000000%
56.309748		- 	51.102297		- 	011	022	0002634	 000000002356	0.0000000%
64.517237		- 	51.110382		- 	012	020	0002660	 000000002379	0.0000000%
54.272542		- 	51.114510		- 	010	021	0002683	 000000002402	0.0000000%
64.794655		- 	51.120066		- 	011	019	0002704	 000000002425	0.0000000%
74.273645		- 	51.129404		- 	010	020	0002734	 000000002447	0.0000000%
56.428787		- 	51.146349		- 	013	019	0002759	 000000002470	0.0000000%
62.109781		- 	51.151203		- 	009	023	0002780	 000000002493	0.0000000%
66.947085		- 	51.165455		- 	012	020	0002810	 000000002515	0.0000000%
62.139928		- 	51.172632		- 	011	021	0002832	 000000002538	0.0000000%
54.221661		- 	51.177765		- 	010	020	0002855	 000000002561	0.0000000%
54.983051		- 	51.184392		- 	012	019	0002882	 000000002584	0.0000000%
67.633595		- 	51.188482		- 	009	020	0002904	 000000002607	0.0000000%
64.196635		- 	51.191444		- 	010	022	0002929	 000000002630	0.0000000%
51.610470		- 	51.200029		- 	012	020	0002952	 000000002653	0.0000000%
53.435588		- 	51.229501		- 	010	015	0002987	 000000002675	0.0000000%
67.825903		- 	51.231717		- 	012	019	0003011	 000000002698	0.0000000%
59.102475		- 	51.241775		- 	011	020	0003036	 000000002721	0.0000000%
59.177349		- 	51.246492		- 	009	022	0003056	 000000002744	0.0000000%
57.406688		- 	51.268191		- 	011	019	0003087	 000000002766	0.0000000%
53.518707		- 	51.271673		- 	012	020	0003113	 000000002789	0.0000000%
58.483287		- 	51.278194		- 	010	020	0003135	 000000002812	0.0000000%
57.786414		- 	51.285186		- 	011	018	0003156	 000000002835	0.0000000%
51.754793		- 	51.290039		- 	013	019	0003182	 000000002858	0.0000000%
58.927527		- 	51.295383		- 	010	024	0003205	 000000002881	0.0000000%
54.397856		- 	51.296956		- 	007	024	0003227	 000000002904	0.0000000%
57.271607		- 	51.304841		- 	013	019	0003264	 000000002926	0.0000000%
52.842561		- 	51.306110		- 	013	016	0003278	 000000002950	0.0000000%
51.680370		- 	51.311309		- 	013	016	0003314	 000000002972	0.0000000%
64.956585		- 	51.319530		- 	007	022	0003332	 000000002995	0.0000000%
65.400340		- 	51.325499		- 	012	017	0003358	 000000003018	0.0000000%
63.180396		- 	51.327184		- 	009	020	0003382	 000000003041	0.0000000%
77.494667		- 	51.330306		- 	012	017	0003403	 000000003064	0.0000000%
54.028791		- 	51.338680		- 	015	017	0003428	 000000003087	0.0000000%
52.524775		- 	51.345013		- 	009	019	0003452	 000000003110	0.0000000%
67.201176		- 	51.350370		- 	011	022	0003486	 000000003132	0.0000000%
64.218067		- 	51.355186		- 	010	017	0003507	 000000003155	0.0000000%
