Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-50-8
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 51
Initial Upper Bound: 999.00000000
Average radius size: 0.50000000
Using variable selection rule #1!
Size of the tree: 1.55175266e+64
Raiz: 0 22 35 
Initial root: 0 22 35 
Value of objective function: 3.02165234e+01
SolverStatus: Solved
Solution: 
( 9.63971000e+00, 1.55030000e+00, 0.00000000e+00 )
( 3.19540194e+00, 8.99766115e+00, 0.00000000e+00 )
( 1.50858835e+01, 7.99156378e+00, 0.00000000e+00 )
( 9.63971000e+00, 1.55030000e+00, 0.00000000e+00 )

Not covered in root: 50 36 27 48 40 2 38 26 6 42 4 37 24 43 32 16 13 34 9 28 11 1 44 21 29 25 20 46 45 10 17 3 39 8 5 31 15 49 14 30 18 19 7 23 12 33 41 47 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
36.435541		- 	30.216523		- 	002	033	0000004	 000000000002	0.0000000%
47.820949		- 	41.195779		- 	005	034	0000029	 000000000022	0.0000000%
49.396318		- 	42.560309		- 	005	024	0000054	 000000000043	0.0000000%
50.712379		- 	43.329545		- 	007	027	0000083	 000000000064	0.0000000%
46.310236		- 	43.977825		- 	007	029	0000104	 000000000086	0.0000000%
54.142462		- 	44.382709		- 	005	025	0000128	 000000000108	0.0000000%
48.825366		- 	44.620600		- 	009	020	0000154	 000000000130	0.0000000%
47.833997		- 	44.963605		- 	007	028	0000182	 000000000151	0.0000000%
46.602368		- 	45.210565		- 	006	023	0000207	 000000000173	0.0000000%
50.071086		- 	45.405689		- 	006	030	0000229	 000000000195	0.0000000%
54.880180		- 	45.480370		- 	007	024	0000257	 000000000216	0.0000000%
54.977751		- 	45.610601		- 	008	028	0000285	 000000000238	0.0000000%
64.122784		- 	45.737037		- 	009	024	0000307	 000000000260	0.0000000%
58.295474		- 	46.196095		- 	009	024	0000327	 000000000283	0.0000000%
50.706740		- 	46.229792		- 	007	025	0000357	 000000000305	0.0000000%
54.855231		- 	46.330453		- 	010	019	0000387	 000000000327	0.0000000%
59.356420		- 	46.369987		- 	008	021	0000404	 000000000350	0.0000000%
53.834079		- 	46.418059		- 	006	025	0000427	 000000000372	0.0000000%
52.312317		- 	46.535630		- 	006	021	0000454	 000000000394	0.0000000%
59.165417		- 	46.602368		- 	007	022	0000477	 000000000416	0.0000000%
67.104769		- 	46.772582		- 	004	024	0000505	 000000000437	0.0000000%
54.994567		- 	46.960221		- 	011	019	0000535	 000000000459	0.0000000%
47.758518		- 	46.992924		- 	008	022	0000552	 000000000482	0.0000000%
53.610581		- 	47.031636		- 	008	021	0000578	 000000000504	0.0000000%
52.223746		- 	47.078602		- 	006	028	0000603	 000000000526	0.0000000%
54.387964		- 	47.130699		- 	011	021	0000633	 000000000548	0.0000000%
62.973191		- 	47.156134		- 	007	022	0000658	 000000000570	0.0000000%
49.849240		- 	47.191512		- 	009	022	0000686	 000000000592	0.0000000%
48.909530		- 	47.274110		- 	009	029	0000704	 000000000615	0.0000000%
65.960423		- 	47.400246		- 	009	018	0000735	 000000000637	0.0000000%
60.432982		- 	47.502153		- 	009	023	0000759	 000000000659	0.0000000%
48.275085		- 	47.509319		- 	009	022	0000777	 000000000682	0.0000000%
