Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-100-3
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 101
Initial Upper Bound: 999.00000000
Average radius size: 1.00000000
Using variable selection rule #1!
Size of the tree: 4.71345008e+157
Raiz: 0 13 34 
Initial root: 0 13 34 
Value of objective function: 3.10079952e+01
SolverStatus: Solved
Solution: 
( 8.14944000e+00, 2.53612000e+00, 0.00000000e+00 )
( 1.39675864e+00, 8.82386965e+00, 0.00000000e+00 )
( 1.45735237e+01, 8.24095512e+00, 0.00000000e+00 )
( 8.14944000e+00, 2.53612000e+00, 0.00000000e+00 )

Not covered in root: 37 97 36 15 40 88 58 64 85 16 19 52 26 77 93 56 54 21 41 78 89 71 65 7 98 1 63 76 70 29 44 57 8 94 43 80 50 32 17 11 25 75 6 91 5 96 39 31 55 68 4 2 73 81 82 3 95 35 59 100 33 53 42 51 49 38 48 47 46 45 62 99 92 90 87 86 84 83 79 74 72 69 67 66 12 28 27 24 23 22 20 18 30 60 14 61 9 10 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
36.604114		- 	31.007995		- 	002	055	0000004	 000000000002	0.0000000%
44.224086		- 	43.538810		- 	006	032	0000057	 000000000043	0.0000000%
45.928280		- 	44.031768		- 	004	036	0000104	 000000000086	0.0000000%
54.669728		- 	44.284742		- 	007	034	0000154	 000000000130	0.0000000%
48.574137		- 	44.551175		- 	009	036	0000203	 000000000174	0.0000000%
61.026020		- 	44.911218		- 	008	027	0000253	 000000000218	0.0000000%
51.182262		- 	45.097244		- 	006	034	0000302	 000000000262	0.0000000%
48.709970		- 	45.349367		- 	010	034	0000358	 000000000306	0.0000000%
46.545703		- 	45.491143		- 	009	038	0000403	 000000000351	0.0000000%
55.705242		- 	45.744152		- 	009	021	0000459	 000000000395	0.0000000%
48.930642		- 	45.797333		- 	007	038	0000505	 000000000440	0.0000000%
54.085166		- 	45.949123		- 	010	023	0000556	 000000000484	0.0000000%
56.075769		- 	46.037060		- 	010	019	0000610	 000000000529	0.0000000%
56.803195		- 	46.113931		- 	010	030	0000658	 000000000574	0.0000000%
56.349366		- 	46.154698		- 	007	039	0000703	 000000000619	0.0000000%
47.121158		- 	46.202646		- 	010	024	0000758	 000000000664	0.0000000%
50.151136		- 	46.254581		- 	011	028	0000806	 000000000709	0.0000000%
67.736567		- 	46.316759		- 	005	029	0000853	 000000000754	0.0000000%
59.200016		- 	46.379454		- 	008	019	0000902	 000000000799	0.0000000%
47.398222		- 	46.416337		- 	008	029	0000952	 000000000844	0.0000000%
53.273068		- 	46.475341		- 	008	028	0001008	 000000000888	0.0000000%
53.568139		- 	46.584100		- 	008	027	0001057	 000000000933	0.0000000%
55.006814		- 	46.604022		- 	008	041	0001105	 000000000978	0.0000000%
63.584288		- 	46.653870		- 	011	031	0001163	 000000001022	0.0000000%
55.175979		- 	46.663737		- 	010	029	0001203	 000000001068	0.0000000%
58.523690		- 	46.709190		- 	010	031	0001260	 000000001113	0.0000000%
50.215337		- 	46.731994		- 	010	021	0001312	 000000001158	0.0000000%
49.908544		- 	46.749738		- 	010	030	0001354	 000000001204	0.0000000%
62.773320		- 	46.783841		- 	008	029	0001404	 000000001249	0.0000000%
61.110596		- 	46.794656		- 	011	019	0001452	 000000001295	0.0000000%
48.510679		- 	46.841919		- 	009	038	0001504	 000000001340	0.0000000%
59.488758		- 	46.891096		- 	009	029	0001559	 000000001385	0.0000000%
50.586071		- 	46.906882		- 	011	031	0001609	 000000001430	0.0000000%
47.794110		- 	46.948738		- 	010	025	0001662	 000000001475	0.0000000%
48.275020		- 	46.964418		- 	011	038	0001707	 000000001521	0.0000000%
59.778124		- 	47.012743		- 	009	032	0001760	 000000001566	0.0000000%
47.664026		- 	47.029248		- 	007	035	0001808	 000000001611	0.0000000%
71.988930		- 	47.054469		- 	012	027	0001861	 000000001656	0.0000000%
50.761317		- 	47.065299		- 	008	031	0001904	 000000001702	0.0000000%
59.444966		- 	47.099807		- 	010	029	0001959	 000000001747	0.0000000%
53.537157		- 	47.136238		- 	011	023	0002013	 000000001792	0.0000000%
55.826005		- 	47.160024		- 	011	024	0002053	 000000001838	0.0000000%
53.942610		- 	47.190928		- 	008	026	0002107	 000000001883	0.0000000%
48.597676		- 	47.270975		- 	010	025	0002160	 000000001928	0.0000000%
60.325490		- 	47.304008		- 	009	027	0002209	 000000001973	0.0000000%
53.808236		- 	47.316409		- 	010	035	0002261	 000000002018	0.0000000%
59.043871		- 	47.340810		- 	012	026	0002306	 000000002064	0.0000000%
54.854954		- 	47.352107		- 	009	030	0002353	 000000002110	0.0000000%
48.953451		- 	47.368638		- 	011	033	0002403	 000000002155	0.0000000%
57.892864		- 	47.396506		- 	011	026	0002462	 000000002200	0.0000000%
63.192164		- 	47.417584		- 	009	023	0002509	 000000002245	0.0000000%
62.561823		- 	47.448562		- 	012	024	0002562	 000000002290	0.0000000%
