Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-100-5
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 101
Initial Upper Bound: 999.00000000
Average radius size: 1.00000000
Using variable selection rule #1!
Size of the tree: 4.71345008e+157
Raiz: 0 70 4 
Initial root: 0 70 4 
Value of objective function: 3.53944471e+01
SolverStatus: Solved
Solution: 
( 2.81423000e-01, 7.53215000e+00, 0.00000000e+00 )
( 1.43823248e+01, 1.89784417e+00, 0.00000000e+00 )
( 1.32369126e+01, 8.97930303e+00, 0.00000000e+00 )
( 2.81423000e-01, 7.53215000e+00, 0.00000000e+00 )

Not covered in root: 25 76 47 14 28 49 55 50 32 97 18 58 64 57 37 74 67 82 71 7 99 84 43 2 8 20 93 92 23 94 22 27 10 6 24 68 34 60 100 15 17 3 66 83 16 12 73 42 41 9 96 69 19 61 89 45 53 54 90 39 40 85 86 87 44 46 88 48 81 51 52 91 56 95 98 59 77 30 1 26 29 62 5 63 65 72 75 38 11 78 13 31 79 33 80 35 36 21 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
38.622356		- 	35.394447		- 	002	050	0000004	 000000000002	0.0000000%
44.064544		- 	41.617516		- 	006	038	0000056	 000000000043	0.0000000%
51.617538		- 	42.376767		- 	007	034	0000105	 000000000086	0.0000000%
55.001274		- 	43.089994		- 	004	045	0000155	 000000000129	0.0000000%
44.213878		- 	43.461552		- 	007	038	0000203	 000000000173	0.0000000%
47.976674		- 	43.853711		- 	007	040	0000255	 000000000217	0.0000000%
49.632209		- 	43.995112		- 	007	037	0000306	 000000000261	0.0000000%
47.840544		- 	44.101060		- 	010	036	0000353	 000000000306	0.0000000%
58.849455		- 	44.202117		- 	008	037	0000410	 000000000349	0.0000000%
45.459031		- 	44.322312		- 	007	041	0000453	 000000000394	0.0000000%
47.229886		- 	44.412975		- 	009	038	0000509	 000000000438	0.0000000%
46.256031		- 	44.581020		- 	007	036	0000558	 000000000483	0.0000000%
45.433521		- 	44.683608		- 	010	030	0000604	 000000000528	0.0000000%
48.540341		- 	44.713807		- 	007	035	0000652	 000000000573	0.0000000%
48.071584		- 	44.836160		- 	009	035	0000707	 000000000617	0.0000000%
47.712997		- 	44.860934		- 	008	030	0000752	 000000000662	0.0000000%
50.179880		- 	45.001966		- 	009	034	0000802	 000000000707	0.0000000%
49.138553		- 	45.088518		- 	009	030	0000857	 000000000752	0.0000000%
48.372636		- 	45.137120		- 	009	033	0000906	 000000000797	0.0000000%
46.414134		- 	45.197862		- 	008	033	0000957	 000000000842	0.0000000%
45.704503		- 	45.220089		- 	010	037	0001003	 000000000888	0.0000000%
61.759598		- 	45.291022		- 	012	018	0001062	 000000000932	0.0000000%
48.724308		- 	45.321187		- 	011	035	0001106	 000000000978	0.0000000%
46.285836		- 	45.339530		- 	012	030	0001154	 000000001024	0.0000000%
52.195996		- 	45.385657		- 	009	036	0001206	 000000001069	0.0000000%
55.547502		- 	45.430608		- 	009	027	0001254	 000000001114	0.0000000%
47.694495		- 	45.459031		- 	008	035	0001307	 000000001159	0.0000000%
49.636611		- 	45.470273		- 	010	025	0001354	 000000001205	0.0000000%
54.858810		- 	45.511812		- 	013	022	0001413	 000000001249	0.0000000%
53.267860		- 	45.536062		- 	012	032	0001454	 000000001295	0.0000000%
48.907097		- 	45.561616		- 	009	037	0001506	 000000001340	0.0000000%
52.878071		- 	45.587109		- 	010	029	0001554	 000000001385	0.0000000%
49.023974		- 	45.597488		- 	010	032	0001609	 000000001430	0.0000000%
52.670926		- 	45.618747		- 	009	028	0001659	 000000001475	0.0000000%
46.132830		- 	45.626678		- 	010	029	0001703	 000000001521	0.0000000%
48.003014		- 	45.676698		- 	011	030	0001755	 000000001566	0.0000000%
58.962753		- 	45.689652		- 	009	030	0001805	 000000001611	0.0000000%
55.424133		- 	45.712608		- 	010	026	0001862	 000000001656	0.0000000%
54.787177		- 	45.724111		- 	011	024	0001906	 000000001702	0.0000000%
46.292136		- 	45.743256		- 	008	038	0001956	 000000001747	0.0000000%
48.455824		- 	45.796856		- 	008	040	0002007	 000000001792	0.0000000%
50.606935		- 	45.816192		- 	007	050	0002058	 000000001837	0.0000000%
56.281372		- 	45.822767		- 	007	033	0002106	 000000001882	0.0000000%
50.105612		- 	45.845083		- 	013	029	0002162	 000000001927	0.0000000%
47.082037		- 	45.854425		- 	012	025	0002211	 000000001973	0.0000000%
52.509160		- 	45.871692		- 	009	031	0002254	 000000002019	0.0000000%
48.553733		- 	45.899924		- 	013	025	0002315	 000000002064	0.0000000%
62.397865		- 	45.911320		- 	012	026	0002358	 000000002110	0.0000000%
56.797593		- 	45.931924		- 	012	028	0002409	 000000002156	0.0000000%
50.230050		- 	45.955181		- 	007	036	0002455	 000000002201	0.0000000%
49.982775		- 	45.975291		- 	010	029	0002508	 000000002246	0.0000000%
55.613408		- 	46.004714		- 	011	033	0002554	 000000002292	0.0000000%
58.601388		- 	46.027948		- 	010	031	0002611	 000000002337	0.0000000%
55.354249		- 	46.040455		- 	010	030	0002652	 000000002383	0.0000000%
57.338289		- 	46.062547		- 	008	032	0002703	 000000002428	0.0000000%
49.368085		- 	46.090335		- 	012	029	0002760	 000000002473	0.0000000%
48.649056		- 	46.131488		- 	011	032	0002808	 000000002519	0.0000000%
60.331337		- 	46.133821		- 	014	023	0002858	 000000002565	0.0000000%
63.150764		- 	46.142773		- 	009	024	0002910	 000000002610	0.0000000%
55.177529		- 	46.149666		- 	010	032	0002958	 000000002656	0.0000000%
54.690562		- 	46.158455		- 	008	032	0003007	 000000002701	0.0000000%
47.573628		- 	46.185474		- 	009	040	0003059	 000000002746	0.0000000%
51.252812		- 	46.210056		- 	014	027	0003108	 000000002792	0.0000000%
46.974394		- 	46.220805		- 	010	037	0003154	 000000002838	0.0000000%
54.183724		- 	46.224780		- 	011	032	0003206	 000000002884	0.0000000%
56.524438		- 	46.233821		- 	009	039	0003260	 000000002929	0.0000000%
53.493372		- 	46.247508		- 	012	023	0003312	 000000002975	0.0000000%
50.081535		- 	46.259800		- 	008	032	0003356	 000000003021	0.0000000%
55.205174		- 	46.269730		- 	009	028	0003410	 000000003066	0.0000000%
46.587660		- 	46.276588		- 	011	029	0003462	 000000003111	0.0000000%
63.925076		- 	46.287785		- 	014	025	0003515	 000000003157	0.0000000%
55.223099		- 	46.292136		- 	009	032	0003553	 000000003204	0.0000000%
60.476754		- 	46.299182		- 	014	027	0003609	 000000003250	0.0000000%
49.366721		- 	46.305271		- 	008	030	0003656	 000000003296	0.0000000%
57.457305		- 	46.307977		- 	013	025	0003704	 000000003342	0.0000000%
48.353060		- 	46.319323		- 	010	035	0003762	 000000003387	0.0000000%
54.187180		- 	46.332900		- 	013	025	0003809	 000000003433	0.0000000%
51.529900		- 	46.344404		- 	009	037	0003852	 000000003479	0.0000000%
54.020302		- 	46.349164		- 	012	032	0003902	 000000003525	0.0000000%
47.521176		- 	46.362399		- 	011	032	0003962	 000000003570	0.0000000%
46.929298		- 	46.368006		- 	008	036	0004007	 000000003616	0.0000000%
63.802635		- 	46.372700		- 	009	024	0004056	 000000003661	0.0000000%
57.214806		- 	46.375961		- 	010	028	0004102	 000000003707	0.0000000%
47.339647		- 	46.379258		- 	015	027	0004152	 000000003753	0.0000000%
47.470086		- 	46.410170		- 	010	034	0004203	 000000003798	0.0000000%
47.090597		- 	46.414294		- 	012	032	0004253	 000000003844	0.0000000%
48.076113		- 	46.422123		- 	009	035	0004307	 000000003889	0.0000000%
48.561066		- 	46.433524		- 	010	027	0004353	 000000003935	0.0000000%
51.145172		- 	46.446199		- 	008	054	0004409	 000000003980	0.0000000%
55.248265		- 	46.468715		- 	012	027	0004458	 000000004026	0.0000000%
59.287640		- 	46.483716		- 	010	028	0004504	 000000004072	0.0000000%
49.312087		- 	46.506273		- 	007	038	0004557	 000000004118	0.0000000%
48.275054		- 	46.525450		- 	011	032	0004608	 000000004164	0.0000000%
56.225735		- 	46.537130		- 	011	024	0004663	 000000004209	0.0000000%
57.717288		- 	46.544500		- 	008	031	0004708	 000000004255	0.0000000%
50.988440		- 	46.551529		- 	012	034	0004760	 000000004301	0.0000000%
67.631193		- 	46.558856		- 	009	026	0004811	 000000004346	0.0000000%
46.927899		- 	46.567112		- 	010	030	0004861	 000000004392	0.0000000%
57.555935		- 	46.570176		- 	013	024	0004902	 000000004439	0.0000000%
65.028765		- 	46.575530		- 	012	021	0004953	 000000004485	0.0000000%
62.988504		- 	46.587181		- 	012	022	0005012	 000000004530	0.0000000%
49.435655		- 	46.602042		- 	008	033	0005060	 000000004576	0.0000000%
61.071360		- 	46.608784		- 	013	026	0005112	 000000004622	0.0000000%
51.932260		- 	46.611774		- 	015	022	0005157	 000000004669	0.0000000%
57.976941		- 	46.621230		- 	011	028	0005205	 000000004715	0.0000000%
48.185612		- 	46.623610		- 	010	039	0005252	 000000004761	0.0000000%
48.233590		- 	46.635156		- 	014	026	0005309	 000000004806	0.0000000%
50.638141		- 	46.640446		- 	010	036	0005354	 000000004852	0.0000000%
55.264901		- 	46.645594		- 	014	024	0005404	 000000004898	0.0000000%
52.424465		- 	46.651227		- 	009	034	0005457	 000000004943	0.0000000%
54.497098		- 	46.653367		- 	013	030	0005514	 000000004989	0.0000000%
48.194645		- 	46.654831		- 	010	030	0005560	 000000005035	0.0000000%
48.495601		- 	46.656347		- 	012	034	0005608	 000000005081	0.0000000%
49.306376		- 	46.661217		- 	011	027	0005655	 000000005127	0.0000000%
47.676647		- 	46.667070		- 	011	034	0005702	 000000005173	0.0000000%
48.731055		- 	46.675629		- 	012	023	0005762	 000000005218	0.0000000%
52.232177		- 	46.681850		- 	014	025	0005812	 000000005264	0.0000000%
48.644757		- 	46.700382		- 	010	027	0005857	 000000005310	0.0000000%
54.084322		- 	46.705639		- 	010	026	0005904	 000000005356	0.0000000%
48.129615		- 	46.712322		- 	009	030	0005959	 000000005401	0.0000000%
48.775223		- 	46.716665		- 	007	033	0006006	 000000005446	0.0000000%
47.715442		- 	46.726266		- 	014	028	0006064	 000000005492	0.0000000%
63.466653		- 	46.730434		- 	015	022	0006108	 000000005539	0.0000000%
50.084047		- 	46.732534		- 	010	035	0006157	 000000005585	0.0000000%
55.596698		- 	46.742282		- 	014	024	0006211	 000000005630	0.0000000%
48.272577		- 	46.750832		- 	008	040	0006253	 000000005676	0.0000000%
54.479191		- 	46.757334		- 	011	034	0006304	 000000005722	0.0000000%
51.268093		- 	46.762237		- 	012	024	0006355	 000000005768	0.0000000%
48.912264		- 	46.767159		- 	012	028	0006407	 000000005814	0.0000000%
52.957013		- 	46.772474		- 	011	030	0006456	 000000005860	0.0000000%
59.530590		- 	46.776732		- 	014	019	0006507	 000000005906	0.0000000%
67.021514		- 	46.782752		- 	011	019	0006562	 000000005951	0.0000000%
53.493453		- 	46.787601		- 	012	029	0006607	 000000005997	0.0000000%
48.360595		- 	46.795940		- 	010	033	0006660	 000000006042	0.0000000%
57.946531		- 	46.797736		- 	010	036	0006710	 000000006088	0.0000000%
49.759070		- 	46.802564		- 	014	023	0006759	 000000006134	0.0000000%
59.271490		- 	46.803322		- 	011	026	0006807	 000000006180	0.0000000%
49.948514		- 	46.808281		- 	009	033	0006860	 000000006225	0.0000000%
53.096532		- 	46.810716		- 	010	047	0006911	 000000006271	0.0000000%
53.057565		- 	46.814234		- 	009	030	0006952	 000000006318	0.0000000%
56.380797		- 	46.825128		- 	015	021	0007014	 000000006363	0.0000000%
47.877076		- 	46.827629		- 	009	035	0007058	 000000006409	0.0000000%
56.950471		- 	46.831474		- 	012	024	0007106	 000000006455	0.0000000%
53.947330		- 	46.837940		- 	011	029	0007156	 000000006501	0.0000000%
47.093728		- 	46.851799		- 	009	031	0007203	 000000006547	0.0000000%
51.597913		- 	46.855770		- 	010	029	0007256	 000000006592	0.0000000%
50.046615		- 	46.860930		- 	013	030	0007302	 000000006638	0.0000000%
47.875541		- 	46.863661		- 	011	034	0007352	 000000006683	0.0000000%
54.008549		- 	46.866088		- 	013	027	0007410	 000000006728	0.0000000%
48.546283		- 	46.870464		- 	012	027	0007461	 000000006774	0.0000000%
54.364472		- 	46.873571		- 	013	025	0007509	 000000006820	0.0000000%
50.060853		- 	46.875165		- 	013	030	0007552	 000000006867	0.0000000%
50.010529		- 	46.879530		- 	011	025	0007606	 000000006913	0.0000000%
52.311004		- 	46.884638		- 	009	032	0007658	 000000006959	0.0000000%
50.229477		- 	46.888611		- 	015	023	0007715	 000000007005	0.0000000%
60.172951		- 	46.893315		- 	011	022	0007755	 000000007052	0.0000000%
51.528947		- 	46.904075		- 	011	030	0007809	 000000007097	0.0000000%
57.279417		- 	46.908669		- 	010	030	0007854	 000000007143	0.0000000%
