Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-100-8
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 101
Initial Upper Bound: 999.00000000
Average radius size: 1.00000000
Using variable selection rule #1!
Size of the tree: 4.71345008e+157
Raiz: 0 30 23 
Initial root: 0 30 23 
Value of objective function: 3.02293436e+01
SolverStatus: Solved
Solution: 
( 6.87325000e+00, 7.60693000e+00, 0.00000000e+00 )
( 1.32737862e+01, 5.12093827e-01, 0.00000000e+00 )
( 9.58263202e-01, 1.79602367e+00, 0.00000000e+00 )
( 6.87325000e+00, 7.60693000e+00, 0.00000000e+00 )

Not covered in root: 12 24 56 57 10 77 38 69 20 37 22 86 83 100 47 7 91 51 35 40 63 36 96 84 80 32 14 26 87 34 61 82 16 6 71 53 97 64 41 50 42 67 21 74 88 70 4 29 76 85 66 62 31 15 1 99 60 81 72 46 19 25 5 48 54 39 55 58 59 45 49 43 44 52 68 98 95 94 93 92 90 89 79 78 75 73 33 65 28 27 18 17 2 3 8 9 11 13 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
35.915901		- 	30.229344		- 	002	048	0000004	 000000000002	0.0000000%
48.546809		- 	42.450319		- 	006	035	0000056	 000000000043	0.0000000%
52.318839		- 	43.356331		- 	007	037	0000105	 000000000086	0.0000000%
48.546946		- 	44.244880		- 	008	030	0000154	 000000000129	0.0000000%
58.392335		- 	44.518580		- 	006	037	0000202	 000000000173	0.0000000%
49.666758		- 	45.063452		- 	009	025	0000259	 000000000216	0.0000000%
52.363599		- 	45.155686		- 	009	023	0000302	 000000000261	0.0000000%
48.145793		- 	45.419498		- 	007	031	0000352	 000000000305	0.0000000%
64.066233		- 	45.651453		- 	008	026	0000409	 000000000349	0.0000000%
46.137015		- 	45.725156		- 	009	027	0000456	 000000000394	0.0000000%
56.974019		- 	45.764994		- 	008	029	0000504	 000000000438	0.0000000%
53.713904		- 	45.894053		- 	010	023	0000562	 000000000482	0.0000000%
71.387790		- 	45.971356		- 	009	021	0000603	 000000000528	0.0000000%
47.584327		- 	46.063330		- 	008	034	0000657	 000000000572	0.0000000%
47.684591		- 	46.127240		- 	008	032	0000709	 000000000616	0.0000000%
49.183755		- 	46.191539		- 	008	034	0000759	 000000000661	0.0000000%
