Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-100-9
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 101
Initial Upper Bound: 999.00000000
Average radius size: 1.00000000
Using variable selection rule #1!
Size of the tree: 4.71345008e+157
Raiz: 0 99 63 
Initial root: 0 99 63 
Value of objective function: 3.53651460e+01
SolverStatus: Solved
Solution: 
( 1.50041000e+01, 1.21852000e+00, 0.00000000e+00 )
( 1.13230649e+00, 7.38530711e+00, 0.00000000e+00 )
( 7.95707339e-01, 1.42024962e+00, 0.00000000e+00 )
( 1.50041000e+01, 1.21852000e+00, 0.00000000e+00 )

Not covered in root: 18 70 47 76 53 56 96 54 4 43 1 27 55 73 15 83 35 49 34 67 72 16 13 20 44 33 64 75 93 17 69 25 87 84 97 36 66 51 37 85 90 58 50 92 98 89 39 24 14 32 68 11 100 57 48 28 41 45 95 60 62 38 46 40 52 42 31 59 29 94 91 88 86 82 81 80 79 78 77 74 71 65 61 30 26 23 22 21 19 2 3 5 6 7 8 9 10 12 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
40.846578		- 	35.365146		- 	002	052	0000004	 000000000002	0.0000000%
52.249931		- 	43.739997		- 	003	047	0000054	 000000000043	0.0000000%
48.324774		- 	44.196092		- 	007	038	0000105	 000000000086	0.0000000%
52.310363		- 	45.185622		- 	006	046	0000154	 000000000129	0.0000000%
45.889049		- 	45.368188		- 	007	038	0000209	 000000000172	0.0000000%
58.816031		- 	45.642538		- 	007	038	0000258	 000000000216	0.0000000%
55.249386		- 	45.888939		- 	009	031	0000306	 000000000261	0.0000000%
52.931528		- 	46.092137		- 	010	033	0000354	 000000000306	0.0000000%
47.592726		- 	46.165312		- 	007	043	0000402	 000000000351	0.0000000%
51.616188		- 	46.274888		- 	007	042	0000454	 000000000395	0.0000000%
52.819789		- 	46.452052		- 	007	049	0000502	 000000000440	0.0000000%
55.309032		- 	46.593994		- 	009	044	0000561	 000000000483	0.0000000%
48.758281		- 	46.659513		- 	011	033	0000603	 000000000529	0.0000000%
48.884593		- 	46.716665		- 	012	027	0000662	 000000000573	0.0000000%
48.616079		- 	46.791247		- 	004	053	0000702	 000000000618	0.0000000%
58.833853		- 	46.912529		- 	008	032	0000757	 000000000662	0.0000000%
48.190187		- 	47.003859		- 	012	029	0000809	 000000000707	0.0000000%
58.055801		- 	47.066959		- 	011	029	0000861	 000000000752	0.0000000%
57.559486		- 	47.111569		- 	011	029	0000912	 000000000797	0.0000000%
48.154261		- 	47.157952		- 	009	040	0000953	 000000000843	0.0000000%
64.908445		- 	47.239272		- 	010	037	0001012	 000000000887	0.0000000%
60.557974		- 	47.275452		- 	008	030	0001060	 000000000932	0.0000000%
64.966772		- 	47.297662		- 	010	034	0001112	 000000000977	0.0000000%
58.683230		- 	47.312531		- 	011	034	0001155	 000000001023	0.0000000%
48.392226		- 	47.346817		- 	010	033	0001209	 000000001067	0.0000000%
59.675059		- 	47.415391		- 	009	033	0001261	 000000001112	0.0000000%
50.468516		- 	47.432879		- 	008	042	0001308	 000000001157	0.0000000%
60.531315		- 	47.484721		- 	008	036	0001359	 000000001202	0.0000000%
51.284493		- 	47.515825		- 	009	035	0001407	 000000001247	0.0000000%
51.949508		- 	47.541179		- 	009	043	0001458	 000000001292	0.0000000%
59.804829		- 	47.571510		- 	008	036	0001506	 000000001337	0.0000000%
48.251742		- 	47.600574		- 	012	030	0001563	 000000001382	0.0000000%
49.737056		- 	47.617271		- 	010	033	0001604	 000000001428	0.0000000%
53.404097		- 	47.635726		- 	012	028	0001653	 000000001473	0.0000000%
51.593198		- 	47.665756		- 	011	036	0001712	 000000001517	0.0000000%
54.767032		- 	47.684545		- 	007	042	0001753	 000000001563	0.0000000%
57.083198		- 	47.720216		- 	012	023	0001811	 000000001607	0.0000000%
62.113059		- 	47.748235		- 	010	031	0001861	 000000001652	0.0000000%
54.090397		- 	47.763873		- 	008	045	0001905	 000000001698	0.0000000%
58.593488		- 	47.792992		- 	011	033	0001960	 000000001743	0.0000000%
49.567750		- 	47.807708		- 	008	040	0002009	 000000001788	0.0000000%
48.725664		- 	47.817581		- 	009	034	0002053	 000000001834	0.0000000%
50.704314		- 	47.830965		- 	012	030	0002107	 000000001879	0.0000000%
61.445260		- 	47.852654		- 	012	026	0002157	 000000001924	0.0000000%
49.026721		- 	47.866851		- 	011	035	0002210	 000000001969	0.0000000%
59.023847		- 	47.894508		- 	010	030	0002253	 000000002015	0.0000000%
63.426023		- 	47.903243		- 	013	026	0002306	 000000002060	0.0000000%
62.086590		- 	47.921576		- 	012	028	0002356	 000000002105	0.0000000%
58.114262		- 	47.947436		- 	010	032	0002405	 000000002150	0.0000000%
50.126388		- 	47.967002		- 	011	030	0002463	 000000002195	0.0000000%
49.870680		- 	47.979101		- 	010	036	0002512	 000000002241	0.0000000%
51.999528		- 	48.000952		- 	007	040	0002552	 000000002287	0.0000000%
66.091642		- 	48.026294		- 	013	029	0002614	 000000002332	0.0000000%
57.341577		- 	48.042540		- 	009	039	0002652	 000000002378	0.0000000%
58.365796		- 	48.064336		- 	009	031	0002710	 000000002422	0.0000000%
55.110546		- 	48.070196		- 	009	041	0002755	 000000002468	0.0000000%
59.410462		- 	48.104979		- 	013	027	0002806	 000000002514	0.0000000%
50.392989		- 	48.121309		- 	011	036	0002858	 000000002559	0.0000000%
67.790803		- 	48.125250		- 	012	031	0002907	 000000002605	0.0000000%
57.432190		- 	48.136510		- 	011	032	0002957	 000000002651	0.0000000%
51.494588		- 	48.154261		- 	010	042	0003012	 000000002696	0.0000000%
49.011032		- 	48.158845		- 	009	044	0003058	 000000002742	0.0000000%
56.798678		- 	48.174909		- 	013	024	0003115	 000000002787	0.0000000%
55.209130		- 	48.189722		- 	014	029	0003163	 000000002833	0.0000000%
50.811611		- 	48.198878		- 	008	035	0003208	 000000002879	0.0000000%
66.049537		- 	48.206442		- 	011	030	0003252	 000000002925	0.0000000%
57.660827		- 	48.221003		- 	008	041	0003304	 000000002970	0.0000000%
67.198894		- 	48.241940		- 	013	026	0003364	 000000003015	0.0000000%
48.532379		- 	48.251182		- 	010	035	0003410	 000000003061	0.0000000%
57.096391		- 	48.260933		- 	009	032	0003456	 000000003107	0.0000000%
59.683892		- 	48.270617		- 	010	040	0003508	 000000003152	0.0000000%
56.370756		- 	48.284625		- 	011	030	0003555	 000000003198	0.0000000%
50.850430		- 	48.288743		- 	012	038	0003602	 000000003244	0.0000000%
65.131792		- 	48.311499		- 	012	025	0003656	 000000003289	0.0000000%
56.139797		- 	48.322854		- 	010	037	0003706	 000000003334	0.0000000%
50.071271		- 	48.342671		- 	013	024	0003762	 000000003379	0.0000000%
56.697161		- 	48.354197		- 	007	036	0003806	 000000003425	0.0000000%
65.672953		- 	48.383797		- 	013	028	0003864	 000000003470	0.0000000%
54.866511		- 	48.392226		- 	011	034	0003905	 000000003517	0.0000000%
55.713142		- 	48.400845		- 	011	031	0003960	 000000003562	0.0000000%
49.344645		- 	48.412566		- 	010	030	0004003	 000000003608	0.0000000%
64.910942		- 	48.419349		- 	009	028	0004057	 000000003653	0.0000000%
51.029823		- 	48.424957		- 	014	027	0004104	 000000003699	0.0000000%
51.395932		- 	48.440039		- 	006	045	0004157	 000000003744	0.0000000%
67.004098		- 	48.457034		- 	012	022	0004213	 000000003789	0.0000000%
63.488025		- 	48.459360		- 	011	038	0004261	 000000003835	0.0000000%
62.300045		- 	48.476608		- 	011	029	0004309	 000000003881	0.0000000%
69.492411		- 	48.502932		- 	011	028	0004357	 000000003927	0.0000000%
53.923463		- 	48.525010		- 	007	043	0004402	 000000003973	0.0000000%
50.237218		- 	48.528429		- 	008	033	0004458	 000000004018	0.0000000%
53.452640		- 	48.542020		- 	010	039	0004508	 000000004064	0.0000000%
59.561017		- 	48.550913		- 	012	029	0004559	 000000004110	0.0000000%
48.980904		- 	48.554234		- 	009	031	0004602	 000000004156	0.0000000%
58.118174		- 	48.559412		- 	012	032	0004656	 000000004202	0.0000000%
61.212835		- 	48.567290		- 	012	030	0004709	 000000004248	0.0000000%
51.243433		- 	48.584079		- 	009	033	0004761	 000000004293	0.0000000%
51.579782		- 	48.604223		- 	007	042	0004803	 000000004339	0.0000000%
50.962544		- 	48.615954		- 	013	031	0004855	 000000004385	0.0000000%
53.461117		- 	48.624827		- 	010	033	0004912	 000000004430	0.0000000%
53.449775		- 	48.631732		- 	012	029	0004964	 000000004476	0.0000000%
58.306950		- 	48.636960		- 	014	027	0005004	 000000004523	0.0000000%
56.385122		- 	48.646225		- 	011	034	0005059	 000000004569	0.0000000%
58.681024		- 	48.653974		- 	014	026	0005102	 000000004616	0.0000000%
58.269803		- 	48.666105		- 	012	026	0005161	 000000004661	0.0000000%
50.595878		- 	48.687638		- 	012	036	0005214	 000000004706	0.0000000%
56.861461		- 	48.692405		- 	012	031	0005259	 000000004752	0.0000000%
59.857353		- 	48.694436		- 	010	037	0005304	 000000004798	0.0000000%
52.603254		- 	48.703097		- 	013	030	0005363	 000000004844	0.0000000%
53.120937		- 	48.711180		- 	012	030	0005408	 000000004890	0.0000000%
59.373542		- 	48.717775		- 	012	027	0005460	 000000004936	0.0000000%
59.027206		- 	48.725664		- 	010	028	0005511	 000000004982	0.0000000%
52.684017		- 	48.738964		- 	009	032	0005560	 000000005027	0.0000000%
51.226908		- 	48.746327		- 	013	025	0005602	 000000005074	0.0000000%
62.653313		- 	48.756652		- 	011	028	0005657	 000000005119	0.0000000%
51.081523		- 	48.760034		- 	015	025	0005711	 000000005165	0.0000000%
55.438158		- 	48.769142		- 	014	029	0005761	 000000005211	0.0000000%
60.257045		- 	48.770294		- 	009	033	0005802	 000000005258	0.0000000%
56.090486		- 	48.780533		- 	015	028	0005863	 000000005303	0.0000000%
66.635355		- 	48.791598		- 	011	030	0005902	 000000005350	0.0000000%
64.283327		- 	48.802474		- 	012	026	0005957	 000000005396	0.0000000%
60.169855		- 	48.813180		- 	011	032	0006007	 000000005442	0.0000000%
49.119980		- 	48.825784		- 	010	035	0006061	 000000005488	0.0000000%
62.892124		- 	48.833984		- 	015	025	0006111	 000000005534	0.0000000%
59.370176		- 	48.837874		- 	009	030	0006161	 000000005580	0.0000000%
59.471937		- 	48.845131		- 	016	023	0006217	 000000005626	0.0000000%
49.351900		- 	48.845978		- 	009	029	0006261	 000000005673	0.0000000%
58.336297		- 	48.854414		- 	012	029	0006306	 000000005719	0.0000000%
57.493254		- 	48.855714		- 	014	027	0006355	 000000005765	0.0000000%
59.999229		- 	48.862408		- 	014	030	0006406	 000000005811	0.0000000%
55.086858		- 	48.865840		- 	011	026	0006454	 000000005857	0.0000000%
59.767319		- 	48.873774		- 	012	027	0006505	 000000005903	0.0000000%
50.757948		- 	48.875411		- 	013	027	0006565	 000000005949	0.0000000%
50.167742		- 	48.879611		- 	010	041	0006607	 000000005995	0.0000000%
60.566937		- 	48.887626		- 	010	031	0006653	 000000006041	0.0000000%
53.137877		- 	48.901477		- 	008	041	0006704	 000000006087	0.0000000%
56.401006		- 	48.907076		- 	012	033	0006754	 000000006133	0.0000000%
55.514505		- 	48.908135		- 	010	045	0006802	 000000006179	0.0000000%
56.738828		- 	48.914818		- 	013	030	0006865	 000000006224	0.0000000%
69.546814		- 	48.923415		- 	015	024	0006908	 000000006271	0.0000000%
49.743444		- 	48.931308		- 	011	031	0006962	 000000006316	0.0000000%
55.756693		- 	48.936901		- 	014	033	0007003	 000000006363	0.0000000%
52.799254		- 	48.940017		- 	010	031	0007056	 000000006409	0.0000000%
51.592174		- 	48.944287		- 	014	027	0007106	 000000006455	0.0000000%
59.466771		- 	48.950235		- 	016	024	0007160	 000000006501	0.0000000%
56.183133		- 	48.956101		- 	011	031	0007204	 000000006548	0.0000000%
50.046821		- 	48.966484		- 	009	029	0007258	 000000006593	0.0000000%
64.171146		- 	48.979033		- 	011	029	0007312	 000000006638	0.0000000%
60.168106		- 	48.983126		- 	013	029	0007358	 000000006684	0.0000000%
62.612789		- 	48.986995		- 	013	021	0007402	 000000006731	0.0000000%
51.558636		- 	48.997169		- 	011	027	0007452	 000000006777	0.0000000%
59.743243		- 	48.999875		- 	009	036	0007503	 000000006823	0.0000000%
71.027103		- 	49.006080		- 	011	034	0007552	 000000006869	0.0000000%
49.526100		- 	49.017838		- 	010	033	0007612	 000000006914	0.0000000%
64.500298		- 	49.022696		- 	013	023	0007659	 000000006960	0.0000000%
65.532051		- 	49.024513		- 	014	021	0007703	 000000007007	0.0000000%
56.396943		- 	49.029394		- 	011	027	0007752	 000000007053	0.0000000%
54.922172		- 	49.030738		- 	011	028	0007812	 000000007098	0.0000000%
51.449354		- 	49.034808		- 	011	039	0007852	 000000007145	0.0000000%
60.183873		- 	49.048152		- 	013	026	0007914	 000000007190	0.0000000%
51.604522		- 	49.053851		- 	010	036	0007958	 000000007236	0.0000000%
49.893256		- 	49.058279		- 	014	028	0008012	 000000007282	0.0000000%
60.971898		- 	49.061428		- 	009	028	0008059	 000000007328	0.0000000%
55.860268		- 	49.063910		- 	014	030	0008103	 000000007375	0.0000000%
58.218636		- 	49.070613		- 	016	022	0008164	 000000007420	0.0000000%
51.962840		- 	49.071368		- 	010	028	0008209	 000000007467	0.0000000%
61.225297		- 	49.075517		- 	011	026	0008258	 000000007513	0.0000000%
50.419510		- 	49.085684		- 	010	041	0008306	 000000007559	0.0000000%
49.557230		- 	49.091017		- 	011	029	0008352	 000000007605	0.0000000%
60.860884		- 	49.094961		- 	011	032	0008404	 000000007651	0.0000000%
49.402368		- 	49.100982		- 	012	030	0008457	 000000007697	0.0000000%
49.759823		- 	49.108656		- 	013	029	0008514	 000000007742	0.0000000%
60.153283		- 	49.110834		- 	009	027	0008558	 000000007788	0.0000000%
56.822616		- 	49.115006		- 	011	031	0008612	 000000007834	0.0000000%
57.190009		- 	49.119980		- 	011	035	0008662	 000000007880	0.0000000%
64.329187		- 	49.126060		- 	012	026	0008713	 000000007926	0.0000000%
49.486169		- 	49.132110		- 	014	028	0008763	 000000007972	0.0000000%
59.807553		- 	49.132305		- 	015	029	0008810	 000000008019	0.0000000%
62.070268		- 	49.135146		- 	009	034	0008854	 000000008065	0.0000000%
53.764780		- 	49.138182		- 	010	027	0008906	 000000008111	0.0000000%
51.463081		- 	49.142110		- 	016	025	0008962	 000000008157	0.0000000%
56.205611		- 	49.145369		- 	012	029	0009003	 000000008204	0.0000000%
50.149404		- 	49.148804		- 	016	028	0009058	 000000008250	0.0000000%
64.670411		- 	49.157472		- 	009	030	0009102	 000000008295	0.0000000%
50.728270		- 	49.163988		- 	011	037	0009155	 000000008341	0.0000000%
60.257346		- 	49.167587		- 	010	033	0009205	 000000008387	0.0000000%
50.710235		- 	49.173068		- 	008	041	0009257	 000000008433	0.0000000%
57.611881		- 	49.175253		- 	016	023	0009313	 000000008479	0.0000000%
49.458109		- 	49.176813		- 	012	031	0009360	 000000008526	0.0000000%
51.661824		- 	49.178453		- 	015	026	0009402	 000000008573	0.0000000%
69.175554		- 	49.184885		- 	014	026	0009456	 000000008619	0.0000000%
53.133677		- 	49.187220		- 	009	028	0009508	 000000008665	0.0000000%
65.958588		- 	49.196012		- 	017	023	0009569	 000000008711	0.0000000%
51.702416		- 	49.196012		- 	017	022	0009605	 000000008759	0.0000000%
53.470161		- 	49.200894		- 	011	037	0009657	 000000008805	0.0000000%
64.099026		- 	49.205062		- 	008	032	0009710	 000000008851	0.0000000%
55.978751		- 	49.206136		- 	016	023	0009754	 000000008898	0.0000000%
62.485251		- 	49.210362		- 	010	027	0009808	 000000008944	0.0000000%
65.833509		- 	49.212626		- 	011	033	0009856	 000000008990	0.0000000%
60.554730		- 	49.221738		- 	009	038	0009908	 000000009036	0.0000000%
69.376131		- 	49.222188		- 	015	021	0009957	 000000009082	0.0000000%
54.403806		- 	49.226142		- 	013	029	0010004	 000000009129	0.0000000%
62.433775		- 	49.228797		- 	013	027	0010062	 000000009175	0.0000000%
57.917083		- 	49.233186		- 	015	026	0010113	 000000009221	0.0000000%
56.856378		- 	49.238723		- 	013	025	0010165	 000000009267	0.0000000%
70.375139		- 	49.240919		- 	014	021	0010212	 000000009313	0.0000000%
