Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-150-4
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 151
Initial Upper Bound: 999.00000000
Average radius size: 1.00000000
Using variable selection rule #1!
Size of the tree: 2.87586528e+262
Raiz: 0 150 17 
Initial root: 0 150 17 
Value of objective function: 3.16727203e+01
SolverStatus: Solved
Solution: 
( 3.79095000e+00, 6.15164000e+00, 0.00000000e+00 )
( 1.47792619e+01, 1.19880295e+00, 0.00000000e+00 )
( 1.26681644e+00, 6.04670266e-01, 0.00000000e+00 )
( 3.79095000e+00, 6.15164000e+00, 0.00000000e+00 )

Not covered in root: 18 51 59 37 29 136 75 58 39 91 112 125 27 48 66 80 30 126 145 99 62 115 9 118 32 120 65 44 122 143 87 111 69 105 78 70 137 100 57 49 24 141 108 123 64 72 56 73 35 6 53 10 41 22 15 60 95 121 42 54 26 7 77 148 4 38 31 139 116 119 117 135 132 71 149 23 55 127 103 82 90 68 134 83 79 107 93 106 1 140 113 46 96 101 102 45 104 97 47 92 98 50 109 110 52 114 129 130 131 133 138 142 144 124 146 147 74 21 20 28 19 61 16 63 14 128 67 2 3 5 8 11 43 12 76 13 33 34 81 84 85 86 36 88 89 40 25 94 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
37.364664		- 	31.672720		- 	002	086	0000004	 000000000002	0.0000000%
57.078864		- 	44.668563		- 	006	063	0000083	 000000000063	0.0000000%
62.608745		- 	45.946383		- 	008	056	0000158	 000000000128	0.0000000%
50.144776		- 	46.534874		- 	007	068	0000231	 000000000193	0.0000000%
50.254430		- 	47.025061		- 	007	061	0000303	 000000000259	0.0000000%
50.011646		- 	47.352836		- 	008	067	0000382	 000000000325	0.0000000%
48.577445		- 	47.691964		- 	009	050	0000453	 000000000391	0.0000000%
54.845982		- 	47.964171		- 	009	048	0000527	 000000000457	0.0000000%
56.084648		- 	48.089230		- 	010	042	0000609	 000000000523	0.0000000%
50.614440		- 	48.253402		- 	009	053	0000685	 000000000590	0.0000000%
67.857007		- 	48.371391		- 	010	054	0000752	 000000000658	0.0000000%
50.035677		- 	48.567675		- 	007	062	0000833	 000000000724	0.0000000%
53.526244		- 	48.648294		- 	009	051	0000904	 000000000791	0.0000000%
56.759065		- 	48.732521		- 	008	048	0000977	 000000000858	0.0000000%
56.694648		- 	48.797300		- 	009	053	0001054	 000000000925	0.0000000%
68.808112		- 	48.886910		- 	011	046	0001129	 000000000992	0.0000000%
66.593215		- 	48.959306		- 	008	057	0001210	 000000001058	0.0000000%
62.971337		- 	49.039018		- 	011	046	0001277	 000000001127	0.0000000%
63.042387		- 	49.115492		- 	008	045	0001352	 000000001194	0.0000000%
51.843505		- 	49.171007		- 	009	049	0001430	 000000001261	0.0000000%
63.614799		- 	49.263811		- 	008	056	0001507	 000000001327	0.0000000%
53.485542		- 	49.326286		- 	010	054	0001577	 000000001395	0.0000000%
51.739876		- 	49.396345		- 	010	044	0001662	 000000001462	0.0000000%
59.351756		- 	49.454963		- 	009	051	0001727	 000000001530	0.0000000%
67.698611		- 	49.509842		- 	010	044	0001811	 000000001597	0.0000000%
52.274713		- 	49.572685		- 	012	047	0001880	 000000001665	0.0000000%
70.592220		- 	49.608439		- 	010	044	0001952	 000000001733	0.0000000%
55.515619		- 	49.655503		- 	012	054	0002035	 000000001800	0.0000000%
68.430515		- 	49.699307		- 	010	040	0002112	 000000001867	0.0000000%
51.142663		- 	49.724896		- 	009	057	0002185	 000000001934	0.0000000%
69.272598		- 	49.778799		- 	010	058	0002253	 000000002002	0.0000000%
60.849405		- 	49.809176		- 	012	050	0002333	 000000002070	0.0000000%
59.634730		- 	49.859273		- 	012	048	0002409	 000000002138	0.0000000%
51.303885		- 	49.911015		- 	008	053	0002482	 000000002206	0.0000000%
56.788624		- 	49.947363		- 	009	058	0002559	 000000002274	0.0000000%
65.411263		- 	49.989694		- 	012	050	0002638	 000000002341	0.0000000%
58.542929		- 	50.006559		- 	011	054	0002707	 000000002409	0.0000000%
56.752647		- 	50.018074		- 	011	049	0002788	 000000002477	0.0000000%
50.872466		- 	50.035690		- 	008	055	0002858	 000000002545	0.0000000%
52.957961		- 	50.060784		- 	007	064	0002933	 000000002612	0.0000000%
52.911762		- 	50.109487		- 	009	057	0003007	 000000002680	0.0000000%
57.284909		- 	50.144776		- 	008	059	0003077	 000000002748	0.0000000%
59.439140		- 	50.164929		- 	011	060	0003156	 000000002816	0.0000000%
54.649179		- 	50.185218		- 	013	037	0003232	 000000002884	0.0000000%
55.679899		- 	50.205301		- 	010	051	0003303	 000000002952	0.0000000%
56.291918		- 	50.218158		- 	009	047	0003381	 000000003020	0.0000000%
58.885208		- 	50.262143		- 	007	055	0003453	 000000003088	0.0000000%
52.313322		- 	50.298332		- 	006	057	0003529	 000000003156	0.0000000%
56.645571		- 	50.312117		- 	008	054	0003605	 000000003224	0.0000000%
71.232436		- 	50.326182		- 	011	041	0003677	 000000003293	0.0000000%
54.699400		- 	50.365236		- 	008	062	0003755	 000000003360	0.0000000%
66.714140		- 	50.376873		- 	006	052	0003827	 000000003428	0.0000000%
50.915919		- 	50.394623		- 	012	050	0003903	 000000003496	0.0000000%
51.508955		- 	50.420335		- 	008	055	0003985	 000000003563	0.0000000%
55.575648		- 	50.442929		- 	008	055	0004056	 000000003631	0.0000000%
58.973300		- 	50.461611		- 	009	045	0004130	 000000003699	0.0000000%
57.196928		- 	50.468702		- 	012	040	0004202	 000000003767	0.0000000%
54.211132		- 	50.495059		- 	009	055	0004286	 000000003834	0.0000000%
56.635624		- 	50.506932		- 	012	055	0004362	 000000003902	0.0000000%
55.889380		- 	50.531235		- 	011	059	0004436	 000000003970	0.0000000%
71.600975		- 	50.564882		- 	009	046	0004511	 000000004038	0.0000000%
71.610985		- 	50.591112		- 	009	037	0004579	 000000004107	0.0000000%
77.763557		- 	50.614440		- 	010	045	0004661	 000000004174	0.0000000%
61.350493		- 	50.644728		- 	010	047	0004732	 000000004243	0.0000000%
51.875189		- 	50.663149		- 	013	048	0004807	 000000004312	0.0000000%
61.664359		- 	50.676417		- 	010	045	0004887	 000000004380	0.0000000%
70.903669		- 	50.692559		- 	010	038	0004958	 000000004448	0.0000000%
52.736820		- 	50.699789		- 	009	063	0005034	 000000004516	0.0000000%
57.837439		- 	50.709778		- 	012	052	0005106	 000000004585	0.0000000%
63.910675		- 	50.732515		- 	013	045	0005186	 000000004653	0.0000000%
68.928972		- 	50.744816		- 	010	048	0005252	 000000004722	0.0000000%
51.600780		- 	50.778523		- 	006	062	0005329	 000000004789	0.0000000%
60.347257		- 	50.798674		- 	009	056	0005410	 000000004856	0.0000000%
62.144067		- 	50.815126		- 	011	045	0005484	 000000004924	0.0000000%
54.177024		- 	50.825462		- 	010	048	0005556	 000000004993	0.0000000%
71.794357		- 	50.835524		- 	012	037	0005627	 000000005062	0.0000000%
57.856653		- 	50.843850		- 	009	054	0005706	 000000005130	0.0000000%
62.155186		- 	50.864572		- 	010	046	0005781	 000000005198	0.0000000%
61.247636		- 	50.878300		- 	009	055	0005859	 000000005266	0.0000000%
54.222996		- 	50.891419		- 	008	054	0005934	 000000005334	0.0000000%
62.832263		- 	50.915591		- 	014	037	0006015	 000000005402	0.0000000%
57.787074		- 	50.927269		- 	009	047	0006086	 000000005471	0.0000000%
53.620850		- 	50.935773		- 	013	051	0006156	 000000005540	0.0000000%
51.460313		- 	50.947649		- 	008	053	0006229	 000000005608	0.0000000%
75.187179		- 	50.955433		- 	013	044	0006303	 000000005677	0.0000000%
52.698494		- 	50.981147		- 	012	052	0006386	 000000005744	0.0000000%
67.658059		- 	50.995898		- 	009	050	0006459	 000000005813	0.0000000%
69.493151		- 	51.017813		- 	011	039	0006530	 000000005882	0.0000000%
61.857055		- 	51.033689		- 	009	060	0006606	 000000005950	0.0000000%
73.411194		- 	51.040662		- 	011	038	0006681	 000000006019	0.0000000%
61.217211		- 	51.049001		- 	007	056	0006758	 000000006086	0.0000000%
64.911514		- 	51.065271		- 	011	041	0006830	 000000006155	0.0000000%
51.902643		- 	51.071448		- 	011	051	0006911	 000000006223	0.0000000%
63.636316		- 	51.086253		- 	010	049	0006980	 000000006292	0.0000000%
65.029404		- 	51.097036		- 	009	047	0007052	 000000006361	0.0000000%
52.543972		- 	51.108185		- 	010	052	0007129	 000000006429	0.0000000%
52.294618		- 	51.130915		- 	014	049	0007215	 000000006496	0.0000000%
64.700111		- 	51.140326		- 	013	042	0007290	 000000006565	0.0000000%
63.724975		- 	51.146895		- 	009	042	0007359	 000000006634	0.0000000%
61.262436		- 	51.155984		- 	007	057	0007428	 000000006703	0.0000000%
52.318190		- 	51.171102		- 	009	059	0007510	 000000006772	0.0000000%
52.220086		- 	51.186435		- 	010	053	0007579	 000000006841	0.0000000%
70.379134		- 	51.197526		- 	010	045	0007653	 000000006910	0.0000000%
63.604351		- 	51.206045		- 	012	049	0007733	 000000006978	0.0000000%
60.958260		- 	51.214085		- 	011	047	0007809	 000000007047	0.0000000%
56.265043		- 	51.234769		- 	013	052	0007888	 000000007115	0.0000000%
57.297213		- 	51.251452		- 	011	052	0007963	 000000007184	0.0000000%
60.705536		- 	51.266366		- 	011	046	0008031	 000000007253	0.0000000%
52.375453		- 	51.277949		- 	008	058	0008110	 000000007321	0.0000000%
60.533388		- 	51.285937		- 	010	046	0008182	 000000007390	0.0000000%
58.806248		- 	51.292242		- 	010	054	0008254	 000000007459	0.0000000%
54.890402		- 	51.303885		- 	009	047	0008336	 000000007527	0.0000000%
55.326147		- 	51.321027		- 	011	051	0008409	 000000007596	0.0000000%
55.604240		- 	51.334888		- 	013	052	0008481	 000000007664	0.0000000%
54.237093		- 	51.339631		- 	010	059	0008552	 000000007733	0.0000000%
52.971953		- 	51.349223		- 	014	047	0008638	 000000007801	0.0000000%
56.117126		- 	51.352348		- 	012	053	0008707	 000000007870	0.0000000%
75.588179		- 	51.356321		- 	012	041	0008778	 000000007939	0.0000000%
