Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-150-6
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 151
Initial Upper Bound: 999.00000000
Average radius size: 1.00000000
Using variable selection rule #1!
Size of the tree: 2.87586528e+262
Raiz: 0 97 42 
Initial root: 0 97 42 
Value of objective function: 3.74330858e+01
SolverStatus: Solved
Solution: 
( 8.13402000e-01, 9.35868000e+00, 0.00000000e+00 )
( 1.40890564e+01, 5.51993363e-01, 0.00000000e+00 )
( 1.12558319e+00, 8.28858823e-01, 0.00000000e+00 )
( 8.13402000e-01, 9.35868000e+00, 0.00000000e+00 )

Not covered in root: 114 144 53 4 37 121 60 10 39 46 51 91 138 129 141 73 96 26 59 77 82 1 146 75 33 104 107 150 139 13 31 16 18 145 123 6 127 35 70 11 71 128 5 136 101 119 103 134 12 68 126 32 25 86 55 130 116 147 83 108 14 8 111 48 81 52 24 40 140 95 30 115 110 7 3 61 143 120 88 50 64 132 87 113 58 94 84 142 62 19 76 22 125 124 122 89 90 118 117 92 112 93 109 106 105 102 98 100 99 49 9 34 36 38 41 43 44 45 47 2 54 56 57 131 133 135 137 148 149 63 80 79 78 74 72 69 67 66 65 85 29 28 27 23 21 20 17 15 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
42.345251		- 	37.433086		- 	002	087	0000004	 000000000002	0.0000000%
57.448378		- 	46.400323		- 	006	065	0000079	 000000000064	0.0000000%
48.110436		- 	47.339561		- 	007	073	0000155	 000000000128	0.0000000%
50.219671		- 	47.525904		- 	007	067	0000227	 000000000194	0.0000000%
56.531109		- 	48.265931		- 	010	054	0000306	 000000000260	0.0000000%
49.861120		- 	48.435118		- 	006	061	0000378	 000000000326	0.0000000%
57.828099		- 	48.537111		- 	009	063	0000454	 000000000392	0.0000000%
53.495181		- 	48.773217		- 	006	058	0000530	 000000000458	0.0000000%
57.204947		- 	48.919900		- 	008	063	0000603	 000000000525	0.0000000%
57.603113		- 	49.003017		- 	009	062	0000678	 000000000592	0.0000000%
58.522324		- 	49.123792		- 	009	054	0000756	 000000000658	0.0000000%
61.546714		- 	49.217499		- 	007	051	0000832	 000000000724	0.0000000%
60.587259		- 	49.346891		- 	008	055	0000904	 000000000791	0.0000000%
52.535790		- 	49.404428		- 	007	059	0000981	 000000000858	0.0000000%
57.700511		- 	49.464464		- 	009	056	0001059	 000000000924	0.0000000%
58.066943		- 	49.563374		- 	010	059	0001135	 000000000991	0.0000000%
52.645537		- 	49.613527		- 	010	053	0001207	 000000001059	0.0000000%
51.116494		- 	49.683708		- 	007	066	0001283	 000000001126	0.0000000%
57.937355		- 	49.720078		- 	010	059	0001354	 000000001194	0.0000000%
59.465645		- 	49.755464		- 	010	062	0001427	 000000001262	0.0000000%
50.996348		- 	49.855631		- 	009	055	0001510	 000000001328	0.0000000%
57.269151		- 	49.886128		- 	008	061	0001583	 000000001395	0.0000000%
57.526607		- 	49.935772		- 	008	065	0001659	 000000001462	0.0000000%
59.903250		- 	49.963250		- 	008	067	0001727	 000000001530	0.0000000%
58.533257		- 	50.007504		- 	009	053	0001807	 000000001597	0.0000000%
64.582920		- 	50.045902		- 	007	049	0001879	 000000001665	0.0000000%
59.746659		- 	50.083020		- 	008	065	0001954	 000000001732	0.0000000%
53.279795		- 	50.107828		- 	011	059	0002037	 000000001799	0.0000000%
52.924575		- 	50.145841		- 	009	056	0002111	 000000001867	0.0000000%
59.642327		- 	50.178776		- 	010	051	0002185	 000000001935	0.0000000%
61.412980		- 	50.204171		- 	010	050	0002262	 000000002003	0.0000000%
63.181966		- 	50.219671		- 	008	056	0002334	 000000002071	0.0000000%
66.281113		- 	50.238991		- 	008	052	0002404	 000000002138	0.0000000%
55.343032		- 	50.254636		- 	007	050	0002482	 000000002205	0.0000000%
59.431604		- 	50.317045		- 	011	048	0002558	 000000002273	0.0000000%
51.758261		- 	50.337287		- 	009	061	0002632	 000000002341	0.0000000%
53.071328		- 	50.368401		- 	008	062	0002704	 000000002409	0.0000000%
54.401835		- 	50.410344		- 	010	055	0002784	 000000002476	0.0000000%
57.354808		- 	50.457480		- 	011	057	0002863	 000000002544	0.0000000%
60.718431		- 	50.490949		- 	010	052	0002936	 000000002612	0.0000000%
68.262355		- 	50.503307		- 	012	042	0003007	 000000002680	0.0000000%
51.077177		- 	50.537629		- 	010	064	0003081	 000000002748	0.0000000%
51.477889		- 	50.551268		- 	009	059	0003159	 000000002815	0.0000000%
51.958873		- 	50.567885		- 	006	058	0003233	 000000002883	0.0000000%
57.281860		- 	50.586689		- 	010	068	0003304	 000000002950	0.0000000%
61.156812		- 	50.614707		- 	009	057	0003382	 000000003018	0.0000000%
61.001324		- 	50.623142		- 	011	051	0003457	 000000003086	0.0000000%
66.834836		- 	50.635262		- 	009	052	0003534	 000000003154	0.0000000%
57.214494		- 	50.647171		- 	009	051	0003603	 000000003223	0.0000000%
51.571634		- 	50.676599		- 	010	060	0003683	 000000003290	0.0000000%
57.409493		- 	50.686011		- 	009	054	0003754	 000000003358	0.0000000%
58.702028		- 	50.710024		- 	012	058	0003839	 000000003425	0.0000000%
54.796558		- 	50.726712		- 	010	054	0003909	 000000003493	0.0000000%
57.923473		- 	50.747976		- 	010	048	0003984	 000000003561	0.0000000%
51.496183		- 	50.760465		- 	008	060	0004056	 000000003629	0.0000000%
53.010961		- 	50.775691		- 	010	056	0004130	 000000003697	0.0000000%
55.998179		- 	50.798005		- 	008	065	0004205	 000000003765	0.0000000%
55.681242		- 	50.822696		- 	008	053	0004281	 000000003833	0.0000000%
53.099090		- 	50.851815		- 	011	051	0004354	 000000003901	0.0000000%
75.709344		- 	50.866852		- 	010	038	0004430	 000000003969	0.0000000%
52.650343		- 	50.875030		- 	009	058	0004511	 000000004037	0.0000000%
55.328632		- 	50.890054		- 	009	056	0004584	 000000004105	0.0000000%
51.850239		- 	50.906718		- 	009	058	0004653	 000000004173	0.0000000%
51.982980		- 	50.927312		- 	009	063	0004728	 000000004241	0.0000000%
57.572641		- 	50.939945		- 	009	057	0004809	 000000004308	0.0000000%
53.413477		- 	50.951787		- 	009	057	0004880	 000000004376	0.0000000%
60.716145		- 	50.971964		- 	010	047	0004960	 000000004444	0.0000000%
59.296564		- 	50.984972		- 	007	063	0005030	 000000004512	0.0000000%
51.874869		- 	50.996348		- 	010	052	0005110	 000000004580	0.0000000%
60.819921		- 	51.008749		- 	008	051	0005183	 000000004648	0.0000000%
52.173907		- 	51.027980		- 	011	051	0005258	 000000004716	0.0000000%
62.883539		- 	51.052034		- 	008	062	0005332	 000000004784	0.0000000%
57.365885		- 	51.068443		- 	008	058	0005407	 000000004852	0.0000000%
62.953720		- 	51.077341		- 	011	059	0005478	 000000004921	0.0000000%
60.999589		- 	51.094166		- 	012	045	0005562	 000000004988	0.0000000%
55.307606		- 	51.102429		- 	013	053	0005635	 000000005056	0.0000000%
54.287659		- 	51.114995		- 	010	059	0005711	 000000005124	0.0000000%
52.316905		- 	51.120321		- 	008	066	0005780	 000000005192	0.0000000%
52.880020		- 	51.130057		- 	006	059	0005853	 000000005259	0.0000000%
51.551293		- 	51.139771		- 	012	064	0005927	 000000005328	0.0000000%
51.598274		- 	51.162748		- 	009	056	0006004	 000000005395	0.0000000%
60.437524		- 	51.176511		- 	010	049	0006087	 000000005462	0.0000000%
60.619883		- 	51.191607		- 	010	053	0006161	 000000005530	0.0000000%
54.391194		- 	51.200648		- 	010	061	0006229	 000000005599	0.0000000%
