Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-50-2
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 51
Initial Upper Bound: 999.00000000
Average radius size: 1.00000000
Using variable selection rule #1!
Size of the tree: 1.55175266e+64
Raiz: 0 27 2 
Initial root: 0 27 2 
Value of objective function: 2.76737829e+01
SolverStatus: Solved
Solution: 
( 4.89422000e+00, 8.42391000e+00, 0.00000000e+00 )
( 1.22840188e+01, 8.69171507e-01, 0.00000000e+00 )
( 1.41788645e+00, 3.67879638e+00, 0.00000000e+00 )
( 4.89422000e+00, 8.42391000e+00, 0.00000000e+00 )

Not covered in root: 37 19 44 42 35 40 31 14 7 25 39 12 32 43 36 30 26 21 9 34 49 50 24 16 11 20 47 41 5 10 18 29 15 17 22 8 46 33 28 48 6 13 23 1 4 45 3 38 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
33.062926		- 	27.673783		- 	002	022	0000004	 000000000002	0.0000000%
37.660776		- 	35.815592		- 	006	015	0000032	 000000000022	0.0000000%
44.372668		- 	37.420203		- 	007	015	0000052	 000000000044	0.0000000%
42.495249		- 	37.753007		- 	008	012	0000078	 000000000066	0.0000000%
39.088949		- 	38.006151		- 	009	014	0000106	 000000000088	0.0000000%
44.214166		- 	38.261291		- 	008	011	0000130	 000000000110	0.0000000%
38.946156		- 	38.343656		- 	008	014	0000157	 000000000132	0.0000000%
40.235811		- 	38.455933		- 	010	014	0000186	 000000000154	0.0000000%
39.957313		- 	38.523877		- 	006	017	0000202	 000000000177	0.0000000%
42.143525		- 	38.687087		- 	007	011	0000229	 000000000199	0.0000000%
43.297329		- 	38.794664		- 	009	012	0000260	 000000000221	0.0000000%
42.322870		- 	38.818112		- 	011	011	0000282	 000000000244	0.0000000%
40.010104		- 	38.907835		- 	009	012	0000311	 000000000266	0.0000000%
52.546154		- 	38.984809		- 	012	007	0000339	 000000000288	0.0000000%
41.374996		- 	39.037659		- 	007	018	0000358	 000000000311	0.0000000%
52.675503		- 	39.068870		- 	012	009	0000381	 000000000334	0.0000000%
40.386894		- 	39.073598		- 	009	013	0000404	 000000000357	0.0000000%
47.936213		- 	39.089901		- 	005	021	0000432	 000000000379	0.0000000%
39.502957		- 	39.105561		- 	010	014	0000461	 000000000401	0.0000000%
46.147087		- 	39.108678		- 	009	010	0000482	 000000000424	0.0000000%
49.478159		- 	39.131277		- 	008	010	0000503	 000000000447	0.0000000%
40.241488		- 	39.170890		- 	005	021	0000532	 000000000469	0.0000000%
45.815181		- 	39.213760		- 	010	010	0000554	 000000000492	0.0000000%
44.893766		- 	39.216758		- 	011	012	0000583	 000000000514	0.0000000%
45.433376		- 	39.252080		- 	010	013	0000605	 000000000537	0.0000000%
51.283313		- 	39.269186		- 	010	012	0000627	 000000000560	0.0000000%
50.368009		- 	39.297139		- 	011	015	0000659	 000000000582	0.0000000%
53.546625		- 	39.300183		- 	014	006	0000686	 000000000605	0.0000000%
43.847405		- 	39.312742		- 	009	012	0000709	 000000000628	0.0000000%
51.539822		- 	39.348053		- 	010	011	0000730	 000000000651	0.0000000%
45.403049		- 	39.350977		- 	010	013	0000752	 000000000674	0.0000000%
42.588405		- 	39.378932		- 	010	010	0000784	 000000000696	0.0000000%
39.816499		- 	39.379902		- 	012	007	0000810	 000000000719	0.0000000%
44.559016		- 	39.380382		- 	011	008	0000834	 000000000742	0.0000000%
44.223031		- 	39.396820		- 	010	010	0000862	 000000000764	0.0000000%
43.561713		- 	39.432720		- 	009	011	0000881	 000000000787	0.0000000%
45.183970		- 	39.442018		- 	010	010	0000912	 000000000809	0.0000000%
42.887594		- 	39.457541		- 	011	010	0000930	 000000000832	0.0000000%
42.223556		- 	39.463861		- 	015	006	0000967	 000000000854	0.0000000%
39.639781		- 	39.469181		- 	012	012	0000980	 000000000878	0.0000000%
39.756382		- 	39.470661		- 	013	007	0001007	 000000000901	0.0000000%
48.891649		- 	39.502958		- 	011	009	0001031	 000000000924	0.0000000%
44.454208		- 	39.504911		- 	013	008	0001059	 000000000947	0.0000000%
42.750853		- 	39.514988		- 	011	011	0001083	 000000000970	0.0000000%
41.869448		- 	39.517556		- 	010	012	0001105	 000000000993	0.0000000%
47.569329		- 	39.528520		- 	011	008	0001137	 000000001015	0.0000000%
53.602420		- 	39.529129		- 	012	007	0001160	 000000001038	0.0000000%
44.949145		- 	39.532847		- 	011	010	0001184	 000000001061	0.0000000%
40.461959		- 	39.548499		- 	009	011	0001211	 000000001084	0.0000000%
41.812097		- 	39.557086		- 	010	012	0001232	 000000001107	0.0000000%
40.439212		- 	39.566418		- 	011	011	0001260	 000000001130	0.0000000%
58.821996		- 	39.586325		- 	015	007	0001287	 000000001153	0.0000000%
44.320308		- 	39.606691		- 	016	006	0001304	 000000001177	0.0000000%
48.576737		- 	39.606873		- 	010	013	0001330	 000000001200	0.0000000%
43.677979		- 	39.606941		- 	015	007	0001357	 000000001223	0.0000000%
41.137122		- 	39.607996		- 	017	003	0001393	 000000001246	0.0000000%
49.230792		- 	39.608316		- 	012	014	0001406	 000000001270	0.0000000%
43.603969		- 	39.610188		- 	011	011	0001431	 000000001293	0.0000000%
53.218946		- 	39.613192		- 	012	010	0001456	 000000001316	0.0000000%
48.264681		- 	39.615577		- 	012	010	0001482	 000000001339	0.0000000%
39.817914		- 	39.632806		- 	012	010	0001510	 000000001362	0.0000000%
44.089325		- 	39.637125		- 	016	002	0001540	 000000001385	0.0000000%
46.021641		- 	39.637291		- 	011	014	0001552	 000000001409	0.0000000%
40.186825		- 	39.639781		- 	013	011	0001580	 000000001432	0.0000000%
40.357736		- 	39.666582		- 	011	011	0001612	 000000001454	0.0000000%
41.231032		- 	39.675387		- 	017	003	0001642	 000000001477	0.0000000%
53.180264		- 	39.675387		- 	017	003	0001660	 000000001501	0.0000000%
52.441389		- 	39.681503		- 	012	014	0001686	 000000001524	0.0000000%
39.751087		- 	39.682391		- 	016	004	0001716	 000000001547	0.0000000%
54.082695		- 	39.689287		- 	014	005	0001737	 000000001570	0.0000000%
46.073636		- 	39.689287		- 	014	009	0001752	 000000001594	0.0000000%
51.457676	56.621790	39.689724	42.661085	018	002	0001789	 000000001617	1.6441270e-15%
39.793001	56.621790	39.689724	42.661085	018	002	0001808	 000000001593	1.6441270e-15%
40.548556	56.621790	39.701533	42.618650	009	013	0001831	 000000001616	1.6441270e-15%
49.220980	56.621790	39.705821	42.603248	017	001	0001867	 000000001639	1.6441270e-15%
44.914695	56.621790	39.705897	42.602976	016	005	0001884	 000000001663	1.6441270e-15%
40.278926	56.621790	39.709342	42.590605	009	013	0001910	 000000001686	1.6441270e-15%
39.969616	56.621790	39.717192	42.562420	011	013	0001947	 000000001708	1.6441270e-15%
40.931197	56.621790	39.718081	42.559228	011	010	0001971	 000000001731	1.6441270e-15%
40.546549	56.621790	39.724749	42.535299	013	013	0001997	 000000001754	1.6441270e-15%
50.143187	56.621790	39.724750	42.535299	013	010	0002011	 000000001778	1.6441270e-15%
48.981636	56.621790	39.726615	42.528605	012	012	0002040	 000000001801	1.6441270e-15%
52.762933	56.621790	39.745670	42.460272	011	007	0002065	 000000001824	1.6441270e-15%
46.690804	56.621790	39.749769	42.445584	016	007	0002097	 000000001847	1.6441270e-15%
47.566582	56.621790	39.751087	42.440860	017	004	0002115	 000000001871	1.6441270e-15%
42.630181	56.621790	39.752894	42.434385	012	008	0002146	 000000001894	1.6441270e-15%
41.018162	56.621790	39.754858	42.427348	010	013	0002168	 000000001917	1.6441270e-15%
39.832631	56.621790	39.756724	42.420665	017	004	0002201	 000000001940	1.6441270e-15%
46.138122	56.621790	39.757115	42.419262	018	003	0002220	 000000001964	1.6441270e-15%
52.411380	56.621790	39.758808	42.413197	012	009	0002252	 000000001987	1.6441270e-15%
42.991868	56.621790	39.765239	42.390166	018	003	0002284	 000000002010	1.6441270e-15%
44.406273	56.621790	39.768501	42.378487	012	013	0002307	 000000002033	1.6441270e-15%
44.595324	56.621790	39.769159	42.376132	010	010	0002331	 000000002056	1.6441270e-15%
50.475983	56.621790	39.770376	42.371775	015	005	0002358	 000000002079	1.6441270e-15%
46.514799	56.621790	39.774593	42.356681	017	006	0002376	 000000002103	1.6441270e-15%
44.539837	56.621790	39.775326	42.354057	016	005	0002411	 000000002126	1.6441270e-15%
55.666109	56.621790	39.779365	42.339603	012	007	0002438	 000000002149	1.6441270e-15%
50.614471	56.621790	39.779378	42.339555	015	003	0002467	 000000002172	1.6441270e-15%
39.849337	56.621790	39.780641	42.335039	016	004	0002495	 000000002195	1.6441270e-15%
48.447586	56.621790	39.782225	42.329372	013	011	0002520	 000000002218	1.6441270e-15%
42.293917	56.621790	39.787158	42.311725	017	004	0002538	 000000002242	1.6441270e-15%
53.123568	56.621790	39.787549	42.310325	018	003	0002576	 000000002265	1.6441270e-15%
39.922478	56.621790	39.792450	42.292796	019	002	0002606	 000000002288	1.6441270e-15%
48.391441	56.621790	39.792451	42.292796	019	001	0002626	 000000002312	1.6441270e-15%
49.619487	56.621790	39.793001	42.290829	019	003	0002646	 000000002336	1.6441270e-15%
40.259180	56.621790	39.793179	42.290192	010	012	0002677	 000000002359	1.6441270e-15%
45.052414	56.621790	39.793687	42.288374	016	005	0002694	 000000002383	1.6441270e-15%
39.942273	56.621790	39.799442	42.267799	012	011	0002719	 000000002406	1.6441270e-15%
51.996502	56.621790	39.809058	42.233435	013	007	0002761	 000000002428	1.6441270e-15%

### Final Log ###

Termination Reason: Optimal
OPTIMAL SOLUTION FOUND
Function objective value: 39.828982324496444
Sum of infeasibilities: 0.000003234790205
Sequence: 0 21 23 18 10 24 12 31 32 37 19 36 9 27 20 4 26 8 2 13 28 39 
Solution: 

Number of Resolved Nodes: 3067
Pruned tree percentage: 0.000000000000002%
Computed Tree Percentage: 0.000000000000000%
Total: 0.000000000000002
Time total: 1.531752000000000
Time S.B: 1.511326000000000
Time SOCP: 1.333521999999998
Iterations to incumbent: 2779
Peak Memory Consumption: 19384
#################
Warm Start Time: 0.152199999999999
    init Time: 0.000053000000000
    construct Time: 0.152146999999999
        solve Time: 0.145995000000004
SOCPs solved: 3117
Solvers made: 20
SOCP Internal Iterations: 21858
SOCP Internal Solve Time: 1.605525808000001
SOCP Setup Time: 0.427596930000004
    SOCP Equilibration Time: 0.056627202000000
    SOCP KKT init Time: 0.327075122000002
SOCP initialization Time: 0.003379312000000
SOCP IP Iteration Time: 1.173976309999998
    SOCP KKT Update Time: 0.543054535000000
    SOCP KKT Solve Time: 0.443117218000000

