Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-50-6
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 51
Initial Upper Bound: 999.00000000
Average radius size: 1.00000000
Using variable selection rule #1!
Size of the tree: 1.55175266e+64
Raiz: 0 39 10 
Initial root: 0 39 10 
Value of objective function: 3.41848127e+01
SolverStatus: Solved
Solution: 
( 4.04111000e+00, 9.16257000e+00, 0.00000000e+00 )
( 1.45893093e+01, 7.07805616e-01, 0.00000000e+00 )
( 1.01882690e+00, 2.94562453e+00, 0.00000000e+00 )
( 4.04111000e+00, 9.16257000e+00, 0.00000000e+00 )

Not covered in root: 15 19 31 34 29 22 2 16 28 30 7 17 41 21 42 47 37 5 12 23 44 11 49 27 20 38 26 25 24 48 36 46 18 43 35 45 32 1 14 40 3 4 6 50 8 9 13 33 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
38.038500		- 	34.184813		- 	002	021	0000004	 000000000002	0.0000000%
50.594389		- 	39.718625		- 	005	020	0000030	 000000000022	0.0000000%
44.677036		- 	40.173441		- 	006	012	0000058	 000000000043	0.0000000%
41.097500		- 	40.674169		- 	006	019	0000081	 000000000065	0.0000000%
48.390108		- 	41.097500		- 	007	012	0000104	 000000000087	0.0000000%
55.922771		- 	41.330644		- 	007	012	0000129	 000000000109	0.0000000%
49.524989		- 	41.493533		- 	008	010	0000152	 000000000131	0.0000000%
48.867078		- 	41.582186		- 	006	015	0000179	 000000000153	0.0000000%
46.207140		- 	41.703537		- 	005	010	0000207	 000000000175	0.0000000%
45.873254		- 	41.764762		- 	009	013	0000236	 000000000197	0.0000000%
47.935201		- 	41.787080		- 	006	017	0000253	 000000000220	0.0000000%
42.654304		- 	41.801367		- 	008	014	0000280	 000000000242	0.0000000%
50.218371		- 	41.839675		- 	012	009	0000303	 000000000265	0.0000000%
45.775953		- 	41.949004		- 	009	011	0000334	 000000000287	0.0000000%
48.736863		- 	41.961004		- 	011	011	0000355	 000000000310	0.0000000%
42.320709		- 	42.031388		- 	008	011	0000384	 000000000332	0.0000000%
42.375996		- 	42.040523		- 	008	017	0000407	 000000000355	0.0000000%
44.416173		- 	42.091118		- 	010	010	0000437	 000000000377	0.0000000%
42.458357		- 	42.142931		- 	006	016	0000455	 000000000400	0.0000000%
58.922123		- 	42.168839		- 	010	009	0000478	 000000000423	0.0000000%
49.969713		- 	42.214025		- 	012	014	0000512	 000000000445	0.0000000%
53.524089		- 	42.217776		- 	009	009	0000533	 000000000468	0.0000000%
53.991829		- 	42.225341		- 	009	010	0000561	 000000000490	0.0000000%
44.454376		- 	42.249683		- 	011	008	0000583	 000000000513	0.0000000%
46.977412		- 	42.276460		- 	011	014	0000606	 000000000536	0.0000000%
58.282018		- 	42.286253		- 	011	008	0000630	 000000000559	0.0000000%
43.256922		- 	42.321940		- 	004	016	0000656	 000000000581	0.0000000%
51.762473		- 	42.364680		- 	011	008	0000678	 000000000604	0.0000000%
43.742269		- 	42.379583		- 	009	010	0000711	 000000000626	0.0000000%
49.286274		- 	42.385654		- 	012	011	0000735	 000000000649	0.0000000%
52.386670		- 	42.393829		- 	012	009	0000761	 000000000672	0.0000000%
50.990958		- 	42.435533		- 	009	012	0000778	 000000000695	0.0000000%
42.873655		- 	42.469792		- 	007	016	0000806	 000000000717	0.0000000%
51.985047		- 	42.480343		- 	007	016	0000827	 000000000740	0.0000000%
45.229989		- 	42.496324		- 	008	017	0000860	 000000000762	0.0000000%
49.026276		- 	42.504788		- 	010	009	0000879	 000000000785	0.0000000%
46.290060		- 	42.514427		- 	009	010	0000910	 000000000806	0.0000000%
54.583215		- 	42.534647		- 	009	006	0000930	 000000000829	0.0000000%
49.444372		- 	42.546463		- 	010	011	0000961	 000000000851	0.0000000%
46.852795		- 	42.555000		- 	008	016	0000984	 000000000874	0.0000000%
52.740870		- 	42.573384		- 	009	009	0001004	 000000000897	0.0000000%
48.805936		- 	42.576762		- 	012	007	0001027	 000000000920	0.0000000%
42.895844		- 	42.594951		- 	013	008	0001065	 000000000942	0.0000000%
50.537944		- 	42.594951		- 	013	008	0001079	 000000000966	0.0000000%
53.069758		- 	42.607796		- 	012	009	0001105	 000000000989	0.0000000%
51.597659		- 	42.624174		- 	010	011	0001130	 000000001012	0.0000000%
51.986632		- 	42.654304		- 	009	010	0001152	 000000001035	0.0000000%
52.676880		- 	42.660613		- 	006	011	0001178	 000000001057	0.0000000%
51.270286		- 	42.681697		- 	012	009	0001212	 000000001079	0.0000000%
42.995077		- 	42.694184		- 	013	008	0001240	 000000001102	0.0000000%
55.935443		- 	42.708101		- 	013	007	0001254	 000000001126	0.0000000%
49.177901		- 	42.719882		- 	011	007	0001286	 000000001148	0.0000000%
47.759718		- 	42.736598		- 	010	012	0001309	 000000001171	0.0000000%
57.483584		- 	42.745713		- 	014	009	0001334	 000000001194	0.0000000%
46.672494		- 	42.755650		- 	012	018	0001360	 000000001217	0.0000000%
51.417234		- 	42.760561		- 	014	007	0001385	 000000001240	0.0000000%
53.657795		- 	42.771358		- 	007	015	0001407	 000000001263	0.0000000%
47.415438		- 	42.792932		- 	013	011	0001433	 000000001286	0.0000000%
57.112413		- 	42.799520		- 	010	006	0001455	 000000001309	0.0000000%
47.544862		- 	42.815558		- 	010	008	0001478	 000000001332	0.0000000%
55.400674		- 	42.823486		- 	014	010	0001503	 000000001355	0.0000000%
63.115492		- 	42.830225		- 	012	010	0001527	 000000001378	0.0000000%
45.527409		- 	42.847735		- 	010	008	0001560	 000000001400	0.0000000%
51.055531		- 	42.852032		- 	014	006	0001586	 000000001423	0.0000000%
49.902058		- 	42.858779		- 	009	013	0001611	 000000001446	0.0000000%
47.826655		- 	42.866991		- 	010	012	0001634	 000000001469	0.0000000%
48.215288		- 	42.874428		- 	010	010	0001654	 000000001492	0.0000000%
55.533941		- 	42.881538		- 	011	011	0001688	 000000001514	0.0000000%
45.670181		- 	42.883234		- 	014	008	0001703	 000000001538	0.0000000%
56.123471		- 	42.895844		- 	014	006	0001729	 000000001561	0.0000000%
47.165336		- 	42.895848		- 	012	010	0001757	 000000001584	0.0000000%
57.740968		- 	42.911159		- 	010	006	0001779	 000000001607	0.0000000%
59.362048		- 	42.915531		- 	012	008	0001805	 000000001630	0.0000000%
57.559043		- 	42.943410		- 	012	008	0001830	 000000001653	0.0000000%
43.236267		- 	42.945950		- 	010	009	0001862	 000000001675	0.0000000%
43.584978		- 	42.950163		- 	008	013	0001881	 000000001698	0.0000000%
