Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: CETSP-50-9
directory: Behdani
option: 2D
OPTION 2D ACTIVATED, Z COORDINATES BECAME 0
Instance Size: 51
Initial Upper Bound: 999.00000000
Average radius size: 1.00000000
Using variable selection rule #1!
Size of the tree: 1.55175266e+64
Raiz: 0 23 34 
Initial root: 0 23 34 
Value of objective function: 2.82496376e+01
SolverStatus: Solved
Solution: 
( 1.27473000e+01, 6.76847000e+00, 0.00000000e+00 )
( 2.72254298e+00, 1.86998695e+00, 0.00000000e+00 )
( 1.37522860e+01, 8.38785530e-01, 0.00000000e+00 )
( 1.27473000e+01, 6.76847000e+00, 0.00000000e+00 )

Not covered in root: 41 26 37 20 40 4 36 16 49 48 28 42 31 13 35 46 29 38 3 44 18 30 15 39 2 50 33 12 25 8 7 6 17 21 47 9 32 45 10 43 19 11 14 22 24 27 1 5 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
34.096329		- 	28.249638		- 	002	035	0000004	 000000000002	0.0000000%
39.178889		- 	38.028805		- 	005	024	0000029	 000000000022	0.0000000%
44.119381		- 	38.821479		- 	005	026	0000052	 000000000043	0.0000000%
43.451035		- 	39.279771		- 	006	020	0000079	 000000000064	0.0000000%
41.190609		- 	39.578067		- 	006	025	0000105	 000000000085	0.0000000%
48.279014		- 	39.882703		- 	007	022	0000130	 000000000107	0.0000000%
48.657665		- 	40.274430		- 	007	022	0000158	 000000000128	0.0000000%
52.029805		- 	40.394377		- 	007	020	0000182	 000000000150	0.0000000%
55.960111		- 	40.728587		- 	009	017	0000210	 000000000172	0.0000000%
44.145148		- 	40.858464		- 	005	023	0000229	 000000000194	0.0000000%
45.222009		- 	40.987570		- 	009	023	0000257	 000000000216	0.0000000%
49.082500		- 	41.092394		- 	008	025	0000280	 000000000238	0.0000000%
46.013380		- 	41.238964		- 	008	018	0000308	 000000000260	0.0000000%
47.371171		- 	41.326933		- 	008	017	0000332	 000000000282	0.0000000%
49.480099		- 	41.571951		- 	005	030	0000355	 000000000304	0.0000000%
43.158653		- 	41.620770		- 	008	020	0000383	 000000000326	0.0000000%
50.053784		- 	41.657297		- 	009	022	0000405	 000000000349	0.0000000%
43.913043		- 	41.713217		- 	006	019	0000429	 000000000371	0.0000000%
49.049329		- 	41.743476		- 	010	020	0000457	 000000000393	0.0000000%
42.630571		- 	41.832158		- 	008	020	0000482	 000000000415	0.0000000%
52.921735		- 	41.872297		- 	009	019	0000511	 000000000437	0.0000000%
46.159079		- 	41.945958		- 	006	015	0000527	 000000000460	0.0000000%
44.378006		- 	42.065521		- 	007	022	0000554	 000000000482	0.0000000%
60.337595		- 	42.195640		- 	011	017	0000580	 000000000504	0.0000000%
45.715019		- 	42.294392		- 	009	024	0000611	 000000000526	0.0000000%
45.719053		- 	42.318018		- 	009	018	0000635	 000000000548	0.0000000%
53.408997		- 	42.395295		- 	008	018	0000652	 000000000571	0.0000000%
45.426651		- 	42.442614		- 	009	017	0000683	 000000000593	0.0000000%
51.154455		- 	42.464071		- 	012	014	0000714	 000000000615	0.0000000%
60.912607		- 	42.492582		- 	011	011	0000732	 000000000638	0.0000000%
47.624403		- 	42.528746		- 	008	021	0000760	 000000000660	0.0000000%
43.754775		- 	42.549582		- 	007	019	0000778	 000000000683	0.0000000%
48.009348		- 	42.565968		- 	010	020	0000806	 000000000705	0.0000000%
49.858008		- 	42.594531		- 	010	015	0000835	 000000000727	0.0000000%
53.928710		- 	42.629294		- 	010	016	0000858	 000000000750	0.0000000%
43.679210		- 	42.655699		- 	008	016	0000877	 000000000773	0.0000000%
44.395087		- 	42.687697		- 	008	023	0000909	 000000000795	0.0000000%
45.169147		- 	42.736503		- 	010	019	0000930	 000000000818	0.0000000%
52.576308		- 	42.775032		- 	010	018	0000960	 000000000840	0.0000000%
50.211209		- 	42.808616		- 	007	025	0000978	 000000000863	0.0000000%
61.408222		- 	42.828420		- 	010	009	0001008	 000000000885	0.0000000%
43.871985		- 	42.839602		- 	010	021	0001029	 000000000908	0.0000000%
46.531655		- 	42.861747		- 	008	018	0001058	 000000000930	0.0000000%
57.457977		- 	42.867345		- 	008	019	0001079	 000000000953	0.0000000%
51.223543		- 	42.882866		- 	010	017	0001108	 000000000975	0.0000000%
49.328530		- 	42.890281		- 	008	017	0001130	 000000000998	0.0000000%
44.233648		- 	42.905949		- 	011	018	0001153	 000000001021	0.0000000%
44.009055		- 	42.959015		- 	009	018	0001184	 000000001043	0.0000000%
44.587200		- 	42.963622		- 	009	018	0001203	 000000001066	0.0000000%
45.967746		- 	42.974419		- 	009	021	0001231	 000000001088	0.0000000%
44.604538		- 	43.003140		- 	006	027	0001254	 000000001110	0.0000000%
49.964233		- 	43.015527		- 	010	012	0001282	 000000001132	0.0000000%
45.218804		- 	43.033559		- 	013	012	0001313	 000000001154	0.0000000%
60.858905		- 	43.057048		- 	007	018	0001331	 000000001177	0.0000000%
51.663157		- 	43.097011		- 	010	016	0001353	 000000001200	0.0000000%
