Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: bonus1000
directory: RND
option: 3D
Instance Size: 1001
Initial Upper Bound: 941.34843368
Average radius size: 12.00000000
Using variable selection rule #1!
Size of the tree: 2.01395025e+2567
Raiz: 0 996 820 
Initial root: 0 996 820 
Value of objective function: 2.53075221e+02
SolverStatus: Solved
Solution: 
( 8.00000000e+01, 2.00000000e+01, 0.00000000e+00 )
( 6.63407251e+00, 8.82330970e+01, 3.35331235e+01 )
( 1.35839676e+01, 1.39054145e+01, 2.98817757e+00 )
( 8.00000000e+01, 2.00000000e+01, 0.00000000e+00 )

Not covered in root: 25 936 897 991 135 377 691 479 586 828 326 901 500 206 732 862 322 149 654 666 159 52 255 315 357 672 456 626 550 160 289 831 749 821 747 187 42 277 825 470 423 744 872 782 145 864 179 853 590 628 1000 919 534 245 969 107 992 826 23 348 890 440 573 959 71 336 483 471 183 904 874 487 945 630 892 349 503 62 517 204 988 118 522 301 975 845 390 538 157 696 383 83 309 172 317 264 547 895 751 372 846 960 40 761 248 830 690 589 105 624 985 171 824 781 215 585 882 860 5 720 565 773 18 770 355 859 512 675 388 912 400 753 939 616 265 321 447 660 955 232 242 879 414 380 110 394 166 278 51 676 983 684 269 908 542 982 374 633 263 545 510 581 809 288 223 126 515 677 910 421 250 294 970 656 877 339 893 575 875 869 12 418 734 397 203 202 832 659 425 324 489 667 466 208 139 152 284 98 108 501 175 995 53 648 1 192 888 759 907 296 200 347 774 776 559 822 275 454 621 455 748 745 344 876 688 726 940 834 140 881 399 784 409 634 181 855 136 840 665 398 858 788 642 73 338 151 462 313 412 174 619 570 800 661 13 808 833 61 685 861 9 950 358 106 335 679 473 527 219 438 449 968 426 699 58 463 760 948 170 67 789 867 655 72 392 790 526 721 625 637 519 700 520 323 714 319 217 404 664 611 843 673 554 401 536 561 560 287 588 22 885 146 90 28 604 762 484 584 653 958 384 256 88 246 92 891 623 68 129 818 829 244 783 20 318 78 446 856 96 431 635 443 308 730 535 341 678 839 957 476 668 863 422 943 91 292 807 81 205 191 211 617 109 816 569 532 662 994 314 736 601 233 903 252 674 949 768 713 364 150 731 652 362 810 94 755 80 112 643 36 613 596 587 195 639 928 230 929 393 932 842 365 622 310 976 514 369 997 125 523 450 837 261 44 212 273 188 406 375 702 436 704 898 865 915 645 234 638 82 351 444 794 998 311 669 210 803 198 687 257 241 403 815 415 84 124 474 567 354 367 693 775 894 497 451 15 568 164 544 944 710 595 193 651 27 74 967 521 293 407 420 657 620 340 609 352 262 942 419 120 541 599 29 328 592 718 59 432 946 491 190 48 21 298 819 147 373 283 197 396 297 306 435 769 971 102 697 716 286 459 531 11 914 795 952 670 889 926 345 750 772 927 598 65 8 439 46 715 757 37 925 987 49 331 629 26 229 706 602 546 791 268 931 947 141 385 227 272 312 631 725 24 981 848 563 260 482 504 35 902 38 457 7 240 961 93 238 937 144 424 972 873 540 847 307 282 549 281 433 402 428 989 254 953 303 920 886 168 984 812 300 884 379 486 610 644 249 916 480 555 387 557 694 236 472 405 434 128 207 681 539 216 34 47 123 70 54 2 158 852 591 76 182 115 502 647 780 779 103 742 161 703 993 185 33 921 698 717 798 870 817 86 127 458 441 490 712 962 427 334 386 251 199 343 4 408 979 492 295 122 518 934 763 481 906 854 64 153 558 430 799 130 180 917 835 496 467 805 316 850 231 841 116 941 990 111 640 85 132 615 741 224 923 165 332 729 274 814 618 69 719 189 41 95 134 378 113 163 226 142 708 143 17 131 360 39 778 162 99 391 857 851 395 382 429 556 194 389 553 178 177 849 196 176 999 437 417 562 899 416 900 896 413 186 905 887 411 909 410 566 184 911 913 883 880 878 564 871 868 866 505 222 513 966 511 965 509 508 507 506 516 221 964 963 499 498 220 495 494 493 528 614 235 537 237 533 986 228 530 529 239 225 525 524 980 978 977 974 973 452 464 933 461 460 253 543 930 548 453 465 201 551 924 448 922 445 442 918 478 956 488 954 218 485 243 214 213 951 552 477 247 475 938 209 469 468 935 97 114 600 138 137 711 104 603 101 100 709 117 707 133 705 89 701 87 695 692 79 733 148 271 270 738 597 267 266 737 735 689 728 259 258 727 724 121 723 119 722 608 19 641 16 14 636 3 632 6 607 55 10 50 627 30 31 32 45 612 43 605 77 75 686 683 682 680 671 66 63 739 663 60 658 650 606 649 57 646 56 342 811 353 806 350 804 802 801 346 577 576 797 796 169 337 793 792 333 167 330 368 571 572 844 376 838 173 836 371 370 329 827 366 823 574 363 361 359 813 356 154 583 156 758 155 756 754 291 290 752 299 746 285 743 593 594 280 279 276 740 771 578 327 325 787 786 785 320 777 579 381 767 766 765 764 580 305 304 582 302 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
293.51840		- 	253.07522		- 	002	706	0000004	 000000000002	0.0000000%
388.64746		- 	375.03656		- 	007	596	0000508	 000000000426	0.0000000%
557.61023		- 	388.93037		- 	008	501	0001010	 000000000862	0.0000000%
576.85818		- 	394.39660		- 	007	442	0001507	 000000001301	0.0000000%
494.38764		- 	400.05717		- 	008	479	0002003	 000000001742	0.0000000%
483.96661		- 	404.58065		- 	009	527	0002510	 000000002184	0.0000000%
485.41608		- 	406.69291		- 	009	469	0003002	 000000002630	0.0000000%
424.46127		- 	409.01164		- 	009	554	0003505	 000000003074	0.0000000%
436.87689		- 	410.74953		- 	010	512	0004009	 000000003519	0.0000000%
459.24836		- 	412.38662		- 	009	556	0004509	 000000003966	0.0000000%
424.10682		- 	413.99321		- 	009	593	0005011	 000000004411	0.0000000%
449.91925		- 	415.37144		- 	010	516	0005507	 000000004859	0.0000000%
530.66945		- 	416.66367		- 	008	502	0006008	 000000005306	0.0000000%
457.58340		- 	417.84220		- 	010	575	0006509	 000000005754	0.0000000%
441.53037		- 	418.73412		- 	008	535	0007002	 000000006203	0.0000000%
444.07068		- 	419.59040		- 	009	522	0007503	 000000006652	0.0000000%
514.00296		- 	420.64144		- 	009	456	0008011	 000000007099	0.0000000%
469.86469		- 	421.52483		- 	009	530	0008504	 000000007550	0.0000000%
464.23705		- 	422.41332		- 	010	510	0009003	 000000008000	0.0000000%
437.65554		- 	423.17669		- 	011	499	0009508	 000000008450	0.0000000%
481.69779		- 	423.92181		- 	010	528	0010006	 000000008902	0.0000000%
481.60174		- 	424.52068		- 	008	545	0010505	 000000009354	0.0000000%
574.74721		- 	425.20188		- 	009	474	0011002	 000000009805	0.0000000%
498.87272		- 	425.71202		- 	009	470	0011506	 000000010256	0.0000000%
456.22247		- 	426.23502		- 	009	541	0012007	 000000010706	0.0000000%
453.80790		- 	426.97579		- 	010	522	0012511	 000000011157	0.0000000%
545.48502		- 	427.56993		- 	010	521	0013008	 000000011610	0.0000000%
509.00180		- 	428.03888		- 	010	475	0013504	 000000012061	0.0000000%
443.71715		- 	428.46956		- 	010	511	0014004	 000000012511	0.0000000%
459.41277		- 	428.96288		- 	007	592	0014507	 000000012963	0.0000000%
472.41647		- 	429.36271		- 	011	494	0015008	 000000013415	0.0000000%
464.92367		- 	429.70390		- 	007	504	0015508	 000000013868	0.0000000%
537.53204		- 	430.12164		- 	011	513	0016013	 000000014320	0.0000000%
446.55834		- 	430.45003		- 	011	572	0016506	 000000014773	0.0000000%
459.74266		- 	430.84016		- 	010	542	0017006	 000000015225	0.0000000%
471.33732		- 	431.22513		- 	009	539	0017505	 000000015677	0.0000000%
493.51259		- 	431.57491		- 	010	530	0018009	 000000016131	0.0000000%
515.79302		- 	431.96804		- 	009	439	0018505	 000000016584	0.0000000%
469.70637		- 	432.32772		- 	008	516	0019010	 000000017037	0.0000000%
460.85618		- 	432.63523		- 	011	538	0019509	 000000017490	0.0000000%
487.00569		- 	433.03095		- 	011	556	0020007	 000000017943	0.0000000%
472.93246		- 	433.28830		- 	011	572	0020509	 000000018395	0.0000000%
580.43994		- 	433.58189		- 	011	382	0021012	 000000018848	0.0000000%
532.46881		- 	433.73507		- 	011	438	0021502	 000000019303	0.0000000%
472.00009		- 	434.08184		- 	009	518	0022009	 000000019756	0.0000000%
473.33765		- 	434.34865		- 	010	565	0022508	 000000020209	0.0000000%
455.85378		- 	434.59199		- 	009	586	0023009	 000000020661	0.0000000%
481.72007		- 	434.82960		- 	012	476	0023510	 000000021114	0.0000000%
450.56112		- 	435.13323		- 	010	549	0024005	 000000021569	0.0000000%
448.73970		- 	435.37846		- 	010	554	0024508	 000000022022	0.0000000%
452.19789		- 	435.60779		- 	013	486	0025012	 000000022476	0.0000000%
523.46239		- 	435.85578		- 	010	495	0025502	 000000022929	0.0000000%
448.51364		- 	436.07582		- 	011	523	0026013	 000000023382	0.0000000%
452.38976		- 	436.36636		- 	008	607	0026506	 000000023837	0.0000000%
499.28340		- 	436.56675		- 	011	499	0027005	 000000024291	0.0000000%
490.55140		- 	436.79338		- 	009	510	0027507	 000000024744	0.0000000%
500.60415		- 	436.98391		- 	011	463	0028009	 000000025199	0.0000000%
463.71050		- 	437.18629		- 	007	538	0028507	 000000025653	0.0000000%
482.42466		- 	437.38053		- 	011	501	0029003	 000000026107	0.0000000%
474.08595		- 	437.61589		- 	011	514	0029507	 000000026558	0.0000000%
469.11092		- 	437.84883		- 	010	536	0030005	 000000027014	0.0000000%
487.55896		- 	438.06679		- 	012	532	0030507	 000000027469	0.0000000%
462.05573		- 	438.29020		- 	011	503	0031004	 000000027924	0.0000000%
518.27127		- 	438.47986		- 	011	394	0031506	 000000028379	0.0000000%
