Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: d493rdmRad
directory: RND
option: 3D
Instance Size: 493
Initial Upper Bound: 761.06541130
Average radius size: 5.03416057
Using variable selection rule #2!
Size of the tree: 1.65556078e+1112
Raiz: 0 322 103 
Initial root: 0 322 103 
Value of objective function: 3.30881531e+02
SolverStatus: Solved
Solution: 
( 0.00000000e+00, 0.00000000e+00, 0.00000000e+00 )
( 2.96913719e+01, 1.38804507e+01, 1.46430556e+02 )
( 3.09432099e+01, 2.67080006e+01, 7.81690499e+00 )
( 0.00000000e+00, 0.00000000e+00, 0.00000000e+00 )

Not covered in root: 71 1 69 73 79 455 67 6 89 66 395 2 372 452 437 77 18 440 55 61 3 68 70 460 17 453 448 314 72 476 75 10 473 417 309 464 28 463 95 74 19 481 368 90 63 343 14 244 407 421 82 7 29 22 4 487 222 488 339 359 65 491 441 24 323 304 419 83 80 47 56 5 480 54 37 424 366 43 486 326 361 64 42 331 490 412 468 81 190 16 107 96 482 382 8 9 479 31 400 333 306 375 432 386 117 213 365 207 371 280 121 489 414 308 13 461 472 469 274 423 307 409 33 159 456 84 93 391 462 11 360 258 434 450 120 91 477 48 78 112 204 447 199 416 87 58 364 310 303 122 201 172 318 115 475 260 106 355 330 94 457 299 157 128 352 433 100 356 208 223 467 443 388 195 282 389 465 279 451 474 415 134 153 328 225 59 230 146 321 351 38 137 253 357 36 149 354 262 173 471 338 263 12 492 470 39 298 383 296 99 341 284 459 408 273 188 348 60 196 332 429 320 300 410 15 62 431 393 337 397 235 390 444 377 194 166 76 276 266 23 345 325 20 34 458 49 145 247 242 111 255 384 259 445 478 311 438 189 25 160 114 439 44 234 483 427 293 52 224 186 45 202 301 418 35 102 248 86 446 174 110 209 401 256 485 270 206 268 267 358 177 178 454 119 88 264 466 158 21 148 98 252 342 105 85 154 147 163 215 227 53 236 295 26 50 51 141 109 238 181 347 329 250 350 373 426 217 484 198 118 205 101 297 286 392 404 180 113 46 278 302 428 130 387 379 277 162 175 240 254 176 164 251 241 171 170 169 168 243 245 167 246 165 249 184 197 200 193 203 192 191 257 210 211 212 187 214 216 185 239 218 219 220 221 183 182 226 228 229 231 232 233 237 179 125 285 283 281 275 272 271 269 265 261 127 126 287 124 123 362 116 363 108 367 104 97 369 370 346 336 335 334 340 327 324 344 319 317 316 315 92 313 312 349 305 353 294 292 291 290 289 288 136 30 32 40 41 449 57 129 131 132 133 135 442 138 139 140 142 143 144 150 151 152 155 156 403 374 376 378 380 381 385 394 396 398 399 402 161 405 406 27 411 413 420 422 425 430 435 436 
INFEASIBLE ROOT

Using variable selection rule #2!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
347.40498		- 	330.88153		- 	002	343	0000004	 000000000002	0.0000000%
383.81282		- 	378.15657		- 	007	309	0000255	 000000000209	0.0000000%
389.27393		- 	383.81282		- 	008	287	0000496	 000000000425	0.0000000%
589.66757		- 	388.00929		- 	009	216	0000745	 000000000640	0.0000000%
589.31753		- 	390.30007		- 	007	290	0000991	 000000000857	0.0000000%
562.82535		- 	392.53205		- 	007	281	0001238	 000000001075	0.0000000%
593.92469		- 	394.36375		- 	008	291	0001483	 000000001294	0.0000000%
427.73429		- 	396.12344		- 	008	267	0001730	 000000001513	0.0000000%
413.21365		- 	396.97348		- 	008	290	0001973	 000000001733	0.0000000%
410.31076		- 	397.83707		- 	008	272	0002223	 000000001952	0.0000000%
564.72641		- 	398.71445		- 	010	286	0002468	 000000002172	0.0000000%
489.34115		- 	399.85174		- 	007	249	0002713	 000000002392	0.0000000%
427.20693		- 	400.47129		- 	008	270	0002960	 000000002611	0.0000000%
521.62055		- 	401.15841		- 	009	250	0003205	 000000002831	0.0000000%
437.45922		- 	401.85605		- 	009	241	0003451	 000000003051	0.0000000%
409.55876		- 	402.55181		- 	009	255	0003701	 000000003272	0.0000000%
564.00924		- 	403.04509		- 	009	303	0003943	 000000003493	0.0000000%
425.78100		- 	403.42459		- 	009	230	0004192	 000000003714	0.0000000%
414.55405		- 	403.99320		- 	007	334	0004432	 000000003936	0.0000000%
471.02673		- 	404.50427		- 	007	279	0004676	 000000004157	0.0000000%
506.81230		- 	404.85593		- 	009	260	0004922	 000000004379	0.0000000%
574.38843		- 	405.13804		- 	009	203	0005171	 000000004600	0.0000000%
528.25860		- 	405.62482		- 	011	260	0005423	 000000004820	0.0000000%
576.31358		- 	405.90708		- 	010	225	0005664	 000000005043	0.0000000%
414.39871		- 	406.27887		- 	008	281	0005914	 000000005264	0.0000000%
465.49687		- 	406.68521		- 	008	237	0006157	 000000005486	0.0000000%
529.65327		- 	407.10225		- 	010	219	0006404	 000000005707	0.0000000%
457.70704		- 	407.57505		- 	008	277	0006651	 000000005929	0.0000000%
489.80223		- 	407.90439		- 	009	231	0006898	 000000006151	0.0000000%
424.59568		- 	408.17529		- 	009	256	0007140	 000000006374	0.0000000%
473.16273		- 	408.50096		- 	009	265	0007390	 000000006596	0.0000000%
447.99246		- 	408.81688		- 	008	261	0007629	 000000006819	0.0000000%
562.39644		- 	409.13023		- 	009	226	0007879	 000000007041	0.0000000%
477.42995		- 	409.46466		- 	009	231	0008121	 000000007265	0.0000000%
514.13735		- 	409.60460		- 	010	228	0008369	 000000007488	0.0000000%
485.17473		- 	409.81297		- 	010	227	0008615	 000000007711	0.0000000%
504.65452		- 	410.01828		- 	009	210	0008859	 000000007934	0.0000000%
420.96101		- 	410.19266		- 	011	260	0009113	 000000008156	0.0000000%
415.76479		- 	410.30981		- 	010	250	0009355	 000000008379	0.0000000%
431.82260		- 	410.52435		- 	010	224	0009601	 000000008602	0.0000000%
467.66845		- 	410.73155		- 	009	272	0009846	 000000008826	0.0000000%
416.97553		- 	410.95188		- 	010	245	0010091	 000000009049	0.0000000%
452.09602		- 	411.15116		- 	008	250	0010340	 000000009271	0.0000000%
599.46225		- 	411.32560		- 	008	255	0010584	 000000009494	0.0000000%
478.65773		- 	411.48624		- 	011	251	0010826	 000000009718	0.0000000%
579.22796		- 	411.61643		- 	010	216	0011072	 000000009941	0.0000000%
516.94053		- 	411.80469		- 	009	216	0011321	 000000010164	0.0000000%
482.22085		- 	412.00432		- 	009	259	0011566	 000000010388	0.0000000%
481.25828		- 	412.15641		- 	011	221	0011812	 000000010611	0.0000000%
505.60820		- 	412.38498		- 	011	246	0012065	 000000010834	0.0000000%
426.28882		- 	412.55821		- 	009	239	0012311	 000000011057	0.0000000%
457.75928		- 	412.70974		- 	011	272	0012558	 000000011281	0.0000000%
425.36637		- 	412.83987		- 	010	301	0012803	 000000011504	0.0000000%
554.39255		- 	413.02695		- 	011	242	0013042	 000000011728	0.0000000%
493.71609		- 	413.20574		- 	011	232	0013288	 000000011951	0.0000000%
422.81674		- 	413.34272		- 	012	261	0013535	 000000012174	0.0000000%
520.62765		- 	413.54467		- 	008	266	0013778	 000000012398	0.0000000%
433.50277		- 	413.67640		- 	011	251	0014033	 000000012621	0.0000000%
418.32705		- 	413.82061		- 	011	235	0014274	 000000012845	0.0000000%
424.91106		- 	413.94412		- 	010	257	0014520	 000000013069	0.0000000%
424.02216		- 	414.06204		- 	010	280	0014762	 000000013293	0.0000000%
424.88560		- 	414.22216		- 	011	270	0015018	 000000013516	0.0000000%
482.33131		- 	414.34875		- 	009	262	0015261	 000000013740	0.0000000%
435.93232		- 	414.46893		- 	010	257	0015507	 000000013963	0.0000000%
447.33479		- 	414.66535		- 	010	254	0015755	 000000014186	0.0000000%
542.65473		- 	414.79536		- 	010	266	0015995	 000000014410	0.0000000%
620.55541		- 	414.92219		- 	010	217	0016248	 000000014633	0.0000000%
495.13276		- 	415.05403		- 	010	235	0016488	 000000014857	0.0000000%
451.54425		- 	415.18905		- 	011	289	0016741	 000000015081	0.0000000%
524.00176		- 	415.30428		- 	009	275	0016985	 000000015305	0.0000000%
547.97204		- 	415.39177		- 	011	258	0017229	 000000015529	0.0000000%
547.44521		- 	415.52298		- 	010	256	0017474	 000000015753	0.0000000%
471.55895		- 	415.61983		- 	012	256	0017726	 000000015977	0.0000000%
453.85909		- 	415.72340		- 	011	259	0017969	 000000016201	0.0000000%
514.77504		- 	415.81345		- 	011	233	0018210	 000000016426	0.0000000%
530.28167		- 	415.93626		- 	011	242	0018462	 000000016650	0.0000000%
531.01409		- 	416.04098		- 	010	244	0018708	 000000016873	0.0000000%
642.48516		- 	416.15690		- 	010	199	0018950	 000000017098	0.0000000%
452.27379		- 	416.26919		- 	010	271	0019192	 000000017322	0.0000000%
422.02514		- 	416.38607		- 	010	243	0019441	 000000017546	0.0000000%
661.97296		- 	416.51523		- 	011	215	0019688	 000000017770	0.0000000%
446.62388		- 	416.61891		- 	009	250	0019929	 000000017995	0.0000000%
638.55992		- 	416.73268		- 	008	220	0020175	 000000018219	0.0000000%
424.88651		- 	416.83011		- 	011	239	0020426	 000000018443	0.0000000%
432.20223		- 	416.93280		- 	011	251	0020669	 000000018668	0.0000000%
