Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: lin318rdmRad
directory: RND
option: 3D
Instance Size: 318
Initial Upper Bound: 2189.42623423
Average radius size: 41.52958991
Using variable selection rule #2!
Size of the tree: 3.26972547e+656
Raiz: 0 1 97 
Initial root: 0 1 97 
Value of objective function: 1.05571463e+03
SolverStatus: Solved
Solution: 
( 1.69300000e+02, 4.05500000e+02, 0.00000000e+00 )
( 3.89336334e+01, 2.88180596e+01, 1.18905495e+01 )
( 2.85729074e+02, 1.32495153e+01, 1.81663340e+01 )
( 1.69300000e+02, 4.05500000e+02, 0.00000000e+00 )

Not covered in root: 214 215 218 304 213 224 309 312 305 227 244 212 205 219 310 298 228 109 308 163 203 60 210 108 220 119 63 223 217 39 239 114 234 301 291 241 211 100 75 115 231 296 110 80 74 293 116 148 113 36 238 69 2 42 62 164 168 216 280 316 306 41 269 303 226 317 245 27 265 225 229 44 145 208 221 222 268 121 232 311 173 160 130 106 297 122 118 55 161 263 206 81 240 259 14 198 125 307 165 166 91 162 61 290 270 174 199 10 287 285 277 9 156 82 59 84 159 71 47 313 12 154 73 111 275 185 200 207 86 254 146 117 299 256 204 246 153 243 255 247 258 158 157 209 155 233 141 142 143 144 257 147 230 149 242 235 236 150 151 152 237 253 186 250 194 179 180 181 182 183 184 178 187 188 189 190 191 251 192 172 193 248 167 252 169 170 201 171 202 249 197 196 195 175 176 177 94 124 123 120 112 107 105 104 103 102 101 99 98 96 95 126 93 92 90 89 88 87 85 83 79 78 77 76 72 70 279 315 314 302 300 295 294 292 289 288 286 284 283 282 281 68 278 276 274 273 272 271 267 266 264 262 261 260 128 127 52 32 33 34 35 37 38 40 43 45 46 48 49 50 51 31 53 54 56 57 58 131 132 133 134 135 136 137 138 139 19 67 66 65 64 30 29 28 26 25 24 23 22 21 20 140 18 17 16 15 129 3 4 5 6 7 8 11 13 
INFEASIBLE ROOT

Using variable selection rule #2!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
1137.2896		- 	1055.7146		- 	002	138	0000004	 000000000002	0.0000000%
2112.8083		- 	1434.2817		- 	006	092	0000161	 000000000136	0.0000000%
1542.4346		- 	1486.1717		- 	005	112	0000322	 000000000274	0.0000000%
1559.1883		- 	1500.3863		- 	006	112	0000483	 000000000413	0.0000000%
1557.2173		- 	1519.0360		- 	005	136	0000647	 000000000552	0.0000000%
1827.5555		- 	1529.2357		- 	009	087	0000805	 000000000692	0.0000000%
1568.8987		- 	1537.4233		- 	007	140	0000969	 000000000832	0.0000000%
1809.2107		- 	1544.9984		- 	009	090	0001132	 000000000972	0.0000000%
1602.8522		- 	1553.1740		- 	008	101	0001287	 000000001114	0.0000000%
1822.7658		- 	1559.6886		- 	009	107	0001453	 000000001255	0.0000000%
1615.8493		- 	1563.9883		- 	009	100	0001616	 000000001394	0.0000000%
1685.0114		- 	1568.8987		- 	008	121	0001777	 000000001535	0.0000000%
1940.7132		- 	1574.3362		- 	010	074	0001938	 000000001677	0.0000000%
2089.5198		- 	1577.8651		- 	007	086	0002090	 000000001819	0.0000000%
2055.5162		- 	1582.7266		- 	010	070	0002252	 000000001960	0.0000000%
1841.4499		- 	1585.6141		- 	010	078	0002413	 000000002102	0.0000000%
1903.5051		- 	1589.3616		- 	010	074	0002577	 000000002244	0.0000000%
1884.2169		- 	1594.3028		- 	008	090	0002740	 000000002386	0.0000000%
1667.1793		- 	1597.3078		- 	009	090	0002904	 000000002529	0.0000000%
1707.4567		- 	1599.9398		- 	009	087	0003062	 000000002672	0.0000000%
1737.9953		- 	1602.5988		- 	009	081	0003230	 000000002814	0.0000000%
1947.5739		- 	1604.5438		- 	006	102	0003386	 000000002957	0.0000000%
1672.6139		- 	1607.6101		- 	009	088	0003555	 000000003098	0.0000000%
1668.8105		- 	1610.4666		- 	011	083	0003718	 000000003240	0.0000000%
2140.9717		- 	1613.1020		- 	011	082	0003887	 000000003382	0.0000000%
1937.5389		- 	1614.8352		- 	010	084	0004042	 000000003525	0.0000000%
1810.9728		- 	1616.8822		- 	007	099	0004205	 000000003668	0.0000000%
1653.3190		- 	1619.0147		- 	008	106	0004373	 000000003811	0.0000000%
1664.4366		- 	1620.6823		- 	009	085	0004543	 000000003953	0.0000000%
1824.9173		- 	1621.6498		- 	008	100	0004699	 000000004096	0.0000000%
2049.4822		- 	1623.8070		- 	009	078	0004858	 000000004239	0.0000000%
1755.4437		- 	1625.2201		- 	008	096	0005025	 000000004382	0.0000000%
2034.7643		- 	1626.9069		- 	009	083	0005192	 000000004525	0.0000000%
1879.8984		- 	1628.3274		- 	011	100	0005352	 000000004668	0.0000000%
1673.1418		- 	1629.7504		- 	009	078	0005516	 000000004811	0.0000000%
1821.6591		- 	1631.2529		- 	009	085	0005676	 000000004954	0.0000000%
1867.4122		- 	1632.7299		- 	005	101	0005838	 000000005095	0.0000000%
1684.5350		- 	1634.3930		- 	010	082	0006004	 000000005237	0.0000000%
1692.7071		- 	1636.5653		- 	010	098	0006169	 000000005381	0.0000000%
1942.8522		- 	1637.9346		- 	007	103	0006336	 000000005523	0.0000000%
1730.4139		- 	1638.9949		- 	010	083	0006507	 000000005666	0.0000000%
2178.0337		- 	1640.0836		- 	009	095	0006661	 000000005811	0.0000000%
2099.6372		- 	1641.3264		- 	010	070	0006845	 000000005953	0.0000000%
1805.9372		- 	1642.6147		- 	011	083	0007000	 000000006096	0.0000000%
1870.6672		- 	1644.5817		- 	012	075	0007176	 000000006239	0.0000000%
2187.3715		- 	1645.7093		- 	010	073	0007345	 000000006382	0.0000000%
2034.2394		- 	1646.7313		- 	009	087	0007503	 000000006525	0.0000000%
1871.2320		- 	1647.7763		- 	008	092	0007663	 000000006669	0.0000000%
1711.0173		- 	1648.8910		- 	010	073	0007823	 000000006812	0.0000000%
1865.2265		- 	1649.6247		- 	010	086	0007987	 000000006956	0.0000000%
1940.6295		- 	1650.7710		- 	009	082	0008145	 000000007099	0.0000000%
1861.6574		- 	1651.4526		- 	010	074	0008316	 000000007242	0.0000000%
1687.6113		- 	1652.3152		- 	008	098	0008484	 000000007385	0.0000000%
1891.8856		- 	1653.3190		- 	009	091	0008665	 000000007527	0.0000000%
1691.0308		- 	1654.1098		- 	009	079	0008831	 000000007669	0.0000000%
2080.9119		- 	1654.9931		- 	009	080	0008995	 000000007813	0.0000000%
1935.6979		- 	1655.8053		- 	007	102	0009158	 000000007957	0.0000000%
1796.2633		- 	1656.6442		- 	008	076	0009323	 000000008101	0.0000000%
1877.8966		- 	1657.4901		- 	012	085	0009491	 000000008243	0.0000000%
1837.3709		- 	1658.3620		- 	009	085	0009665	 000000008386	0.0000000%
1675.5607		- 	1659.0017		- 	009	107	0009835	 000000008529	0.0000000%
1823.3940		- 	1659.7018		- 	009	090	0010002	 000000008673	0.0000000%
1805.6150		- 	1660.2165		- 	010	085	0010161	 000000008817	0.0000000%
2033.5170		- 	1661.1186		- 	007	097	0010331	 000000008960	0.0000000%
1779.8309		- 	1662.3348		- 	009	102	0010499	 000000009103	0.0000000%
1884.6404		- 	1662.9711		- 	011	096	0010669	 000000009247	0.0000000%
