Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: pcb442rdmRad
directory: RND
option: 3D
Instance Size: 442
Initial Upper Bound: 258.40420926
Average radius size: 3.56916100
Using variable selection rule #2!
Size of the tree: 1.24422423e+976
Raiz: 0 375 32 
Initial root: 0 375 32 
Value of objective function: 9.91761976e+01
SolverStatus: Solved
Solution: 
( 0.00000000e+00, 0.00000000e+00, 0.00000000e+00 )
( 2.37912998e+01, 3.47670421e+01, 1.99501892e+00 )
( 2.00000004e+00, 3.50000000e+01, 3.00000000e+00 )
( 0.00000000e+00, 0.00000000e+00, 0.00000000e+00 )

Not covered in root: 342 341 351 433 348 350 281 352 347 279 346 340 354 283 314 285 270 426 339 309 428 274 239 317 349 355 276 435 282 289 358 269 315 308 353 271 318 266 313 277 424 284 235 273 310 343 292 311 400 312 440 421 238 243 287 364 434 291 344 286 244 406 280 319 288 267 357 363 321 234 356 360 246 295 227 240 290 323 366 417 186 359 278 185 149 316 361 362 320 161 228 405 322 300 431 293 324 396 401 325 297 248 241 374 369 294 328 415 296 251 242 430 197 299 229 121 150 245 326 425 253 221 372 407 99 250 399 146 169 389 196 252 174 162 333 110 122 105 441 74 130 371 368 373 127 147 114 172 385 151 103 136 306 365 336 133 329 194 108 303 254 247 101 298 419 168 397 429 144 72 79 89 173 93 223 188 378 391 418 255 387 211 232 145 81 380 6 31 331 4 82 58 231 75 403 3 85 68 410 47 176 132 370 195 143 155 334 157 224 19 63 131 275 138 367 376 134 83 125 84 71 216 179 120 249 230 338 123 26 175 39 154 206 33 304 62 189 41 98 88 394 9 404 23 345 148 377 335 302 393 12 386 436 327 80 48 111 135 237 160 159 236 158 256 225 233 156 226 167 137 153 152 139 140 141 142 191 183 184 212 210 209 187 208 207 190 213 192 205 204 203 202 193 201 200 199 217 222 220 163 219 218 164 165 166 198 257 170 171 215 214 177 178 180 181 182 116 301 272 268 265 264 263 262 261 260 259 126 124 119 118 117 305 115 113 112 109 107 106 104 102 100 97 96 95 94 92 402 439 438 437 432 427 423 422 420 416 414 413 412 411 409 408 91 398 395 392 390 388 384 383 382 381 379 337 332 330 307 42 60 2 5 7 8 10 11 13 30 34 35 36 37 38 40 258 43 44 45 46 49 50 51 52 53 54 55 56 57 59 29 90 87 86 78 77 76 73 70 69 67 66 65 64 61 129 28 27 25 24 22 21 20 18 17 16 15 14 128 1 
INFEASIBLE ROOT

Using variable selection rule #2!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
114.78394		- 	99.176198		- 	002	223	0000004	 000000000002	0.0000000%
186.26547		- 	141.79937		- 	006	158	0000224	 000000000188	0.0000000%
166.97901		- 	145.15103		- 	008	146	0000445	 000000000379	0.0000000%
175.27191		- 	147.12823		- 	007	147	0000671	 000000000570	0.0000000%
181.98468		- 	148.49726		- 	008	146	0000888	 000000000764	0.0000000%
159.98890		- 	149.70253		- 	009	152	0001115	 000000000957	0.0000000%
163.13006		- 	150.94768		- 	008	140	0001329	 000000001153	0.0000000%
163.76153		- 	151.81198		- 	008	143	0001552	 000000001347	0.0000000%
174.20197		- 	152.65286		- 	007	168	0001772	 000000001542	0.0000000%
160.29474		- 	153.19036		- 	009	151	0002000	 000000001737	0.0000000%
217.00705		- 	153.62967		- 	009	136	0002221	 000000001933	0.0000000%
159.38651		- 	154.11658		- 	006	165	0002435	 000000002129	0.0000000%
167.32018		- 	154.61868		- 	008	139	0002655	 000000002325	0.0000000%
174.80617		- 	154.97889		- 	009	143	0002878	 000000002520	0.0000000%
201.98304		- 	155.28020		- 	007	153	0003096	 000000002716	0.0000000%
160.85652		- 	155.57003		- 	008	166	0003322	 000000002913	0.0000000%
189.91687		- 	155.85509		- 	009	153	0003545	 000000003110	0.0000000%
193.92575		- 	156.22014		- 	008	164	0003760	 000000003306	0.0000000%
191.70819		- 	156.50640		- 	009	155	0003987	 000000003502	0.0000000%
217.57376		- 	156.78726		- 	010	147	0004201	 000000003700	0.0000000%
161.78987		- 	157.01103		- 	008	141	0004429	 000000003895	0.0000000%
162.41432		- 	157.25313		- 	008	161	0004645	 000000004093	0.0000000%
195.55675		- 	157.49918		- 	011	143	0004871	 000000004290	0.0000000%
188.33035		- 	157.80752		- 	009	164	0005094	 000000004487	0.0000000%
193.32680		- 	158.06604		- 	010	139	0005314	 000000004685	0.0000000%
189.93205		- 	158.26111		- 	008	158	0005527	 000000004883	0.0000000%
172.45312		- 	158.44792		- 	008	161	0005750	 000000005079	0.0000000%
190.81021		- 	158.70232		- 	008	166	0005977	 000000005276	0.0000000%
204.83709		- 	158.86239		- 	010	131	0006193	 000000005474	0.0000000%
179.69327		- 	158.99159		- 	008	163	0006417	 000000005671	0.0000000%
174.11726		- 	159.18425		- 	007	163	0006632	 000000005870	0.0000000%
210.42760		- 	159.37083		- 	010	141	0006859	 000000006068	0.0000000%
187.98423		- 	159.49922		- 	009	154	0007078	 000000006265	0.0000000%
163.77769		- 	159.63148		- 	009	157	0007303	 000000006463	0.0000000%
216.30919		- 	159.72484		- 	009	138	0007518	 000000006661	0.0000000%
184.31396		- 	159.88202		- 	009	148	0007743	 000000006859	0.0000000%
189.15133		- 	160.05183		- 	008	147	0007960	 000000007058	0.0000000%
173.40418		- 	160.14584		- 	008	140	0008182	 000000007256	0.0000000%
170.68814		- 	160.32373		- 	011	144	0008406	 000000007454	0.0000000%
213.44595		- 	160.45718		- 	010	127	0008631	 000000007651	0.0000000%
196.98979		- 	160.56521		- 	009	147	0008849	 000000007849	0.0000000%
194.18903		- 	160.70355		- 	010	150	0009073	 000000008048	0.0000000%
202.30565		- 	160.80338		- 	009	135	0009292	 000000008247	0.0000000%
188.21516		- 	160.91273		- 	009	163	0009509	 000000008445	0.0000000%
165.68421		- 	161.01725		- 	010	142	0009728	 000000008644	0.0000000%
201.98595		- 	161.13844		- 	007	134	0009949	 000000008842	0.0000000%
188.67672		- 	161.21989		- 	008	144	0010169	 000000009041	0.0000000%
177.52107		- 	161.33727		- 	009	146	0010395	 000000009240	0.0000000%
192.98742		- 	161.44282		- 	009	143	0010614	 000000009439	0.0000000%
202.97832		- 	161.53394		- 	008	134	0010837	 000000009637	0.0000000%
169.88050		- 	161.59413		- 	007	161	0011054	 000000009837	0.0000000%
165.95785		- 	161.69373		- 	008	169	0011278	 000000010035	0.0000000%
182.05093		- 	161.82288		- 	007	166	0011498	 000000010233	0.0000000%
198.01185		- 	161.90059		- 	008	138	0011717	 000000010432	0.0000000%
216.59870		- 	161.95923		- 	007	142	0011943	 000000010630	0.0000000%
195.52590		- 	162.04082		- 	008	178	0012157	 000000010829	0.0000000%
207.06931		- 	162.16382		- 	012	132	0012381	 000000011028	0.0000000%
165.32974		- 	162.24834		- 	009	148	0012605	 000000011227	0.0000000%
173.94039		- 	162.36552		- 	009	139	0012823	 000000011426	0.0000000%
171.92813		- 	162.43030		- 	010	133	0013043	 000000011625	0.0000000%
170.38440		- 	162.51027		- 	009	134	0013266	 000000011823	0.0000000%
210.29262		- 	162.66439		- 	010	142	0013492	 000000012021	0.0000000%
164.42318		- 	162.74113		- 	007	161	0013704	 000000012221	0.0000000%
169.59820		- 	162.82186		- 	010	144	0013932	 000000012420	0.0000000%
172.38442		- 	162.90650		- 	008	162	0014148	 000000012620	0.0000000%
173.29971		- 	162.97753		- 	009	140	0014371	 000000012819	0.0000000%
169.75989		- 	163.04270		- 	009	151	0014594	 000000013017	0.0000000%
169.83330		- 	163.10307		- 	009	171	0014814	 000000013217	0.0000000%
167.68327		- 	163.16535		- 	009	157	0015038	 000000013415	0.0000000%
175.31465		- 	163.24919		- 	008	149	0015254	 000000013615	0.0000000%
189.10706		- 	163.30574		- 	012	140	0015474	 000000013815	0.0000000%
195.96226		- 	163.38247		- 	008	139	0015699	 000000014014	0.0000000%
183.84109		- 	163.47324		- 	008	179	0015914	 000000014212	0.0000000%
193.59823		- 	163.54849		- 	011	133	0016139	 000000014410	0.0000000%
173.54742		- 	163.60930		- 	008	141	0016357	 000000014609	0.0000000%
198.03519		- 	163.66765		- 	010	137	0016583	 000000014808	0.0000000%
192.34202		- 	163.72384		- 	011	136	0016801	 000000015009	0.0000000%
194.33627		- 	163.77898		- 	009	152	0017019	 000000015209	0.0000000%
196.03742		- 	163.85087		- 	009	135	0017248	 000000015407	0.0000000%
175.74826		- 	163.89623		- 	010	155	0017470	 000000015607	0.0000000%
177.03980		- 	163.95545		- 	008	155	0017686	 000000015806	0.0000000%
170.60996		- 	164.01909		- 	009	152	0017908	 000000016005	0.0000000%
202.27702		- 	164.06545		- 	011	139	0018125	 000000016206	0.0000000%
189.08248		- 	164.16261		- 	010	139	0018354	 000000016404	0.0000000%
183.75339		- 	164.23340		- 	008	147	0018572	 000000016603	0.0000000%
184.65742		- 	164.28957		- 	008	175	0018787	 000000016802	0.0000000%
179.59815		- 	164.37464		- 	009	170	0019017	 000000017000	0.0000000%
206.79820		- 	164.43470		- 	011	142	0019229	 000000017201	0.0000000%
177.15848		- 	164.51641		- 	009	148	0019456	 000000017400	0.0000000%
179.66421		- 	164.54637		- 	009	133	0019677	 000000017600	0.0000000%
170.34380		- 	164.60962		- 	009	141	0019901	 000000017798	0.0000000%
186.04061		- 	164.68127		- 	010	137	0020118	 000000017998	0.0000000%
172.19921		- 	164.73337		- 	008	150	0020338	 000000018198	0.0000000%
214.61577		- 	164.79216		- 	010	139	0020565	 000000018398	0.0000000%
178.09345		- 	164.84581		- 	008	145	0020779	 000000018598	0.0000000%
169.76162		- 	164.88595		- 	011	142	0020997	 000000018798	0.0000000%
202.64153		- 	164.93592		- 	008	176	0021219	 000000018997	0.0000000%
192.21792		- 	164.99173		- 	009	153	0021440	 000000019196	0.0000000%
191.14689		- 	165.04879		- 	009	135	0021662	 000000019396	0.0000000%
168.72600		- 	165.09954		- 	011	139	0021885	 000000019595	0.0000000%
208.41715		- 	165.15596		- 	009	126	0022105	 000000019795	0.0000000%
212.76494		- 	165.20286		- 	008	157	0022323	 000000019996	0.0000000%
204.00542		- 	165.23136		- 	007	147	0022545	 000000020197	0.0000000%
170.07863		- 	165.29242		- 	011	147	0022774	 000000020396	0.0000000%
177.79015		- 	165.34876		- 	010	138	0022987	 000000020596	0.0000000%
184.47529		- 	165.39203		- 	011	149	0023207	 000000020796	0.0000000%
212.23192		- 	165.43309		- 	010	132	0023433	 000000020995	0.0000000%
210.08554		- 	165.49195		- 	010	126	0023650	 000000021195	0.0000000%
197.36983		- 	165.53169		- 	012	133	0023873	 000000021396	0.0000000%
184.76999		- 	165.57818		- 	008	178	0024091	 000000021596	0.0000000%
198.96925		- 	165.61610		- 	010	146	0024314	 000000021796	0.0000000%
198.99513		- 	165.68217		- 	010	149	0024538	 000000021996	0.0000000%
187.63433		- 	165.73296		- 	009	158	0024758	 000000022195	0.0000000%
196.08976		- 	165.78726		- 	011	156	0024983	 000000022395	0.0000000%
226.10255		- 	165.82418		- 	010	124	0025202	 000000022595	0.0000000%
188.69605		- 	165.85698		- 	011	147	0025427	 000000022796	0.0000000%
187.50333		- 	165.90356		- 	010	159	0025642	 000000022996	0.0000000%
226.71926		- 	165.93277		- 	009	141	0025859	 000000023197	0.0000000%
219.46733		- 	165.96024		- 	011	131	0026091	 000000023395	0.0000000%
216.38191		- 	166.00161		- 	011	160	0026312	 000000023595	0.0000000%
169.33282		- 	166.03127		- 	006	165	0026524	 000000023795	0.0000000%
172.24239		- 	166.05883		- 	008	135	0026746	 000000023995	0.0000000%
211.64422		- 	166.10343		- 	012	124	0026967	 000000024194	0.0000000%
204.80281		- 	166.12693		- 	011	147	0027190	 000000024394	0.0000000%
211.07947		- 	166.17398		- 	012	129	0027409	 000000024593	0.0000000%
194.18644		- 	166.20496		- 	011	139	0027633	 000000024793	0.0000000%
231.54855		- 	166.24452		- 	010	131	0027858	 000000024993	0.0000000%
178.00792		- 	166.28956		- 	010	140	0028071	 000000025193	0.0000000%
212.30809		- 	166.32487		- 	010	143	0028291	 000000025393	0.0000000%
188.26439		- 	166.35743		- 	009	148	0028512	 000000025595	0.0000000%
209.10989		- 	166.38893		- 	009	157	0028733	 000000025795	0.0000000%
171.96527		- 	166.42888		- 	008	149	0028953	 000000025995	0.0000000%
187.62895		- 	166.45800		- 	009	133	0029179	 000000026194	0.0000000%
173.96489		- 	166.49906		- 	009	144	0029398	 000000026393	0.0000000%
197.34570		- 	166.55791		- 	011	148	0029617	 000000026593	0.0000000%
201.13958		- 	166.58990		- 	013	123	0029847	 000000026793	0.0000000%
186.96011		- 	166.62322		- 	009	142	0030062	 000000026994	0.0000000%
193.55120		- 	166.66234		- 	011	138	0030282	 000000027194	0.0000000%
205.54207		- 	166.69030		- 	008	196	0030500	 000000027394	0.0000000%
192.89149		- 	166.72116		- 	010	131	0030721	 000000027593	0.0000000%
175.36678		- 	166.77852		- 	009	158	0030950	 000000027791	0.0000000%
201.18405		- 	166.80698		- 	008	178	0031163	 000000027993	0.0000000%
216.40960		- 	166.83972		- 	012	138	0031384	 000000028193	0.0000000%
203.91970		- 	166.86435		- 	010	136	0031608	 000000028393	0.0000000%
203.94822		- 	166.89340		- 	011	146	0031826	 000000028594	0.0000000%
175.51912		- 	166.93086		- 	011	134	0032049	 000000028795	0.0000000%
169.29811		- 	166.96753		- 	011	135	0032274	 000000028996	0.0000000%
172.15567		- 	166.99448		- 	009	154	0032493	 000000029196	0.0000000%
178.97332		- 	167.02377		- 	011	140	0032712	 000000029396	0.0000000%
170.59782		- 	167.05680		- 	010	130	0032931	 000000029597	0.0000000%
207.71291		- 	167.10239		- 	009	151	0033158	 000000029797	0.0000000%
196.78635		- 	167.13778		- 	011	141	0033379	 000000029998	0.0000000%
196.02025		- 	167.16491		- 	009	155	0033595	 000000030199	0.0000000%
203.00889		- 	167.19417		- 	010	128	0033816	 000000030399	0.0000000%
202.95341		- 	167.22847		- 	009	131	0034038	 000000030599	0.0000000%
172.64408		- 	167.27655		- 	010	134	0034257	 000000030799	0.0000000%
172.90600		- 	167.32184		- 	008	154	0034485	 000000030998	0.0000000%
178.95871		- 	167.34236		- 	009	147	0034702	 000000031199	0.0000000%
