Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: rd400rdmRad
directory: RND
option: 3D
Instance Size: 400
Initial Upper Bound: 3592.60131590
Average radius size: 0.98791103
Using variable selection rule #2!
Size of the tree: 8.02442683e+865
Raiz: 0 3 351 
Initial root: 0 3 351 
Value of objective function: 3.70855434e+02
SolverStatus: Solved
Solution: 
( 2.28315000e+00, 3.55085000e+01, 0.00000000e+00 )
( 8.56673055e+01, 9.43262510e+01, 9.86436908e+01 )
( 9.56932122e+01, 2.62750421e+00, 7.59644478e+00 )
( 2.28315000e+00, 3.55085000e+01, 0.00000000e+00 )

Not covered in root: 308 182 340 114 95 394 50 225 359 199 217 252 319 192 65 379 288 232 219 383 175 224 234 287 338 181 159 346 381 87 174 229 18 38 156 88 348 149 333 395 46 36 107 119 31 259 186 8 331 187 23 32 134 230 191 330 167 62 127 286 44 49 223 213 361 16 342 198 71 60 129 209 362 279 261 58 179 29 375 123 233 72 373 235 136 350 315 197 67 253 389 323 271 190 185 184 68 59 313 154 110 84 358 24 55 30 200 104 1 53 183 246 201 139 148 265 307 293 91 349 352 94 180 162 325 124 47 113 281 206 90 282 6 386 51 102 371 111 130 48 290 163 168 176 212 145 35 92 77 343 151 263 109 101 267 41 240 143 100 42 75 64 98 2 140 264 214 237 324 122 10 363 204 239 85 244 40 7 13 112 294 76 269 360 369 377 96 306 160 238 380 80 391 322 227 81 158 355 63 5 157 25 141 398 194 133 196 326 273 82 118 106 378 221 165 356 203 226 268 241 15 66 222 166 173 312 298 161 274 169 131 316 245 396 275 341 228 270 45 329 390 310 311 276 21 334 335 254 99 57 19 278 170 79 249 69 320 11 258 121 368 366 387 20 384 125 385 210 303 364 300 392 256 152 305 262 295 83 144 299 54 345 301 171 215 327 142 397 147 251 89 37 283 309 292 255 78 339 61 332 296 272 22 291 128 164 177 243 117 257 372 370 39 138 344 135 277 132 353 70 120 33 382 289 318 4 250 297 105 248 202 367 137 34 328 393 26 146 74 317 150 347 388 126 399 242 116 108 52 337 17 302 155 103 231 14 193 153 220 43 189 236 357 211 178 365 247 314 195 188 205 216 73 280 28 208 321 284 115 260 376 86 97 336 12 27 9 354 374 93 285 207 172 266 304 218 56 
INFEASIBLE ROOT

Using variable selection rule #2!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
433.79692		- 	370.85543		- 	002	396	0000004	 000000000002	0.0000000%
654.07438		- 	618.87257		- 	005	393	0000204	 000000000166	0.0000000%
738.23176		- 	652.20723		- 	006	390	0000402	 000000000335	0.0000000%
729.17639		- 	671.33211		- 	006	391	0000608	 000000000505	0.0000000%
734.25507		- 	681.98090		- 	007	391	0000806	 000000000677	0.0000000%
782.49205		- 	689.47561		- 	006	392	0001006	 000000000849	0.0000000%
769.44379		- 	696.80821		- 	005	392	0001202	 000000001022	0.0000000%
803.27328		- 	701.73030		- 	006	392	0001407	 000000001194	0.0000000%
777.35945		- 	707.02443		- 	006	391	0001602	 000000001369	0.0000000%
747.72875		- 	710.45362		- 	006	392	0001808	 000000001542	0.0000000%
748.31349		- 	713.39657		- 	007	391	0002004	 000000001716	0.0000000%
868.23577		- 	716.73715		- 	007	391	0002208	 000000001890	0.0000000%
766.36388		- 	719.63187		- 	007	390	0002403	 000000002065	0.0000000%
809.00203		- 	722.55720		- 	006	391	0002602	 000000002239	0.0000000%
769.75257		- 	725.57339		- 	008	390	0002802	 000000002414	0.0000000%
844.18749		- 	727.82804		- 	006	391	0003008	 000000002588	0.0000000%
794.99996		- 	729.40881		- 	007	391	0003203	 000000002764	0.0000000%
836.04558		- 	731.66099		- 	008	390	0003405	 000000002939	0.0000000%
788.64489		- 	733.32468		- 	008	389	0003609	 000000003114	0.0000000%
806.30268		- 	735.53994		- 	007	391	0003805	 000000003290	0.0000000%
811.14338		- 	737.52468		- 	008	388	0004004	 000000003465	0.0000000%
784.84964		- 	739.46706		- 	007	390	0004204	 000000003640	0.0000000%
855.10915		- 	740.61515		- 	008	390	0004402	 000000003815	0.0000000%
788.06362		- 	742.58625		- 	008	390	0004610	 000000003990	0.0000000%
784.46082		- 	743.78893		- 	008	390	0004810	 000000004166	0.0000000%
862.28365		- 	745.09331		- 	007	391	0005007	 000000004342	0.0000000%
815.21014		- 	746.47635		- 	008	390	0005206	 000000004518	0.0000000%
863.02071		- 	747.37341		- 	008	390	0005408	 000000004694	0.0000000%
813.67201		- 	748.08075		- 	008	390	0005603	 000000004871	0.0000000%
875.69153		- 	749.10002		- 	008	390	0005808	 000000005046	0.0000000%
776.55317		- 	750.08616		- 	007	391	0006004	 000000005223	0.0000000%
803.97493		- 	751.20900		- 	008	390	0006209	 000000005399	0.0000000%
