Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: team3_300
directory: RND
option: 3D
Instance Size: 301
Initial Upper Bound: 1484.41053620
Average radius size: 7.00000000
Using variable selection rule #1!
Size of the tree: 1.53540564e+614
Raiz: 0 178 214 
Initial root: 0 178 214 
Value of objective function: 3.19783891e+02
SolverStatus: Solved
Solution: 
( 2.35500000e+01, 2.08300000e+01, 0.00000000e+00 )
( 8.79816313e+01, 8.42524471e+01, 8.96714997e+01 )
( 8.47196923e+00, 2.32188308e+01, 9.09318040e+01 )
( 2.35500000e+01, 2.08300000e+01, 0.00000000e+00 )

Not covered in root: 192 204 105 101 103 114 5 104 113 148 111 115 267 109 150 118 100 86 3 112 272 110 194 117 24 106 89 116 195 60 102 99 241 108 48 107 81 80 119 182 82 167 44 74 75 90 172 8 76 79 145 72 170 39 208 185 54 83 42 85 216 33 153 237 91 243 77 283 161 88 265 169 87 165 298 245 191 7 285 57 197 38 19 78 15 264 210 27 32 28 269 25 37 26 9 279 84 40 274 294 225 69 154 16 282 205 278 141 233 53 45 287 231 12 30 17 293 175 59 52 144 46 47 275 29 164 235 176 121 94 295 162 20 300 217 163 6 296 147 219 98 126 218 139 23 51 166 65 223 36 31 41 21 155 239 281 236 35 276 43 152 280 34 22 222 292 123 266 229 96 198 132 286 160 232 299 143 203 140 137 158 1 268 4 66 244 70 297 224 289 215 129 291 64 133 173 63 220 61 179 135 134 221 128 18 149 228 50 130 242 55 95 171 174 71 284 138 146 213 209 131 127 136 122 288 97 184 290 120 277 190 58 246 124 270 188 2 73 62 49 230 142 258 157 168 250 234 11 56 68 93 273 227 193 67 247 151 125 206 212 260 202 240 201 248 92 189 256 196 207 254 200 187 226 263 159 177 252 156 10 253 238 255 183 257 261 251 199 180 259 181 14 249 186 211 271 13 262 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
379.61434		- 	319.78389		- 	002	282	0000004	 000000000002	0.0000000%
643.07410		- 	536.73857		- 	005	269	0000157	 000000000124	0.0000000%
685.23886		- 	565.47777		- 	006	252	0000308	 000000000250	0.0000000%
644.59772		- 	573.42638		- 	006	264	0000457	 000000000378	0.0000000%
730.91638		- 	586.18303		- 	006	257	0000607	 000000000506	0.0000000%
693.47084		- 	593.13491		- 	006	255	0000756	 000000000634	0.0000000%
688.81042		- 	599.35790		- 	007	255	0000905	 000000000764	0.0000000%
673.31255		- 	603.55258		- 	006	259	0001055	 000000000894	0.0000000%
679.00939		- 	607.22894		- 	006	261	0001204	 000000001024	0.0000000%
764.12692		- 	611.58973		- 	006	260	0001357	 000000001153	0.0000000%
676.56608		- 	616.03620		- 	007	260	0001508	 000000001283	0.0000000%
686.80828		- 	619.32422		- 	007	263	0001656	 000000001414	0.0000000%
733.36425		- 	621.14346		- 	007	244	0001804	 000000001545	0.0000000%
774.21556		- 	623.44600		- 	008	254	0001957	 000000001676	0.0000000%
664.20160		- 	625.59370		- 	006	253	0002106	 000000001807	0.0000000%
768.12808		- 	626.88861		- 	007	248	0002253	 000000001939	0.0000000%
676.18308		- 	629.16765		- 	009	258	0002406	 000000002070	0.0000000%
745.06998		- 	630.97537		- 	008	243	0002554	 000000002202	0.0000000%
773.01783		- 	632.10605		- 	007	262	0002709	 000000002333	0.0000000%
725.16062		- 	633.66081		- 	007	258	0002852	 000000002465	0.0000000%
741.03663		- 	635.23188		- 	008	257	0003007	 000000002596	0.0000000%
751.61046		- 	636.07965		- 	007	263	0003153	 000000002728	0.0000000%
678.54534		- 	637.68728		- 	008	255	0003307	 000000002859	0.0000000%
742.99907		- 	639.23008		- 	007	237	0003457	 000000002990	0.0000000%
725.34185		- 	640.81029		- 	007	255	0003602	 000000003122	0.0000000%
759.53686		- 	642.04911		- 	007	253	0003757	 000000003253	0.0000000%
