Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: team3_300rdmRad
directory: RND
option: 3D
Instance Size: 301
Initial Upper Bound: 1053.38028160
Average radius size: 23.62826667
Using variable selection rule #2!
Size of the tree: 1.53540564e+614
Raiz: 0 178 76 
Initial root: 0 178 76 
Value of objective function: 2.57789294e+02
SolverStatus: Solved
Solution: 
( 2.35500000e+01, 2.08300000e+01, 0.00000000e+00 )
( 5.87439801e+01, 7.56001794e+01, 7.70550141e+01 )
( 7.01958096e+00, 7.77575454e+01, 8.59258600e+01 )
( 2.35500000e+01, 2.08300000e+01, 0.00000000e+00 )

Not covered in root: 278 103 109 192 8 117 114 195 101 295 5 112 100 223 116 24 215 264 107 53 54 102 236 39 105 99 285 69 111 70 281 239 237 64 113 72 115 57 282 58 51 197 67 244 62 12 63 172 47 231 288 73 2 298 287 184 56 38 121 216 226 104 266 46 110 279 48 253 147 185 182 241 163 242 296 208 286 283 214 272 238 273 247 207 11 212 294 262 256 220 194 155 118 26 193 135 233 198 20 218 55 205 32 293 275 235 60 299 108 143 119 10 245 258 96 106 86 132 30 44 243 15 61 144 292 289 52 206 65 66 59 280 265 297 128 234 277 36 210 148 284 269 9 156 250 68 37 271 16 276 209 240 181 291 165 50 153 151 123 188 229 92 180 232 171 157 31 230 199 175 22 170 224 35 134 196 222 97 136 200 28 1 89 167 267 6 21 211 77 71 81 254 201 257 202 122 120 255 300 29 191 190 189 270 246 228 227 274 225 268 290 221 219 217 263 261 203 260 213 127 248 249 126 251 125 252 124 204 83 79 80 40 41 42 43 45 82 34 49 84 85 87 88 90 129 130 3 27 25 23 19 18 17 14 259 131 4 7 74 75 13 78 33 95 160 161 162 94 164 166 168 169 159 173 174 176 177 179 183 98 186 145 133 91 137 138 139 140 141 142 187 146 149 150 152 154 93 158 
INFEASIBLE ROOT

Using variable selection rule #2!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
309.59935		- 	257.78929		- 	002	173	0000004	 000000000002	0.0000000%
616.05878		- 	476.44449		- 	005	107	0000156	 000000000124	0.0000000%
537.20245		- 	502.48147		- 	005	132	0000306	 000000000250	0.0000000%
614.37813		- 	517.16507		- 	005	128	0000454	 000000000378	0.0000000%
591.65234		- 	530.72859		- 	007	120	0000602	 000000000507	0.0000000%
657.07852		- 	536.93516		- 	006	105	0000754	 000000000636	0.0000000%
600.13743		- 	541.69476		- 	005	118	0000906	 000000000765	0.0000000%
670.10980		- 	545.22918		- 	005	110	0001054	 000000000895	0.0000000%
580.72021		- 	548.98740		- 	006	106	0001203	 000000001025	0.0000000%
687.43392		- 	552.86053		- 	008	120	0001354	 000000001155	0.0000000%
585.93286		- 	556.32996		- 	006	115	0001502	 000000001285	0.0000000%
645.11088		- 	560.91449		- 	008	112	0001660	 000000001415	0.0000000%
598.48739		- 	563.60067		- 	007	126	0001809	 000000001545	0.0000000%
611.80155		- 	565.38777		- 	008	105	0001955	 000000001677	0.0000000%
690.18795		- 	567.08490		- 	007	117	0002102	 000000001809	0.0000000%
650.50392		- 	568.66067		- 	008	112	0002257	 000000001940	0.0000000%
623.69044		- 	571.07788		- 	006	123	0002403	 000000002072	0.0000000%
670.33399		- 	572.89417		- 	008	110	0002555	 000000002203	0.0000000%
630.05100		- 	573.69204		- 	008	105	0002703	 000000002335	0.0000000%
695.64718		- 	575.27050		- 	006	120	0002858	 000000002466	0.0000000%
619.07107		- 	577.00210		- 	008	108	0003005	 000000002598	0.0000000%
676.12240		- 	578.54277		- 	008	106	0003156	 000000002729	0.0000000%
707.39672		- 	579.88302		- 	008	111	0003307	 000000002861	0.0000000%
612.14100		- 	580.72021		- 	007	105	0003459	 000000002993	0.0000000%
740.54486		- 	581.72746		- 	008	106	0003602	 000000003126	0.0000000%
642.85979		- 	582.58842		- 	007	115	0003757	 000000003257	0.0000000%
