Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: team4_400
directory: RND
option: 3D
Instance Size: 401
Initial Upper Bound: 753.81291089
Average radius size: 5.00000000
Using variable selection rule #1!
Size of the tree: 3.20975057e+868
Raiz: 0 68 52 
Initial root: 0 68 52 
Value of objective function: 3.07430190e+02
SolverStatus: Solved
Solution: 
( 0.00000000e+00, 0.00000000e+00, 0.00000000e+00 )
( 8.47236359e+01, 9.44322719e+01, 7.46911131e+00 )
( 9.58728662e+01, 1.15587557e+01, 3.84117374e+00 )
( 0.00000000e+00, 0.00000000e+00, 0.00000000e+00 )

Not covered in root: 92 4 155 8 75 82 124 151 347 111 183 56 16 234 14 164 192 144 186 113 338 41 28 50 11 359 307 400 76 396 2 328 308 346 275 105 139 370 201 87 91 249 377 373 224 79 162 158 220 29 67 243 7 212 141 188 237 189 299 306 375 372 225 209 123 128 88 203 335 371 339 108 293 31 218 66 90 285 1 152 395 270 104 287 350 354 36 126 219 99 283 313 309 310 216 326 165 191 238 190 102 279 286 294 329 291 89 343 177 296 78 96 300 35 247 73 253 241 233 39 250 53 154 351 193 239 114 381 269 159 77 71 304 355 387 398 194 246 166 231 342 349 362 137 256 136 361 44 178 390 318 85 290 280 93 298 330 317 215 47 133 382 18 223 325 70 378 281 138 116 117 121 83 157 17 266 13 202 331 64 303 149 200 184 332 118 235 385 323 251 229 21 80 368 168 206 392 366 3 48 319 257 334 315 248 55 222 272 156 333 143 127 49 142 369 24 185 271 181 321 5 386 391 254 311 267 10 380 265 23 101 42 25 63 252 57 276 277 344 153 384 32 60 86 147 22 145 132 65 260 340 258 175 204 161 295 316 376 119 160 312 232 19 27 15 324 171 98 263 399 221 69 282 388 148 46 169 336 38 174 244 112 261 182 345 26 341 109 284 356 397 62 274 352 134 360 97 150 6 199 214 236 314 242 255 273 43 170 100 54 176 180 135 84 187 337 228 208 227 211 301 297 305 217 302 322 383 389 393 394 213 292 210 226 353 268 357 358 240 230 363 245 379 364 365 327 348 320 367 374 30 94 81 163 74 72 61 20 129 259 9 12 167 33 146 34 37 40 140 45 51 58 59 131 125 207 288 205 278 198 197 196 195 130 264 262 289 122 120 115 110 107 179 106 103 173 172 95 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
353.07647		- 	307.43019		- 	002	356	0000004	 000000000002	0.0000000%
424.88518		- 	417.34040		- 	006	293	0000202	 000000000171	0.0000000%
516.83013		- 	426.91773		- 	007	274	0000403	 000000000344	0.0000000%
458.94672		- 	432.48344		- 	008	278	0000609	 000000000518	0.0000000%
443.36408		- 	436.22122		- 	007	300	0000809	 000000000693	0.0000000%
447.73528		- 	439.28386		- 	007	293	0001003	 000000000869	0.0000000%
504.25084		- 	441.87068		- 	009	274	0001205	 000000001046	0.0000000%
458.12199		- 	444.05732		- 	009	290	0001407	 000000001223	0.0000000%
508.64654		- 	445.88951		- 	009	290	0001603	 000000001400	0.0000000%
485.27696		- 	446.92972		- 	007	286	0001808	 000000001576	0.0000000%
456.72909		- 	447.78526		- 	006	291	0002008	 000000001754	0.0000000%
547.99843		- 	448.93575		- 	008	272	0002205	 000000001932	0.0000000%
547.88609		- 	450.21888		- 	010	254	0002411	 000000002110	0.0000000%
467.52789		- 	451.17594		- 	008	283	0002609	 000000002288	0.0000000%
516.04059		- 	452.20881		- 	007	283	0002805	 000000002467	0.0000000%
534.56583		- 	452.96456		- 	008	292	0003003	 000000002646	0.0000000%
483.06460		- 	453.69021		- 	008	287	0003207	 000000002824	0.0000000%
585.83844		- 	454.37732		- 	010	239	0003407	 000000003004	0.0000000%
526.31362		- 	455.28752		- 	010	281	0003608	 000000003183	0.0000000%
467.11812		- 	455.84422		- 	011	271	0003805	 000000003363	0.0000000%
475.07380		- 	456.42410		- 	007	269	0004008	 000000003541	0.0000000%
540.51869		- 	456.89196		- 	009	250	0004207	 000000003720	0.0000000%
533.44323		- 	457.78125		- 	007	259	0004407	 000000003898	0.0000000%
468.93172		- 	458.26599		- 	007	276	0004609	 000000004076	0.0000000%
537.42560		- 	458.70484		- 	008	251	0004805	 000000004256	0.0000000%
467.46609		- 	459.03747		- 	010	292	0005009	 000000004436	0.0000000%
552.27387		- 	459.40731		- 	009	276	0005203	 000000004616	0.0000000%
554.19384		- 	459.61751		- 	008	260	0005406	 000000004795	0.0000000%
523.97820		- 	459.98411		- 	010	256	0005612	 000000004974	0.0000000%
496.78856		- 	460.38538		- 	010	284	0005809	 000000005154	0.0000000%
564.25271		- 	460.69902		- 	009	269	0006002	 000000005334	0.0000000%
483.17425		- 	461.13778		- 	007	278	0006206	 000000005514	0.0000000%
601.48925		- 	461.46070		- 	011	250	0006407	 000000005694	0.0000000%
480.55551		- 	461.78175		- 	009	290	0006608	 000000005874	0.0000000%
542.19548		- 	462.10211		- 	005	257	0006802	 000000006054	0.0000000%
516.19850		- 	462.39153		- 	010	289	0007006	 000000006234	0.0000000%
473.33980		- 	462.67446		- 	008	284	0007210	 000000006414	0.0000000%
469.72601		- 	462.94172		- 	009	286	0007403	 000000006595	0.0000000%
486.88486		- 	463.34822		- 	007	271	0007608	 000000006774	0.0000000%
482.04544		- 	463.68906		- 	009	254	0007803	 000000006954	0.0000000%
479.80959		- 	463.95151		- 	008	288	0008004	 000000007134	0.0000000%
513.00365		- 	464.19209		- 	012	259	0008209	 000000007314	0.0000000%
539.46471		- 	464.47162		- 	008	266	0008406	 000000007495	0.0000000%
581.59379		- 	464.78836		- 	008	262	0008602	 000000007676	0.0000000%
505.89045		- 	465.02838		- 	010	259	0008812	 000000007855	0.0000000%
498.58502		- 	465.23461		- 	009	283	0009002	 000000008037	0.0000000%
475.57022		- 	465.44400		- 	010	271	0009206	 000000008216	0.0000000%
564.84523		- 	465.57361		- 	009	265	0009406	 000000008396	0.0000000%
527.68764		- 	465.83772		- 	008	253	0009609	 000000008575	0.0000000%
473.93981		- 	466.15174		- 	008	290	0009802	 000000008756	0.0000000%
525.63415		- 	466.39400		- 	009	249	0010011	 000000008935	0.0000000%
603.11123		- 	466.66334		- 	010	234	0010207	 000000009115	0.0000000%
488.02427		- 	466.92027		- 	006	291	0010402	 000000009296	0.0000000%
543.94838		- 	467.17732		- 	010	254	0010602	 000000009476	0.0000000%
544.13164		- 	467.38638		- 	009	244	0010806	 000000009656	0.0000000%
479.58722		- 	467.56681		- 	010	283	0011004	 000000009838	0.0000000%
608.37132		- 	467.79757		- 	010	244	0011208	 000000010018	0.0000000%
569.51936		- 	468.02927		- 	011	244	0011410	 000000010199	0.0000000%
576.15571		- 	468.19617		- 	010	267	0011612	 000000010380	0.0000000%
487.79524		- 	468.46654		- 	010	263	0011808	 000000010561	0.0000000%
491.78768		- 	468.67806		- 	011	270	0012013	 000000010741	0.0000000%
501.66727		- 	468.89075		- 	010	252	0012204	 000000010922	0.0000000%
601.72858		- 	469.05529		- 	010	241	0012408	 000000011103	0.0000000%
487.56837		- 	469.20486		- 	008	277	0012603	 000000011284	0.0000000%
624.96583		- 	469.35545		- 	011	232	0012811	 000000011464	0.0000000%
533.16657		- 	469.53785		- 	011	262	0013013	 000000011644	0.0000000%
499.45025		- 	469.66346		- 	008	276	0013206	 000000011824	0.0000000%
551.04324		- 	469.88979		- 	009	275	0013407	 000000012005	0.0000000%
584.00119		- 	470.04643		- 	012	257	0013603	 000000012187	0.0000000%
501.46854		- 	470.27198		- 	009	284	0013807	 000000012367	0.0000000%
513.42518		- 	470.42261		- 	011	281	0014013	 000000012548	0.0000000%
532.04663		- 	470.56619		- 	010	272	0014211	 000000012729	0.0000000%
491.30748		- 	470.71170		- 	010	266	0014406	 000000012911	0.0000000%
576.83151		- 	470.80322		- 	011	258	0014612	 000000013092	0.0000000%
496.32159		- 	470.96665		- 	008	270	0014809	 000000013273	0.0000000%
505.99768		- 	471.04646		- 	007	296	0015007	 000000013455	0.0000000%
593.05453		- 	471.17626		- 	013	255	0015202	 000000013637	0.0000000%
556.30136		- 	471.33472		- 	010	262	0015410	 000000013817	0.0000000%
492.20412		- 	471.50572		- 	009	269	0015602	 000000013999	0.0000000%
531.01279		- 	471.62369		- 	010	285	0015811	 000000014179	0.0000000%
495.73769		- 	471.73525		- 	008	262	0016010	 000000014360	0.0000000%
619.93581		- 	471.89142		- 	011	265	0016208	 000000014541	0.0000000%
561.74640		- 	472.02056		- 	010	267	0016403	 000000014723	0.0000000%
492.32588		- 	472.08061		- 	009	293	0016602	 000000014904	0.0000000%
597.45958		- 	472.20726		- 	011	231	0016806	 000000015085	0.0000000%
577.47746		- 	472.30523		- 	010	261	0017007	 000000015266	0.0000000%
542.76964		- 	472.43325		- 	011	256	0017204	 000000015448	0.0000000%
546.64506		- 	472.55107		- 	007	255	0017409	 000000015629	0.0000000%
540.82130		- 	472.65714		- 	011	278	0017602	 000000015811	0.0000000%
534.10902		- 	472.78869		- 	008	262	0017802	 000000015992	0.0000000%
477.95690		- 	472.94374		- 	010	286	0018002	 000000016174	0.0000000%
542.04664		- 	473.11070		- 	009	285	0018207	 000000016354	0.0000000%
481.48557		- 	473.22781		- 	010	287	0018407	 000000016536	0.0000000%
499.92049		- 	473.33980		- 	009	265	0018604	 000000016718	0.0000000%
505.20138		- 	473.45495		- 	010	273	0018802	 000000016900	0.0000000%
578.15529		- 	473.54891		- 	007	257	0019009	 000000017081	0.0000000%
620.02621		- 	473.62266		- 	012	241	0019212	 000000017262	0.0000000%
489.99796		- 	473.72130		- 	011	295	0019411	 000000017444	0.0000000%
494.25057		- 	473.85881		- 	011	291	0019613	 000000017625	0.0000000%
497.58420		- 	474.00125		- 	008	283	0019808	 000000017806	0.0000000%
486.33878		- 	474.16763		- 	011	289	0020011	 000000017987	0.0000000%
584.83578		- 	474.27979		- 	010	255	0020207	 000000018169	0.0000000%
510.04304		- 	474.36001		- 	008	269	0020405	 000000018351	0.0000000%
