Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: team5_499
directory: RND
option: 3D
Instance Size: 500
Initial Upper Bound: 1924.52650293
Average radius size: 2.00000000
Using variable selection rule #1!
Size of the tree: 1.22258691e+1131
Raiz: 0 408 98 
Initial root: 0 408 98 
Value of objective function: 2.68862425e+02
SolverStatus: Solved
Solution: 
( 7.00000000e+01, 4.00000000e+01, 0.00000000e+00 )
( 1.61123194e+00, 8.69101649e+01, 4.70896755e+01 )
( 2.15676656e+00, 3.57583970e+00, 4.68944092e+01 )
( 7.00000000e+01, 4.00000000e+01, 0.00000000e+00 )

Not covered in root: 324 340 344 306 349 316 361 396 336 392 318 379 374 377 384 327 389 320 310 343 305 356 364 328 355 363 326 313 360 312 304 388 335 233 357 387 216 345 376 391 339 395 215 232 321 397 494 372 311 265 337 348 353 332 350 276 398 271 367 330 369 346 469 338 393 331 381 333 380 303 307 300 493 235 323 378 334 370 207 325 383 298 386 308 266 394 236 382 201 368 317 359 365 373 210 342 208 219 283 252 347 358 302 455 214 399 211 289 274 239 286 322 296 240 293 237 270 375 288 209 319 315 294 259 371 329 272 341 206 284 309 229 277 222 366 385 217 480 241 314 230 351 256 242 246 290 261 301 273 255 292 251 202 248 390 245 249 352 226 282 243 225 205 465 295 299 462 279 250 258 269 496 218 267 244 297 231 490 484 473 354 257 238 268 362 23 450 262 221 204 228 448 213 489 200 220 278 96 47 280 281 42 260 263 491 227 212 224 223 419 8 86 287 285 140 428 253 409 112 264 49 487 499 2 53 28 254 6 203 466 477 275 471 488 291 110 441 443 470 171 55 87 165 247 14 92 234 472 51 97 481 3 82 175 167 143 12 186 22 185 439 425 156 131 127 459 410 27 80 50 184 453 451 456 176 460 44 435 83 173 447 406 467 135 430 191 13 198 46 144 174 405 431 463 66 114 54 461 78 495 113 168 37 189 126 58 195 427 170 24 154 424 178 128 40 75 197 31 445 182 446 169 30 166 164 132 105 150 123 129 122 56 71 412 179 452 432 162 192 73 485 187 137 483 9 120 89 141 468 4 404 160 147 199 177 29 43 190 5 1 25 94 454 429 194 134 482 104 145 103 138 153 181 15 118 486 464 93 69 193 492 163 91 107 403 108 440 148 476 85 133 420 121 11 188 444 411 19 48 442 52 106 415 20 158 433 45 479 36 434 151 109 65 63 102 437 39 10 414 33 474 76 142 116 196 458 117 413 7 449 41 136 35 67 16 125 498 119 157 146 416 68 139 436 478 407 155 402 59 457 180 159 62 149 152 124 18 34 72 38 95 400 101 88 421 77 61 90 438 130 99 60 401 32 183 426 172 70 115 79 497 26 161 21 423 81 84 57 64 74 17 422 475 111 418 417 100 
INFEASIBLE ROOT

Using variable selection rule #1!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
339.98879		- 	268.86242		- 	002	487	0000004	 000000000002	0.0000000%
525.74059		- 	495.85844		- 	006	480	0000252	 000000000209	0.0000000%
564.38609		- 	523.51392		- 	005	482	0000506	 000000000422	0.0000000%
581.17882		- 	532.66017		- 	005	475	0000756	 000000000638	0.0000000%
576.94970		- 	542.27846		- 	008	468	0001004	 000000000854	0.0000000%
667.00564		- 	548.24238		- 	007	473	0001255	 000000001071	0.0000000%
606.57679		- 	555.55566		- 	005	474	0001503	 000000001289	0.0000000%
686.24687		- 	560.06930		- 	007	484	0001759	 000000001507	0.0000000%
645.03279		- 	563.91904		- 	007	471	0002007	 000000001726	0.0000000%
600.80236		- 	567.90227		- 	007	476	0002258	 000000001945	0.0000000%
696.91488		- 	571.22065		- 	005	481	0002504	 000000002165	0.0000000%
642.44498		- 	573.74485		- 	007	475	0002759	 000000002384	0.0000000%
771.69951		- 	575.84468		- 	008	476	0003009	 000000002605	0.0000000%
619.47721		- 	577.75866		- 	008	479	0003260	 000000002824	0.0000000%
632.55406		- 	579.58107		- 	008	476	0003502	 000000003046	0.0000000%
632.26597		- 	581.59153		- 	007	478	0003756	 000000003265	0.0000000%
638.91822		- 	584.32808		- 	007	476	0004006	 000000003485	0.0000000%
685.68335		- 	586.38586		- 	008	473	0004254	 000000003706	0.0000000%
649.75931		- 	587.81921		- 	007	482	0004502	 000000003928	0.0000000%
616.36336		- 	589.07656		- 	008	477	0004755	 000000004148	0.0000000%
634.02804		- 	590.61882		- 	008	474	0005008	 000000004369	0.0000000%
653.69873		- 	591.74702		- 	009	466	0005261	 000000004591	0.0000000%
710.16949		- 	593.08636		- 	008	481	0005507	 000000004813	0.0000000%
685.78086		- 	594.27493		- 	008	469	0005752	 000000005036	0.0000000%
703.36722		- 	595.46017		- 	008	477	0006005	 000000005258	0.0000000%
632.42677		- 	596.34265		- 	008	481	0006258	 000000005479	0.0000000%
659.46430		- 	597.37077		- 	008	480	0006507	 000000005701	0.0000000%
632.32558		- 	598.36360		- 	007	473	0006754	 000000005923	0.0000000%
676.12577		- 	599.58741		- 	008	480	0007004	 000000006146	0.0000000%
665.87771		- 	600.43111		- 	007	474	0007255	 000000006367	0.0000000%
725.05649		- 	601.23478		- 	010	469	0007506	 000000006589	0.0000000%
700.36870		- 	602.04456		- 	011	472	0007763	 000000006811	0.0000000%
630.17467		- 	602.62576		- 	009	472	0008003	 000000007035	0.0000000%
731.48014		- 	603.65311		- 	009	473	0008259	 000000007256	0.0000000%
675.11574		- 	604.40750		- 	007	481	0008507	 000000007480	0.0000000%
724.78779		- 	605.27682		- 	008	478	0008757	 000000007703	0.0000000%
662.60001		- 	606.06210		- 	009	471	0009004	 000000007927	0.0000000%
