Use LAH: 0
Use Concorde Feasible Solution improvement: 0
Name: team5_499rdmRad
directory: RND
option: 3D
Instance Size: 500
Initial Upper Bound: 840.47664744
Average radius size: 20.11948577
Using variable selection rule #2!
Size of the tree: 1.22258691e+1131
Raiz: 0 408 98 
Initial root: 0 408 98 
Value of objective function: 2.15368936e+02
SolverStatus: Solved
Solution: 
( 7.00000000e+01, 4.00000000e+01, 0.00000000e+00 )
( 1.48957162e+01, 5.85531516e+01, 3.79843700e+01 )
( 2.73361236e+00, 3.97419694e+00, 4.64954907e+01 )
( 7.00000000e+01, 4.00000000e+01, 0.00000000e+00 )

Not covered in root: 316 344 369 313 321 303 304 323 388 318 377 384 342 396 395 320 356 361 345 215 328 235 293 348 308 310 339 367 380 307 376 210 338 340 494 335 271 391 355 337 333 317 364 331 349 209 334 372 241 306 276 206 336 326 389 312 371 258 309 283 480 298 351 370 324 219 448 245 381 330 305 288 374 213 357 496 428 274 232 216 205 353 208 491 368 346 300 409 239 352 263 390 292 386 222 225 266 311 451 270 273 296 387 233 289 265 493 366 471 470 252 261 23 393 201 394 285 280 332 400 379 250 359 212 200 207 269 363 397 253 499 445 47 360 42 218 327 398 405 447 410 267 229 257 284 322 202 240 347 492 211 243 92 378 358 362 373 487 392 214 2 314 399 236 242 301 256 350 427 277 237 472 259 96 434 143 255 279 299 420 343 249 14 382 286 325 489 272 466 13 220 354 438 459 426 315 462 290 319 204 329 227 251 135 473 78 385 440 383 231 246 226 415 126 54 431 295 402 264 469 287 110 406 302 412 443 8 217 365 162 435 3 490 424 456 55 50 455 224 341 417 422 421 221 375 230 134 294 43 234 24 114 260 282 248 93 278 404 85 437 198 419 167 175 262 153 453 228 165 86 465 467 122 154 20 268 137 58 53 188 430 495 131 48 291 73 423 203 140 244 76 452 33 133 127 484 37 89 238 51 414 425 146 150 192 87 46 11 247 194 481 193 488 139 411 44 174 80 191 441 28 449 450 189 458 433 195 166 156 297 103 418 168 115 5 35 173 112 49 91 74 407 281 118 478 439 158 180 171 182 152 151 181 223 149 176 148 172 147 179 178 177 145 187 197 161 190 160 159 157 163 164 196 186 170 119 185 184 199 183 155 169 254 105 275 125 124 123 121 120 117 116 113 111 109 108 107 106 401 104 102 101 100 99 97 95 94 90 88 84 83 82 463 498 497 486 485 483 482 479 477 476 475 474 468 464 81 461 460 457 454 446 444 442 436 432 429 416 413 403 40 1 4 6 7 9 10 12 30 31 32 34 36 38 39 128 41 45 52 56 57 59 129 130 132 136 138 141 142 62 79 77 75 72 71 70 69 68 67 66 65 64 63 144 61 60 29 27 26 25 22 21 19 18 17 16 15 
INFEASIBLE ROOT

Using variable selection rule #2!
F. value	BestUB	        BestLB	        GAP%(I)	        Level	#Uncov	#Solved	 open	        Tree (%)	
297.82618		- 	215.36894		- 	002	218	0000004	 000000000002	0.0000000%
540.06521		- 	436.13075		- 	005	185	0000253	 000000000209	0.0000000%
485.66627		- 	458.42794		- 	007	138	0000508	 000000000423	0.0000000%
574.42013		- 	469.58566		- 	005	158	0000752	 000000000640	0.0000000%
621.52906		- 	479.67754		- 	006	123	0001003	 000000000856	0.0000000%
540.25589		- 	485.60698		- 	008	127	0001260	 000000001072	0.0000000%
582.12318		- 	488.98862		- 	008	127	0001502	 000000001292	0.0000000%
606.87188		- 	493.04094		- 	006	148	0001757	 000000001510	0.0000000%
655.11085		- 	497.90927		- 	008	132	0002003	 000000001731	0.0000000%
563.14663		- 	500.94665		- 	010	111	0002258	 000000001950	0.0000000%
563.67092		- 	503.82877		- 	009	111	0002511	 000000002170	0.0000000%
663.21831		- 	505.85144		- 	009	127	0002758	 000000002391	0.0000000%
559.14480		- 	508.23938		- 	007	113	0003007	 000000002612	0.0000000%
528.83352		- 	510.10877		- 	010	113	0003259	 000000002834	0.0000000%
564.22507		- 	511.28411		- 	009	112	0003502	 000000003057	0.0000000%
578.44041		- 	513.02871		- 	009	107	0003756	 000000003279	0.0000000%
551.77110		- 	513.97278		- 	011	098	0004012	 000000003501	0.0000000%
635.92381		- 	515.24515		- 	007	115	0004253	 000000003724	0.0000000%
568.33067		- 	516.91680		- 	009	116	0004503	 000000003945	0.0000000%
560.74603		- 	518.23215		- 	008	100	0004759	 000000004167	0.0000000%
571.47142		- 	519.54718		- 	008	128	0005003	 000000004390	0.0000000%
677.66214		- 	520.64076		- 	007	135	0005255	 000000004612	0.0000000%
592.18019		- 	521.98043		- 	008	108	0005508	 000000004834	0.0000000%
546.24405		- 	522.97975		- 	009	117	0005752	 000000005059	0.0000000%
578.34946		- 	524.16625		- 	007	136	0006008	 000000005282	0.0000000%
638.84079		- 	524.78588		- 	009	108	0006259	 000000005506	0.0000000%
652.32535		- 	525.58303		- 	010	112	0006505	 000000005729	0.0000000%
575.00245		- 	526.11891		- 	010	108	0006754	 000000005953	0.0000000%
561.48715		- 	527.21668		- 	007	135	0007004	 000000006176	0.0000000%
568.74732		- 	528.12875		- 	007	119	0007258	 000000006399	0.0000000%
675.31317		- 	528.65597		- 	011	104	0007508	 000000006624	0.0000000%
546.22963		- 	529.23084		- 	009	102	0007754	 000000006850	0.0000000%
578.15966		- 	529.92255		- 	009	101	0008011	 000000007075	0.0000000%
551.09818		- 	530.46737		- 	008	124	0008255	 000000007299	0.0000000%
705.91456		- 	531.04739		- 	011	103	0008509	 000000007524	0.0000000%
578.48185		- 	531.86276		- 	010	114	0008761	 000000007747	0.0000000%
627.90579		- 	532.53360		- 	007	128	0009003	 000000007972	0.0000000%
663.10727		- 	533.08837		- 	007	116	0009259	 000000008196	0.0000000%
588.59865		- 	533.61861		- 	008	147	0009506	 000000008420	0.0000000%
569.93403		- 	534.19302		- 	007	120	0009757	 000000008645	0.0000000%
649.58414		- 	534.71393		- 	010	100	0010007	 000000008870	0.0000000%
586.73817		- 	535.31862		- 	009	127	0010261	 000000009092	0.0000000%
566.86040		- 	536.02610		- 	008	094	0010504	 000000009316	0.0000000%
602.05374		- 	536.53569		- 	011	102	0010753	 000000009541	0.0000000%
601.70495		- 	537.05303		- 	010	101	0011012	 000000009765	0.0000000%
613.37557		- 	537.53562		- 	009	111	0011252	 000000009990	0.0000000%
623.20503		- 	538.11462		- 	010	109	0011506	 000000010214	0.0000000%
564.33117		- 	538.56500		- 	007	114	0011758	 000000010438	0.0000000%
605.61134		- 	538.96727		- 	010	111	0012005	 000000010663	0.0000000%
675.53540		- 	539.34607		- 	011	095	0012256	 000000010888	0.0000000%
624.00785		- 	539.76747		- 	008	126	0012504	 000000011113	0.0000000%
589.06473		- 	540.11005		- 	010	118	0012759	 000000011338	0.0000000%
624.74247		- 	540.42589		- 	011	101	0013004	 000000011564	0.0000000%
651.56489		- 	540.86727		- 	009	115	0013254	 000000011789	0.0000000%
583.48486		- 	541.39021		- 	009	112	0013504	 000000012014	0.0000000%
640.58022		- 	541.95612		- 	008	129	0013757	 000000012238	0.0000000%
587.42667		- 	542.43522		- 	009	112	0014002	 000000012464	0.0000000%
566.69965		- 	542.73886		- 	008	110	0014260	 000000012689	0.0000000%
599.92889		- 	543.11548		- 	009	106	0014505	 000000012915	0.0000000%
684.96801		- 	543.39297		- 	008	104	0014753	 000000013140	0.0000000%
561.88280		- 	543.75838		- 	010	104	0015003	 000000013366	0.0000000%
608.83912		- 	544.19271		- 	009	110	0015252	 000000013592	0.0000000%
655.10742		- 	544.66656		- 	009	108	0015511	 000000013815	0.0000000%
699.00965		- 	544.92309		- 	011	107	0015759	 000000014042	0.0000000%
591.07816		- 	545.22256		- 	012	087	0016005	 000000014268	0.0000000%
615.39323		- 	545.70561		- 	012	095	0016254	 000000014494	0.0000000%
648.06564		- 	546.00631		- 	010	093	0016505	 000000014721	0.0000000%
682.81319		- 	546.22963		- 	010	112	0016757	 000000014948	0.0000000%
703.79239		- 	546.43010		- 	011	116	0017009	 000000015173	0.0000000%
646.76936		- 	546.88521		- 	010	112	0017254	 000000015399	0.0000000%
593.22733		- 	547.30667		- 	007	148	0017503	 000000015623	0.0000000%
587.86073		- 	547.64775		- 	006	126	0017757	 000000015847	0.0000000%
632.64701		- 	548.02234		- 	012	094	0018014	 000000016073	0.0000000%
596.91128		- 	548.36009		- 	010	110	0018262	 000000016299	0.0000000%
593.81430		- 	548.68833		- 	010	116	0018508	 000000016525	0.0000000%
631.97624		- 	549.04191		- 	012	097	0018762	 000000016749	0.0000000%
648.13303		- 	549.27065		- 	011	130	0019003	 000000016976	0.0000000%
655.63721		- 	549.50309		- 	010	102	0019257	 000000017201	0.0000000%
689.00837		- 	549.83994		- 	010	123	0019503	 000000017427	0.0000000%
642.69300		- 	550.02639		- 	012	099	0019761	 000000017653	0.0000000%
586.91427		- 	550.30572		- 	008	117	0020010	 000000017879	0.0000000%
584.99797		- 	550.72377		- 	009	111	0020257	 000000018105	0.0000000%
571.10498		- 	550.97596		- 	011	099	0020505	 000000018332	0.0000000%
689.66820		- 	551.30673		- 	008	115	0020758	 000000018557	0.0000000%
677.97330		- 	551.40334		- 	009	104	0021009	 000000018782	0.0000000%
580.84731		- 	551.58554		- 	010	105	0021259	 000000019007	0.0000000%
625.51160		- 	551.80451		- 	011	102	0021509	 000000019234	0.0000000%
577.56943		- 	552.21867		- 	007	114	0021758	 000000019460	0.0000000%
690.05737		- 	552.38798		- 	008	113	0022002	 000000019687	0.0000000%
588.36175		- 	552.55967		- 	010	109	0022257	 000000019914	0.0000000%
682.48939		- 	552.73219		- 	007	124	0022503	 000000020141	0.0000000%
679.13389		- 	553.02241		- 	008	116	0022756	 000000020366	0.0000000%
601.21961		- 	553.25451		- 	008	109	0023005	 000000020592	0.0000000%
598.61585		- 	553.41127		- 	010	113	0023255	 000000020818	0.0000000%
655.22911		- 	553.61217		- 	011	103	0023506	 000000021044	0.0000000%
732.39078		- 	553.77551		- 	009	104	0023757	 000000021269	0.0000000%
654.48227		- 	553.94852		- 	010	120	0024003	 000000021496	0.0000000%
610.88147		- 	554.11933		- 	011	113	0024253	 000000021722	0.0000000%
574.19341		- 	554.26185		- 	010	120	0024505	 000000021948	0.0000000%
720.27249		- 	554.47405		- 	009	117	0024756	 000000022174	0.0000000%
582.06914		- 	554.63675		- 	010	105	0025012	 000000022399	0.0000000%
638.92494		- 	554.78052		- 	011	112	0025258	 000000022626	0.0000000%
606.28910		- 	555.05346		- 	009	110	0025507	 000000022852	0.0000000%
650.87354		- 	555.24322		- 	013	098	0025757	 000000023078	0.0000000%
610.75838		- 	555.44555		- 	012	107	0026004	 000000023304	0.0000000%
645.72668		- 	555.57854		- 	011	105	0026254	 000000023532	0.0000000%
659.05655		- 	555.74300		- 	009	108	0026510	 000000023759	0.0000000%
692.97169		- 	555.91724		- 	010	106	0026757	 000000023985	0.0000000%
691.96057		- 	556.01520		- 	011	099	0027008	 000000024212	0.0000000%
591.67144		- 	556.12721		- 	011	119	0027258	 000000024440	0.0000000%
624.45726		- 	556.32139		- 	009	123	0027511	 000000024665	0.0000000%
624.42420		- 	556.45962		- 	010	118	0027757	 000000024892	0.0000000%
674.38101		- 	556.63141		- 	010	108	0028003	 000000025118	0.0000000%
672.57769		- 	556.81227		- 	008	113	0028257	 000000025344	0.0000000%
704.47313		- 	556.99818		- 	011	113	0028511	 000000025569	0.0000000%
620.94557		- 	557.12886		- 	011	103	0028760	 000000025796	0.0000000%
619.27774		- 	557.25163		- 	009	118	0029008	 000000026023	0.0000000%
711.89853		- 	557.42222		- 	011	106	0029257	 000000026250	0.0000000%
654.13532		- 	557.54125		- 	012	094	0029512	 000000026477	0.0000000%
722.77568		- 	557.65256		- 	010	120	0029753	 000000026706	0.0000000%
588.88824		- 	557.85413		- 	008	129	0030009	 000000026932	0.0000000%
598.62630		- 	558.04540		- 	007	096	0030258	 000000027158	0.0000000%
641.32025		- 	558.20234		- 	011	102	0030508	 000000027385	0.0000000%
597.24096		- 	558.36308		- 	008	131	0030756	 000000027611	0.0000000%
598.63723		- 	558.46545		- 	010	118	0031010	 000000027837	0.0000000%
639.06298		- 	558.60415		- 	011	105	0031263	 000000028064	0.0000000%
614.84962		- 	558.84523		- 	010	098	0031508	 000000028290	0.0000000%
617.01325		- 	558.99257		- 	009	121	0031758	 000000028516	0.0000000%
608.67239		- 	559.20634		- 	010	108	0032012	 000000028741	0.0000000%
643.00365		- 	559.33150		- 	012	107	0032255	 000000028968	0.0000000%
666.36652		- 	559.49152		- 	013	087	0032504	 000000029195	0.0000000%
693.88921		- 	559.68029		- 	014	099	0032753	 000000029422	0.0000000%
602.68506		- 	559.82829		- 	010	105	0033007	 000000029648	0.0000000%
712.47450		- 	560.00380		- 	007	121	0033257	 000000029874	0.0000000%
672.85294		- 	560.12321		- 	007	123	0033509	 000000030100	0.0000000%
593.61748		- 	560.34716		- 	010	122	0033752	 000000030326	0.0000000%
617.14521		- 	560.46709		- 	009	124	0034011	 000000030551	0.0000000%
